"Pos.","N°","Nombre","Clase","Puntos","LIGA","CLUB","Dif. resp. 1°","MOTO","Vueltas","Mejor Tm"
"1","837","JHOAN ANDRES BARRAGAN ALVAREZ","125 cc","15","Putumayo","TEAM RACING MOCOA","","Husqvarna","14","1:30.420"
"2","228","Jeronimo DAMELINES LOAIZA","125 cc","13","Risaralda","CLUB LOS GUEPARDOS","24.603","Husqvarna","14","1:31.225"
"3","114","Miguel Angel LOPEZ MARTINEZ","125 cc","11","Quindío","CLUB RUTEROS DEL QUINDIO","1:29.945","GasGas","14","1:33.282"
"4","321","Jorge Esteban VARGAS GONZALES","125 cc","10","Antioquia","CLUB MOTOCROSS DE YARUMAL","1 Vuelta","Yamaha","13","1:39.401"
"5","36-2","Thomas PINEDA GONZALEZ","125 cc","9","Caldas","CLUB DE MOTOCICLISMO JP36","1 Vuelta","Honda","13","1:40.291"
"6","700","Maximiliano GUERRA ALVAREZ","125 cc","8","Antioquia","CLUB GRILLOS RACING","1 Vuelta","Yamaha","13","1:40.247"
"7","64","Jacobo GIL MARIN","125 cc","7","Antioquia","CLUB MOTOCROSS YARUMAL","1 Vuelta","Yamaha","13","1:41.372"
"8","281","MOISES BETANCUR","125 cc","6","ANTIOQUIA","","1 Vuelta","","13","1:38.683"
"9","77","Martin Estrada Zapata","125 cc","5","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","1 Vuelta","Yamaha","13","1:42.520"
"10","199","Nicolas Felipe REY REY","125 cc","4","Cundinamarca","CLUB IGUANA RACING GIRARDOT","1 Vuelta","KTM","13","1:41.764"
"11","222","Maximiliano RAMIREZ RESTREPO","125 cc","3","Antioquia","STUNT FIVE","2 Vueltas","Yamaha","12","1:37.675"
"12","244","Alejandro ANGEL ISAZA","125 cc","2","Valle del Cauca","Carasucias","2 Vueltas","Yamaha","12","1:41.983"
"13","184","Jose Alejandro MOYANO MORENO","125 cc","1","Cundinamarca","CLUB IGUANA RACING GIRARDOT","2 Vueltas","KTM","12","1:47.900"
"14","526","JACOBO ARROYAVE DIAZ","125 cc","1","Antioquia","STUNT FIVE","2 Vueltas","Yamaha","12","1:39.836"
"15","612","ALEJANDRO DIAZ GARCIA","125 cc","1","VALLE","CARASUCIAS","3 Vueltas","YAMAHA","11","1:56.261"
"16","630","Samuel Andres PINTO DUARTE","125 cc","0","Meta","VILLAVICENCIO RACING CLUB","3 Vueltas","KTM","11","1:51.828"
"17","146","Gabriel Alejandro MESA ARROYO","125 cc","0","Nariño","CLUB BUFALO XTREM PARK","4 Vueltas","Yamaha","10","2:09.618"
"18","444","Maximiliano ANGEL MUÑOZ","125 cc","0","Antioquia","CLUB GRILLOS RACING","4 Vueltas","Yamaha","10","1:43.560"
"19","221","Peter FRISH KLEVER","125 cc","0","Cesar","VIRUS RACING","5 Vueltas","GasGas","9","1:53.860"
"20","454","Mateo ALVAREZ GONZALEZ","125 cc","0","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","5 Vueltas","KTM","9","2:05.463"
"21","710","Juan David MENDOZA DUARTE","125 cc","0","Meta","VILLAVICENCIO RACING CLUB","7 Vueltas","Husqvarna","7","1:39.497"
"NT","417","Juan Sebastian GIRON CARVAJAL","125 cc","0","Risaralda","CLUB LOS GUEPARDOS","NT","Husqvarna","6","1:41.029"
"NT","331","Juan Pablo CARMONA GIRALDO","125 cc","0","Bogotá D.C.","Todo terreno track","NT","GasGas","",""
