"Pos.","N°","Nombre","Clase","Puntos","LIGA","CLUB","Dif. resp. 1°","MOTO","Vueltas","Mejor Tm"
"1","837","JHOAN ANDRES BARRAGAN ALVAREZ","125 cc","3","Putumayo","TEAM RACING MOCOA","","Husqvarna","7","1:22.120"
"2","114","Miguel Angel LOPEZ MARTINEZ","125 cc","2","Quindío","CLUB RUTEROS DEL QUINDIO","8.322","GasGas","7","1:24.074"
"3","526","JACOBO ARROYAVE DIAZ","125 cc","1","Antioquia","STUNT FIVE","14.275","Yamaha","7","1:24.452"
"4","228","Jeronimo DAMELINES LOAIZA","125 cc","1","Risaralda","CLUB LOS GUEPARDOS","19.953","Husqvarna","7","1:26.405"
"5","36-2","Thomas PINEDA GONZALEZ","125 cc","1","Caldas","CLUB DE MOTOCICLISMO JP36","22.681","Honda","7","1:26.778"
"6","64","Jacobo GIL MARIN","125 cc","1","Antioquia","CLUB MOTOCROSS YARUMAL","29.460","Yamaha","7","1:26.737"
"7","321","Jorge Esteban VARGAS GONZALES","125 cc","1","Antioquia","CLUB MOTOCROSS DE YARUMAL","36.533","Yamaha","7","1:27.992"
"8","710","Juan David MENDOZA DUARTE","125 cc","1","Meta","VILLAVICENCIO RACING CLUB","37.814","Husqvarna","7","1:27.478"
"9","700","Maximiliano GUERRA ALVAREZ","125 cc","1","Antioquia","CLUB GRILLOS RACING","39.355","Yamaha","7","1:27.867"
"10","222","Maximiliano RAMIREZ RESTREPO","125 cc","1","Antioquia","STUNT FIVE","59.785","Yamaha","7","1:26.043"
"11","244","Alejandro ANGEL ISAZA","125 cc","1","Valle del Cauca","Carasucias","1:10.430","Yamaha","7","1:32.723"
"12","444","Maximiliano ANGEL MUÑOZ","125 cc","1","Antioquia","CLUB GRILLOS RACING","1:11.980","Yamaha","7","1:22.259"
"13","77","Martin Estrada Zapata","125 cc","1","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","1:12.734","Yamaha","7","1:31.616"
"14","281","MOISES BETANCUR","125 cc","1","ANTIOQUIA","","1:15.024","","7","1:27.589"
"15","331","Juan Pablo CARMONA GIRALDO","125 cc","1","Bogotá D.C.","Todo terreno track","1:15.566","GasGas","7","1:30.764"
"16","184","Jose Alejandro MOYANO MORENO","125 cc","0","Cundinamarca","CLUB IGUANA RACING GIRARDOT","1:22.445","KTM","7","1:30.754"
"17","199","Nicolas Felipe REY REY","125 cc","0","Cundinamarca","CLUB IGUANA RACING GIRARDOT","1 Vuelta","KTM","6","1:32.005"
"18","417","Juan Sebastian GIRON CARVAJAL","125 cc","0","Risaralda","CLUB LOS GUEPARDOS","1 Vuelta","Husqvarna","6","1:23.493"
"19","454","Mateo ALVAREZ GONZALEZ","125 cc","0","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","1 Vuelta","KTM","6","1:40.758"
"20","146","Gabriel Alejandro MESA ARROYO","125 cc","0","Nariño","CLUB BUFALO XTREM PARK","1 Vuelta","Yamaha","6","1:48.351"
"21","221","Peter FRISH KLEVER","125 cc","0","Cesar","VIRUS RACING","2 Vueltas","GasGas","5","1:29.982"
"22","612","ALEJANDRO DIAZ GARCIA","125 cc","0","VALLE","CARASUCIAS","3 Vueltas","YAMAHA","4","1:43.596"
"23","630","Samuel Andres PINTO DUARTE","125 cc","0","Meta","VILLAVICENCIO RACING CLUB","4 Vueltas","KTM","3","2:01.151"
