"Pos.","N°","Nombre","Clase","Puntos","LIGA","CLUB","Dif. resp. 1°","MOTO","Vueltas","Mejor Tm"
"1","707-E","Cristian Felipe Aguirre Vélez","INICIO","3","Antioquia","CLUB MOTOCROSS YARUMAL","","Yamaha","7","1:29.177"
"2","519","Cristian David SEPULVEDA VALENCIA","Inicio","2","Caldas","CLUB VILLAMARIA RACING CLUB","3.922","Yamaha","7","1:32.703"
"3","227","Leonel giraldo jaramillo","Inicio","1","Tolima","GR 522 RACING","6.975","Yamaha","7","1:32.281"
"4","72","Andres Felipe Ortiz Jaramillo","Inicio","1","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","10.532","Yamaha","7","1:32.402"
"5","75-E","Juan Pablo Cardona Carvajal","INICIO","1","Antioquia","CLUB MOTOCROSS YARUMAL","17.360","Honda","7","1:23.605"
"6","287","JOSE ANDRES SILVA SIMANCA","Inicio","1","Antioquia","CLUB MOTOCROSS DE YARUMAL","50.180","Yamaha","7","1:36.837"
"7","821-E","John Fredy Hernández Osorio","INICIO","1","Caldas","CLUB VILLAMARIA RACING CLUB","53.340","Yamaha","7","1:33.570"
"8","97","Juan Camilo Restrepo Ospina","Inicio","1","Antioquia","CLUB MOTOCROSS DE YARUMAL","53.724","Yamaha","7","1:38.739"
"9","73","Jerónimo OCAMPO CAMPUZANO","Inicio","1","Caldas","CLUB DE MOTOCICLISMO JP36","1:27.157","Yamaha","7","1:36.100"
"10","118","esteban ospina cifuentes","Inicio","1","Caldas","CLUB DE MOTOCICLISMO JP36","2:02.747","Honda","7","1:33.312"
"11","177","ROBINSON CAMILO RAMIREZ GIL","Inicio","1","Nariño","CLUB MOTEROS LA UNION RIDERS","1 Vuelta","Honda","6","1:49.098"
"12","92-E","Jhon wilmar Quirama Arredondo","INICIO","1","Antioquia","CLUB GRILLOS RACING","2 Vueltas","Kawasaki","5","1:36.735"
"NT","128","Santiago RAMIREZ GIL","Inicio","0","Nariño","CLUB DEPORTIVO LOS CAFETEROS","NT","Yamaha","1","1:47.787"
