Pos.;N°;Nombre;LIGA;MOTO;Clase;Vueltas;Total T°;Tiempo ajustado
1;114;Miguel Angel LOPEZ MARTINEZ;Quindío;Husqvarna;Junior;16;1:44:28,343;1:42:58,343
2;226;JOHAN DAVID BARRETO GOMEZ;Cundinamarca;KTM;Junior;16;1:50:12,348;1:48:42,348
3;25;Juan Jose GIRALDO HENAO;Antioquia;Yamaha;Junior;16;1:50:33,012;1:49:03,012
4;333;Santiago Ramirez Cabrera;Bogotá D.C.;KTM;Junior;16;1:50:34,057;1:49:04,057
5;180;Duvan Ferney SALDAÑA MEDINA;Cundinamarca;Husqvarna;Enduro 3;15;1:42:51,091;1:42:51,091
6;231;Juan Camilo DORADO GOMEZ;Cundinamarca;Beta;Enduro 3;15;1:44:35,878;1:44:35,878
7;97;Juan David OLAYA LOPEZ;Valle del Cauca;Beta;Enduro 2;14;1:45:02,360;1:43:32,360
8;96;Nestor Felipe URBINA MORENO;Cundinamarca;Husqvarna;Enduro 1;14;1:44:44,782;1:44:44,782
9;23;Martin CHICA CORREA;Bogotá D.C.;Beta;Junior;14;1:51:17,885;1:49:47,885
10;999;Gino MOLINA FALDUTO;Valle del Cauca;GasGas;Master A;13;1:41:00,991;1:41:00,991
11;264;Killer Danilo GONZALEZ ROJAS;Cundinamarca;Yamaha;Enduro 2;13;1:44:17,471;1:42:47,471
12;876;Mateo VELA VILLA;Cundinamarca;Beta;Junior;13;1:44:41,246;1:43:11,246
13;199;Nicolas Felipe REY REY;Cundinamarca;KTM;Junior novatos;13;1:45:41,135;1:44:11,135
14;82;Carlos Eduardo PELAEZ LONDOÑO;Antioquia;KTM;Master B;13;1:47:07,514;1:45:37,514
15;63;Juan Gabriel ALVAREZ ORTIZ;Cundinamarca;KTM;Junior;13;1:47:27,914;1:45:57,914
16;88;Pablo ANCIZAR KLOCH;Bogotá D.C.;Honda;Enduro 2;13;1:50:25,640;1:48:55,640
17;105;Hosney Bustos Bustos;Cundinamarca;Husqvarna;Enduro 3;13;1:51:07,520;1:51:07,520
18;390;Diego AGUILAR MARTINEZ;Valle del Cauca;KTM;Enduro 3;13;1:55:21,578;1:55:21,578
19;65;Tomas JARAMILLO CARRANZA;Bogotá D.C.;Honda;Enduro 1;13;1:57:56,120;1:57:56,120
20;379;Cesar CASTRO GUTIERREZ;Cundinamarca;Beta;Enduro 2;12;1:42:57,334;1:41:27,334
21;500;Jorge Ivan RAMIREZ DAZA;Cesar;KTM;Enduro 3;12;1:46:11,703;1:46:11,703
22;176;Nestor CHAPARRO PARRA;Bogotá D.C.;GasGas;Master A;12;1:48:39,022;1:48:39,022
23;369;Mario Andrés Díaz Serrato;Valle del Cauca;KTM;Master A;11;1:41:37,566;1:41:37,566
24;26;Juan Jacobo RENGIFO GOMEZ;Valle del Cauca;Husqvarna;Junior novatos;11;1:43:51,119;1:42:21,119
25;315;Luis Eduardo ORTIZ CONTRERAS;Cundinamarca;KTM;Enduro 3;11;1:44:06,867;1:44:06,867
26;318;Oscar Javier CARVAJAL MOLINA;Cundinamarca;KTM;Enduro 1;11;1:49:25,876;1:49:25,876
27;722;Alan HERNANDEZ RABE;Valle del Cauca;Sherco;Junior;10;1:51:35,135;1:50:05,135
28;32;Daniella ACOSTA SABOGAL;Bogotá D.C.;Husqvarna;Junior;10;1:53:12,408;1:51:42,408
29;8;Sebastian VELEZ ARANGO;Antioquia;Yamaha;Master A;9;1:41:24,301;1:41:24,301
30;476;Adolfo León RENGIFO;Valle del Cauca;Husqvarna;Master B;9;1:47:34,804;1:46:04,804
31;44;Elmer Camilo CASTAÑO TORO;Cundinamarca;KTM;Enduro 1;9;1:46:47,340;1:46:47,340
32;188;Dino Osvaldo RENTERIA SALAZAR;Valle del Cauca;Husqvarna;Master B;9;1:48:32,633;1:47:02,633
33;267;sebastian rodriguez ruiz;Bogotá D.C.;Husqvarna;Enduro 3;9;2:00:10,359;2:00:10,359
34;17;Franciso ALVAREZ NIÑO;Valle del Cauca;KTM;Enduro 3;8;1:13:21,669;1:13:21,669
35;357;Juan Jose DIAZ ROMO;Cesar;KTM;Master A;8;1:49:22,722;1:49:22,722
36;587;Bernardo ALVAREZ NIÑO;Valle del Cauca;KTM;Master A;8;1:51:43,445;1:51:43,445
37;73;Andres GONZALEZ URIBE;Antioquia;KTM;Master B;7;1:46:56,474;1:45:26,474
38;882;William Eduardo CHIQUIZA GARZON;Cundinamarca;GasGas;Master A;7;1:50:49,669;1:50:49,669
39;412;Carlos Augusto GIRALDO BEDOYA;Antioquia;GasGas;Master A;6;1:49:35,389;1:49:35,389
40;27;Diego Fernando GUEVARA LINARES;Cundinamarca;KTM;Enduro 2;5;1:24:22,839;1:22:52,839
41;436;Carlos Arturo ISAZA TORO;Quindío;GasGas;Master B;5;1:42:15,240;1:40:45,240
42;477;Bernardo ALVAREZ ACERO;Valle del Cauca;Husqvarna;Master B;5;1:54:42,320;1:53:12,320
