Pos.;N°;Nombre;LIGA;MOTO;Clase;Vueltas;Total T°;Tiempo ajustado
1;114;Miguel Angel LOPEZ MARTINEZ;Quindío;Beta;Junior;8;1:41:01,378;1:41:01,378
2;25;Juan Jose GIRALDO HENAO;Antioquia;Yamaha;Junior;8;1:42:20,991;1:42:20,991
3;226;JOHAN DAVID BARRETO GOMEZ;Cundinamarca;KTM;Junior;8;1:42:25,871;1:42:25,871
4;811;Mateo ROLDAN TOBON;Valle del Cauca;Yamaha;Junior;8;1:44:20,943;1:44:20,943
5;10;Cesar CORREA ESCOBAR;Valle del Cauca;Husqvarna;Enduro 3;8;1:52:33,225;1:50:33,225
6;65;Tomas JARAMILLO CARRANZA;Bogotá D.C.;Honda;Enduro 1;8;1:52:59,660;1:50:59,660
7;999;Gino MOLINA FALDUTO;Valle del Cauca;Husqvarna;Master A;8;1:52:45,060;1:52:45,060
8;231;Juan Camilo DORADO GOMEZ;Cundinamarca;Beta;Enduro 3;8;1:56:02,985;1:54:02,985
9;17;Franciso ALVAREZ NIÑO;Valle del Cauca;KTM;Enduro 3;8;1:59:58,838;1:57:58,838
10;127;Diego PENAGOS ECHAVARRIA;Antioquia;Husqvarna;Master A;8;2:00:56,332;2:00:56,332
11;180;Duvan Ferney SALDAÑA MEDINA;Cundinamarca;Husqvarna;Enduro 3;8;2:04:12,747;2:02:12,747
12;369;Mario Andrés Díaz Serrato;Valle del Cauca;KTM;Master A;7;1:55:15,501;1:55:15,501
13;82;Carlos Eduardo PELAEZ LONDOÑO;Antioquia;KTM;Master B;7;2:01:16,211;1:59:16,211
14;412;Carlos Augusto GIRALDO BEDOYA;Antioquia;GasGas;Master A;7;2:02:48,276;2:02:48,276
15;8;Sebastian VELEZ ARANGO;Antioquia;Yamaha;Master A;7;2:03:05,515;2:03:05,515
16;264;Killer Danilo GONZALEZ ROJAS;Cundinamarca;Yamaha;Enduro 2;7;2:04:15,674;2:04:15,674
17;176;Nestor CHAPARRO PARRA;Bogotá D.C.;GasGas;Master A;7;2:11:17,562;2:11:17,562
18;876;Mateo VELA VILLA;Cundinamarca;Beta;Junior;6;1:42:31,647;1:42:31,647
19;77;Guillermo Garcia Gonzalez;Cundinamarca;Honda;Enduro 1;6;1:48:07,107;1:46:07,107
20;105;Hosney Bustos Bustos;Cundinamarca;Husqvarna;Enduro 3;6;1:55:24,427;1:53:24,427
21;88;Pablo ANCIZAR KLOCH;Bogotá D.C.;Honda;Enduro 2;6;1:55:04,410;1:55:04,410
22;315;Luis Eduardo ORTIZ CONTRERAS;Cundinamarca;KTM;Enduro 3;6;2:09:23,478;2:07:23,478
23;44;Elmer Camilo CASTAÑO TORO;Cundinamarca;KTM;Enduro 1;5;1:43:48,587;1:41:48,587
24;63;Juan Gabriel ALVAREZ ORTIZ;Cundinamarca;KTM;Junior;5;1:47:11,897;1:47:11,897
25;26;Juan Jacobo RENGIFO GOMEZ;Valle del Cauca;Husqvarna;Junior novatos;5;1:48:58,239;1:48:58,239
26;235-E;John Jairo cano Urrego;Antioquia;KTM;Master B;5;2:01:33,476;1:59:33,476
27;377-E;Henry David Cubides;Valle del Cauca;Husqvarna;Enduro 2;5;2:02:15,285;2:02:15,285
28;188;Dino Osvaldo RENTERIA SALAZAR;Valle del Cauca;Beta;Master B;5;2:09:46,068;2:07:46,068
29;183;Miguel matius sanchez zapata;Antioquia;KTM;Junior novatos;4;1:41:56,529;1:41:56,529
30;587;Bernardo ALVAREZ NIÑO;Valle del Cauca;KTM;Master A;4;2:17:53,779;2:17:53,779
31;318;Oscar Javier CARVAJAL MOLINA;Cundinamarca;KTM;Enduro 1;3;1:42:41,206;1:40:41,206
32;340;Juan Esteban MANCO DAVID;Antioquia;KTM;Enduro 2;3;1:54:09,909;1:54:09,909
33;27;Diego Fernando GUEVARA LINARES;Cundinamarca;KTM;Enduro 2;3;1:54:27,588;1:54:27,588
34;476;Adolfo León RENGIFO;Valle del Cauca;Husqvarna;Master B;2;1:52:50,989;1:50:50,989
35;73;Andres GONZALEZ URIBE;Antioquia;KTM;Master B;1;42:02.609;40:02.000
36;96;Nestor Felipe URBINA MORENO;Cundinamarca;KTM;Enduro 1;1;46:16.337;44:16.000
37;477;Bernardo ALVAREZ ACERO;Valle del Cauca;Husqvarna;Master B;1;1:52:54,229;1:50:54,229
