"Pos.","N°","Nombre","Mejor Tm","En Vuelta","Dif. resp. 1°","Dif. resp. anterior"
"1","41","Nicolas DUQUE PATIÑO","1:04.465","1","",""
"2","98","Mateo CASTELLANOS CARVAJAL","1:04.479","2","0.014","0.014"
"3","714","Oscar Alejandro RUIZ RESTREPO","1:04.519","2","0.054","0.040"
"4","207","ACERCARSE A SECRETARIA ","1:04.771","1","0.306","0.252"
"5","243","David Fernando BURBANO GOMEZ","1:04.993","4","0.528","0.222"
"6","28","Jose Miguel GONZALEZ HERNANDEZ","1:05.114","4","0.649","0.121"
"7","726","Nicolas MILLAN MURILLO","1:05.223","3","0.758","0.109"
"8","227","Rigo German SALAZAR CERON","1:05.258","2","0.793","0.035"
"9","137","Alvaro Javier PLAZAS GONZALEZ","1:05.398","3","0.933","0.140"
"10","17","Cristian Camilo VASQUEZ POSADA","1:05.470","1","1.005","0.072"
"11","166","Johan Camilo GIRALDO RAMIREZ","1:05.493","2","1.028","0.023"
"12","828","Danny Williams SUAREZ BEDOYA","1:05.717","3","1.252","0.224"
"13","155","Juan Felipe HERNANDEZ ALZATE","1:05.755","2","1.290","0.038"
"14","888","Jorge Yair BERNAL SUAREZ","1:06.016","4","1.551","0.261"
"15","110","Nicolas EUSSE LONDOÑO","1:06.362","5","1.897","0.346"
"16","314","Andres Felipe GONZALEZ CIFUENTES","1:06.424","3","1.959","0.062"
"17","429","Valentina MARTINEZ TRUJILLO","1:06.438","4","1.973","0.014"
"18","390","Leider Johan ACEVEDO PERILLA","1:06.586","1","2.121","0.148"
"19","412","Geronimo OROZCO RIOS","1:06.594","4","2.129","0.008"
"20","818","ACERCARSE A SECRETARIA ","1:06.776","4","2.311","0.182"
"21","146","ANDRES SANTIAGO HERNANDEZ COY","1:06.942","4","2.477","0.166"
"22","214","Gabriel Alejandro VALDIVIESO FLOREZ","1:07.185","4","2.720","0.243"
"23","255","Juan Sebastian WONG RODRÍGUEZ","1:07.840","4","3.375","0.655"
"24","941","Diego Libany Garcia Bernal","1:08.293","4","3.828","0.453"
"25","219","Edwin Fernando VARON ULLOA","1:08.322","4","3.857","0.029"
"26","162","ALEXANDER GUARIN SALAZAR","1:08.350","1","3.885","0.028"
"27","606","Simon SANCHEZ BARRERA","1:08.509","4","4.044","0.159"
"28","375","Wilderman RAMIREZ","1:08.685","1","4.220","0.176"
"29","717","Nolberto MARTINEZ CANO","1:09.357","4","4.892","0.672"
"30","254","David Estiber Echeverria Almeida","1:09.974","1","5.509","0.617"
"31","637","Jhon Jairo RAMIREZ VASQUEZ","1:11.257","1","6.792","1.283"
"32","745-E","Jeronimo HENAO MARIN","1:12.583","1","8.118","1.326"
"33","769","Juan Carlos BUILES MARIN","1:13.015","2","8.550","0.432"
"34","210","Jhon Mario GARCÍA CASTRO","1:13.171","2","8.706","0.156"
"35","450","Derian Andres ROZO CASTIBLANCO","","0","",""
"36","119","Cesar Alfonso TELLEZ OCAMPO","","0","",""
"37","204","Andres Felipe LONDOÑO TRUJILLO","","0","",""
"38","528","Juan Andres MARIN ARANGO","","0","",""
