"Pos.","N°","Nombre","Mejor Tm","En Vuelta","Dif. resp. 1°","Dif. resp. anterior"
"1","680","Juan Esteban RIVERA MARIN","1:08.325","6","",""
"2","703-E","Jean Carlos aranda González","1:08.348","6","0.023","0.023"
"3","657","Diego Alexander Gómez Leal","1:08.612","5","0.287","0.264"
"4","754","Humberto MORENO DIAZ","1:08.689","1","0.364","0.077"
"5","842","Alexander DUQUE PATIÑO","1:10.230","4","1.905","1.541"
"6","894","Educardo RIOJAS MORENO","1:10.298","1","1.973","0.068"
"7","928","Luis Carlos POLANCO GAMBOA","1:10.368","3","2.043","0.070"
"8","453","Alexander MARIN YEPES","1:10.519","5","2.194","0.151"
"9","631","Johan GOMEZ PEREZ","1:10.816","4","2.491","0.297"
"10","364","Manuel Alejandro MARIN TOVAR","1:10.835","1","2.510","0.019"
"11","480","DAVID SANTIAGO QUEZADA SOTO","1:11.162","3","2.837","0.327"
"12","755","Didier Esneider ALBORNOZ IBARGUEN","1:11.320","3","2.995","0.158"
"13","732","FREDDY SANTIAGO MAYA OTAYA","1:11.422","1","3.097","0.102"
"14","254","David Estiber Echeverria Almeida","1:11.728","4","3.403","0.306"
"15","157","Sebastian Fabricio ROMERO TRUJILLO","1:11.854","4","3.529","0.126"
"16","325","Brayan Sneider GUTIERREZ CASTAÑEDA","1:12.619","5","4.294","0.765"
"17","153","Jonathan Andres SORZA HERNANDEZ","1:13.225","1","4.900","0.606"
"18","634","Jhonatan stiven Navas Navas","1:15.153","4","6.828","1.928"
"19","115","William PEÑA CARDONA","1:15.303","2","6.978","0.150"
"20","648","José Manuel Tapasco","1:15.582","4","7.257","0.279"
"21","705","Daniel Fernando Ruiz Garcia","1:17.436","3","9.111","1.854"
"22","786","johan daniel barajas barrios","1:17.566","3","9.241","0.130"
"23","31","JAN GOMEZ","","0","",""
"24","72","JOAN SEBASTIAN CASTILLO URREA","","0","",""
"25","148","ADRIAN SUTA","","0","",""
"26","428","DANIEL QUINTANA CASTRO","","0","",""
"27","724","David Andres RAMIREZ","","0","",""
