"Pos.","N°","Nombre","Mejor Tm","En Vuelta","Dif. resp. 1°","Dif. resp. anterior"
"1","119","Cesar Alfonso TELLEZ OCAMPO","1:06.057","4","",""
"2","227","Rigo German SALAZAR CERON","1:07.234","1","1.177","1.177"
"3","888","Jorge Yair BERNAL SUAREZ","1:07.384","1","1.327","0.150"
"4","162","ALEXANDER GUARIN SALAZAR","1:08.107","5","2.050","0.723"
"5","722","Edwin JARAMILLO GALLEGO","1:09.078","5","3.021","0.971"
"6","928","Luis Carlos POLANCO GAMBOA","1:09.081","3","3.024","0.003"
"7","617","Julio Ferney RODRIGUEZ MONTAÑA","1:11.126","3","5.069","2.045"
"8","637","Jhon Jairo RAMIREZ VASQUEZ","1:11.139","2","5.082","0.013"
"9","106","Jose Wilson SAAVEDRA BARRERA","1:12.000","4","5.943","0.861"
"10","286","Pedro Reynell BARAJAS BARRIOS","1:12.451","2","6.394","0.451"
"11","769","Juan Carlos BUILES MARIN","1:12.655","4","6.598","0.204"
"12","714","Oscar Alejandro RUIZ RESTREPO","1:19.858","2","13.801","7.203"
"13","935","Carlos Alberto RAMIREZ JIMENEZ","","0","",""
"14","204","Andres Felipe LONDOÑO TRUJILLO","","0","",""
"15","710","Alexander DIAZ CASTAÑO","","0","",""
