"Pos.","N°","Nombre","Mejor Tm","En Vuelta","Dif. resp. 1°","Dif. resp. anterior"
"1","417","Christian David CHAVARRO GALVIS","1:07.084","5","",""
"2","931","Cesar Augusto VALDIVIESO VARGAS","1:07.199","4","0.115","0.115"
"3","442","Juan Esteban MUÑOZ MORALES","1:07.199","5","0.115",""
"4","642","Aaron Thomas GOMEZ GIRALDO","1:07.210","2","0.126","0.011"
"5","370","Cristian David CRUZ ACOSTA","1:07.438","5","0.354","0.228"
"6","390","Leider Johan ACEVEDO PERILLA","1:08.269","5","1.185","0.831"
"7","367","Johon Alexsander FARFAN CRISTANCHO","1:08.348","5","1.264","0.079"
"8","46","Maria Paula ARIAS MEDINA","1:08.448","5","1.364","0.100"
"9","21","Yefry Alexis VANEGAS GIRALDO","1:08.460","5","1.376","0.012"
"10","321","Nicolas Eduardo GUIO ESCOBAR","1:08.469","5","1.385","0.009"
"11","791","Alonso Herrera Carreño","1:08.503","5","1.419","0.034"
"12","528","Juan Andres MARIN ARANGO","1:08.532","3","1.448","0.029"
"13","734","Jefferson Camilo RODRIGUEZ MUÑOZ","1:08.819","2","1.735","0.287"
"14","100","Daniel Santiago GARCIA MARTINEZ","1:09.089","5","2.005","0.270"
"15","472","Cristian Leonardo RINCON ORTIZ","1:09.118","2","2.034","0.029"
"16","881","Jefferson Daniel CONTRERAS PINILLA","1:09.144","3","2.060","0.026"
"17","408","David Gerardo BETANCOURTH PABON","1:09.186","5","2.102","0.042"
"18","314","Andres Felipe GONZALEZ CIFUENT","1:09.243","4","2.159","0.057"
"19","985","Juan Carlos SANCHEZ RAMIREZ","1:09.658","4","2.574","0.415"
"20","546","Katherin TORO FORERO","1:10.625","5","3.541","0.967"
"21","526","Henry Wilson TORRES HERNANDEZ","1:11.035","5","3.951","0.410"
"22","321","Nicolas Eduardo GUIO ESCOBAR","","0","",""
"23","391","Jeiber duban ocampo Mosquera","","0","",""
"24","794","Cristian Steven BECERRA PUERTO","","0","",""
"25","918","Nicolás David Gaona Ramos","","0","",""
