"Pos.","N°","Nombre","Clase","Mejor T° total","En sesión","Dif. resp. 1°","R1. Mejor Tm","R2. Mejor Tm","R1. 2° Mejor","R2. 2° Mejor"
"1","139","Cesar Steven PRIETO USGAME","CRS Novatos","1:09.944","PRIMERA PRACTICA CLASIFICATORIA","","1:09.944","","1:10.296",""
"2","175","Edicson Andres LOPEZ LUIS","CRS Novatos","1:10.026","SEGUNDA PRACTICA CLASIFICATORIA","0.082","","1:10.026","","1:11.099"
"3","901","Yeferson alexander Morales Lopez","CRS Novatos","1:10.082","PRIMERA PRACTICA CLASIFICATORIA","0.138","1:10.082","","1:10.978",""
"4","808","Humberto CULMA MUÑOZ","CRS Novatos","1:10.174","PRIMERA PRACTICA CLASIFICATORIA","0.230","1:10.174","","1:10.258",""
"5","238","Juan Felipe LOPEZ CUBIDES","CRS Novatos","1:10.219","SEGUNDA PRACTICA CLASIFICATORIA","0.275","","1:10.219","","1:10.375"
"6","290","DANIELA TRIANA GIL","CRS Novatos","1:10.236","PRIMERA PRACTICA CLASIFICATORIA","0.292","1:10.236","","1:10.540",""
"7","233","Cristian Camilo BELLO GONZALEZ","CRS Novatos","1:10.467","SEGUNDA PRACTICA CLASIFICATORIA","0.523","","1:10.467","","1:11.440"
"8","655","Jhoan Sebastian bernal Aldana","CRS Novatos","1:10.497","PRIMERA PRACTICA CLASIFICATORIA","0.553","1:10.497","","1:10.518",""
"9","937","Daniel steven niño jaramillo","CRS Novatos","1:10.538","SEGUNDA PRACTICA CLASIFICATORIA","0.594","","1:10.538","","1:10.958"
"10","552","Samuel Esteban BERNAL CARDENAS","CRS Novatos","1:10.568","PRIMERA PRACTICA CLASIFICATORIA","0.624","1:10.568","","1:10.661",""
"11","720","Jorge Andres VILLEGAS RAMÍREZ","CRS Novatos","1:10.586","SEGUNDA PRACTICA CLASIFICATORIA","0.642","","1:10.586","","1:10.833"
"12","413","Nilam Mateo QUIROGA HERRERA","CRS Novatos","1:10.656","PRIMERA PRACTICA CLASIFICATORIA","0.712","1:10.656","","1:11.166",""
"13","156","Karen Tatiana REYES LAMPREA","CRS Novatos","1:10.705","SEGUNDA PRACTICA CLASIFICATORIA","0.761","","1:10.705","","1:10.948"
"14","404","Anderson Stid HERRERA WALTEROS","CRS Novatos","1:10.770","PRIMERA PRACTICA CLASIFICATORIA","0.826","1:10.770","","1:10.791",""
"15","559","Kevin Andres Alemán Hernández","CRS Novatos","1:10.784","PRIMERA PRACTICA CLASIFICATORIA","0.840","1:10.784","","1:11.267",""
"16","564","EDWARD ALEJANDRO FRANCISCONI VARGAS","CRS Novatos","1:10.914","SEGUNDA PRACTICA CLASIFICATORIA","0.970","","1:10.914","","1:11.840"
"17","955","Oswaldo Oliver Lopez saenz","CRS Novatos","1:11.026","PRIMERA PRACTICA CLASIFICATORIA","1.082","1:11.026","","1:11.088",""
"18","391","Jeiber duban ocampo Mosquera","CRS Novatos","1:11.081","PRIMERA PRACTICA CLASIFICATORIA","1.137","1:11.081","","1:11.765",""
"19","647","Jorge Andrés Diaz Ardila","CRS Novatos","1:11.211","PRIMERA PRACTICA CLASIFICATORIA","1.267","1:11.211","","1:11.473",""
"20","87","gerson caleb serrano daza","CRS Novatos","1:11.236","SEGUNDA PRACTICA CLASIFICATORIA","1.292","","1:11.236","","1:11.678"
"21","313","Roberson cuellar","CRS Novatos","1:11.259","SEGUNDA PRACTICA CLASIFICATORIA","1.315","","1:11.259","","1:11.505"
"22","792","Daniel Felipe Briceño Bautista","CRS Novatos","1:11.265","PRIMERA PRACTICA CLASIFICATORIA","1.321","1:11.265","","1:11.415",""
"23","572","Valeria MUÑOZ MORALES","CRS Novatos","1:11.301","SEGUNDA PRACTICA CLASIFICATORIA","1.357","","1:11.301","","1:11.816"
"24","918","Nicolás David Gaona Ramos","CRS Novatos","1:11.558","PRIMERA PRACTICA CLASIFICATORIA","1.614","1:11.558","","1:13.006",""
"25","122","Jeison David Sanchez Restrepo","CRS Novatos","1:11.583","SEGUNDA PRACTICA CLASIFICATORIA","1.639","","1:11.583","","1:11.992"
"26","275","Julian Andres HERRERA WALTEROS","CRS Novatos","1:11.599","PRIMERA PRACTICA CLASIFICATORIA","1.655","1:11.599","","1:11.619",""
"27","833","Fabián Manolo Flores Morales","CRS Novatos","1:11.646","SEGUNDA PRACTICA CLASIFICATORIA","1.702","","1:11.646","","1:11.907"
"28","512","Elian Felipe Maldonado Solano","CRS Novatos","1:11.678","SEGUNDA PRACTICA CLASIFICATORIA","1.734","","1:11.678","","1:12.312"
"29","281","Daniel Felipe GUERRERO MONTILLA","CRS NOVATOS","1:11.683","SEGUNDA PRACTICA CLASIFICATORIA","1.739","","1:11.683","","1:12.032"
"30","384","Edimberg Estiven VELASQUEZ CHAPARRO","CRS Novatos","1:11.769","PRIMERA PRACTICA CLASIFICATORIA","1.825","1:11.769","","1:12.492",""
"31","679","Sebastian MARTINEZ SILVA","CRS Novatos","1:11.797","SEGUNDA PRACTICA CLASIFICATORIA","1.853","","1:11.797","","1:11.957"
"32","934","Michael Bresneck OROZCO CRUZ","CRS Novatos","1:11.887","PRIMERA PRACTICA CLASIFICATORIA","1.943","1:11.887","","1:12.104",""
