"Pos.","N°","Nombre","Dif. resp. 1°","MOTO","LIGA","CLUB","Total puntos","R1. ","R2. "
"1","527","David Alejandro franco Orozco","0","","Antioquia","STUNT FIVE","28","13","15"
"2","468","Christian CAJICA","0","","Bogotá D.C.","Racing pilots Academy","28","15","13"
"3","437","Julián Enrique González Alfonso","6","","Antioquia","CLUB MOTOCROSS YARUMAL","22","11","11"
"4","778","JHONATAN STEVENS IDAGARRA LOPEZ","9","","Antioquia","CLUB DE MOTOCICLISMO STUNT FIVE","19","9","10"
"5","143","Jorge enrique espinosa romero","10","","Bogotá D.C.","Racing pilots Academy","18","10","8"
"6","192","Juan Sebastian Medina acevedo","11","","Antioquia","CLUB MOTOCROSS DE YARUMAL","17","8","9"
"7","575","Carlos Enrique González Mora","14","","Antioquia","CLUB MOTOCROSS YARUMAL","14","7","7"
"NT","804-E","Gustavo Pinzon castillo","28","","Bogotá D.C.","Todo terreno track","0","0","--"
"NT","6","Mauricio RUIZ ANGEL","28","","Antioquia","STUNT FIVE","0","0","--"
"NT","990","Brayan Andrés canro contreras","28","","Bogotá D.C.","Racing pilots Academy","0","0","--"
"NT","230","JUAN DAVID MUÑOZ RESTREPO","28","","Antioquia","CLUB GRILLOS RACING","0","0","--"
