"Pos.","N°","Nombre","Mejor Tm","En Vuelta","Dif. resp. 1°","Dif. resp. anterior"
"1","46","Maria Paula ARIAS MEDINA","1:09.284","2","",""
"2","290","DANIELA TRIANA GIL","1:09.858","2","0.574","0.574"
"3","156","Karen Tatiana REYES LAMPREA","1:10.435","5","1.151","0.577"
"4","546","Katherin TORO FORERO","1:10.573","2","1.289","0.138"
"5","591","Paula Fernanda PEÑA HERNANDEZ","1:12.270","3","2.986","1.697"
"6","572","Valeria MUÑOZ MORALES","1:13.091","4","3.807","0.821"
"7","371","Edna Lizeth ESCOBAR CORTES","1:13.179","3","3.895","0.088"
"8","525","Angie Daniela SANTAMARIA MARIN","1:13.251","3","3.967","0.072"
"9","868","Liz Dayana LUNA GUTIERREZ","1:14.569","4","5.285","1.318"
"10","225","Laura Sofia BARRERA ACUÑA","1:14.726","5","5.442","0.157"
"11","997","Laura Camila Castaño Vasquez","1:14.869","5","5.585","0.143"
"12","974","Angie Carolina MUJICA PAEZ","1:15.271","2","5.987","0.402"
"13","399","Angela Yiseth OTERO BECERRA","1:15.777","5","6.493","0.506"
"14","58","Maroly Nicole BASABE","1:15.971","4","6.687","0.194"
"15","376","Laura Sabhina Franco Gonzalez","1:16.763","5","7.479","0.792"
"16","271","Paula Andrea URREGO ARIAS","1:16.839","2","7.555","0.076"
"17","247","Angie Valentina Bayona Rodriguez","1:17.069","4","7.785","0.230"
"18","446","Diana Katherine PEÑA VILLALBA","1:17.144","5","7.860","0.075"
"19","253","Nicolle Vanessa DIAZ LOPEZ","1:17.624","5","8.340","0.480"
"20","762","Valeria ALVAREZ ALZATE","1:17.967","4","8.683","0.343"
"21","405","Erika Milena OVALLE OCHOA","1:18.377","2","9.093","0.410"
"22","916","Laura Sofía Barahona porras","1:18.868","2","9.584","0.491"
"23","678","Lizeth Johanna CARVAJALINO VASQUEZ","1:18.966","2","9.682","0.098"
"24","318","Manuela MORENO ESPINEL","1:20.279","3","10.995","1.313"
"25","529","Maria Fernanda JIMENEZ VILLALBA","1:20.598","2","11.314","0.319"
"26","924","LAURA SOFIA TAPIAS COCA","1:21.355","2","12.071","0.757"
"27","173","ACERCARSE A SECRETARIA","1:23.968","5","14.684","2.613"
"28","821","Karen Sofía Muñoz Sanabria","","0","",""
"29","236","Andrea Muñoz Melo","","0","",""
