"Pos.","N°","Nombre","Mejor Tm","En Vuelta","Dif. resp. 1°","Dif. resp. anterior"
"1","726","Nicolas MILLAN MURILLO","1:01.248","5","",""
"2","721","Juan Andres RODRIGUEZ ARIAS","1:01.940","6","0.692","0.692"
"3","189","Luis Felipe PALOMINO MEJIA","1:02.118","5","0.870","0.178"
"4","17","Cristian Camilo VASQUEZ POSADA","1:02.932","4","1.684","0.814"
"5","119","Cesar Alfonso TELLEZ OCAMPO","1:02.959","5","1.711","0.027"
"6","444","David Stevens RESTREPO MEJÍA","1:03.034","5","1.786","0.075"
"7","28","Jose Miguel GONZALEZ HERNANDEZ","1:03.036","4","1.788","0.002"
"8","223","Daniel DUQUE","1:03.138","2","1.890","0.102"
"9","474","Carlos Andres MOLINA PELAEZ","1:04.132","6","2.884","0.994"
"10","790","Juan Gerardo ALBARAN HINCAPIE","1:04.309","5","3.061","0.177"
"11","535","Santiago LONDOÑO CALLE","1:04.571","5","3.323","0.262"
"12","301","Juan Pablo ANGEL BECERRA","1:04.664","5","3.416","0.093"
"13","668","Santiago Marcelo CARDONA GIRALDO","1:06.111","2","4.863","1.447"
"14","151","Juan Pablo JARAMILLO OCAMPO","1:08.726","2","7.478","2.615"
"15","892","Diego Fernando BUITRAGO PATIÑO","1:08.785","1","7.537","0.059"
"16","922","Sebastian OSORIO GIRALDO","1:08.813","1","7.565","0.028"
