"Pos.","N°","Nombre","Dif. resp. 1°","MOTO","LIGA","CLUB","Total puntos","R1. ","R2. "
"1","272","Alfonso Gustavo LINARES OCHOA","0","","Bogotá D.C.","Todo terreno track","30","15","15"
"2","189","Luis Felipe PALOMINO MEJIA","6","","Tolima","CLUB PISTON RACING","24","11","13"
"3","12","Tomas PUERTA VASQUEZ","6","","Antioquia","CLUB LOS PASKINES","24","13","11"
"4","931","Cesar Augusto VALDIVIESO VARGAS","10","","Cundinamarca","CLUB GIRARDOT RACING","20","10","10"
"5","40","Santiago ALZATE GOMEZ","14","","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","16","8","8"
"6","716","Jesus Aurelio BURGOS TORRES","14","","Bogotá D.C.","Todo terreno track","16","9","7"
"7","97","Edinson Esteban RONCERIA SILVA","17","","Bogotá D.C.","Todo terreno track","13","7","6"
"8","11","Juan Esteban RAMIREZ GOMEZ","19","","Antioquia","CLUB MOTOCROSS YARUMAL","11","6","5"
"9","73","Richard Edward MENJURA MACIAS","21","","Santander","CLUB DEPORTIVO SANTANDER MAX EXTREMO","9","0","9"
"10","771","Cristhian Camilo CASTRILLON RAMIREZ","21","","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","9","5","4"
"11","909","Javier ARIAS CASTAÑEDA","25","","Antioquia","CLUB LOS PASKINES","5","2","3"
"12","62","Carlos Emanuel PAZ MORENO","25","","Nariño","CLUB JOSMARC MOTOS RACING","5","4","1"
"13","984","Jhon Javier MONSALVE MENDOZA","26","","Tolima","CLUB PISTON RACING","4","3","1"
"14","87","gerson caleb serrano daza","27","","Bogotá D.C.","Todo terreno track","3","1","2"
"NT","869","Mario Andres GONZALEZ GOMEZ","30","","Valle del Cauca","Team Potenza","0","0","0"
"NT","496","Nicolas BERMUDEZ CASTILLO","30","","Bogotá D.C.","Racing pilots Academy","0","0","0"
"NT","13","Angelo Mauricio BONILLA ZAPATA","30","","Bogotá D.C.","Racing pilots Academy","0","0","0"
"NT","728","Luis Felipe ARREDONDO GIRALDO","30","","Antioquia","CLUB LOS PASKINES","0","0","0"
"NT","248","JUAN DAVID ORTEGA PATIÑO","30","","Nariño","MOTOCLUB TANGUA RACING","0","0","0"
"NT","630","Herman Andres MANTILLA NUÑEZ","30","","Santander","CLUB DEPORTIVO SANTANDER MAX EXTREMO","0","0","0"
"NT","779","Rafael Andrés Rojas Ibáñez","30","","Bogotá D.C.","Todo terreno track","0","0","0"
