"Pos.","N°","Nombre","Mejor Tm","En Vuelta","Dif. resp. 1°","Dif. resp. anterior"
"1","272","Alfonso Gustavo LINARES OCHOA","56.275","3","",""
"2","12","Tomas PUERTA VASQUEZ","58.004","3","1.729","1.729"
"3","189","Luis Felipe PALOMINO MEJIA","58.270","4","1.995","0.266"
"4","716","Jesus Aurelio BURGOS TORRES","58.776","2","2.501","0.506"
"5","931","Cesar Augusto VALDIVIESO VARGAS","58.833","3","2.558","0.057"
"6","73","Richard Edward MENJURA MACIAS","58.914","2","2.639","0.081"
"7","97","Edinson Esteban RONCERIA SILVA","59.592","4","3.317","0.678"
"8","40","Santiago ALZATE GOMEZ","59.664","2","3.389","0.072"
"9","11","Juan Esteban RAMIREZ GOMEZ","1:00.435","2","4.160","0.771"
"10","909","ACERCARSE A SECRETARIA","1:00.804","1","4.529","0.369"
"11","62","Carlos Emanuel PAZ MORENO","1:00.886","3","4.611","0.082"
"12","87","gerson caleb serrano daza","1:01.641","2","5.366","0.755"
"13","984","Jhon Javier MONSALVE MENDOZA","1:02.180","3","5.905","0.539"
"14","771","Cristhian Camilo CASTRILLON RAMIREZ","1:02.401","4","6.126","0.221"
"15","573","Vicente Arturo Parada Reyes","","0","",""
"16","779","Rafael Andrés Rojas Ibáñez","","0","",""
