"Pos.","N°","Nombre","Dif. resp. 1°","MOTO","LIGA","CLUB","Total puntos","R1. ","R2. "
"1","272","Alfonso Gustavo LINARES OCHOA","0","","Bogotá D.C.","Todo terreno track","30","15","15"
"2","726","Nicolas MILLAN MURILLO","4","","Cauca","CLUB CORONA CLUB XTREME PARK","26","13","13"
"3","52","Edgar Andres JARAMILLO GOMEZ","8","","Antioquia","CLUB MOTOCROSS YARUMAL","22","11","11"
"4","49","Andres Felipe RONCERIA SILVA","10","","Bogotá D.C.","Todo terreno track","20","10","10"
"5","304","Pedro Alejandro GALINDO AMAYA","12","","Bogotá D.C.","Racing pilots Academy","18","9","9"
"6","810","Gustavo Adolfo FERRO CORCHUELO","14","","Bogotá D.C.","Xspeed Racing","16","8","8"
"7","245","Johann Andres SUSA VALENCIA","16","","Bogotá D.C.","Racing pilots Academy","14","7","7"
"8","542","Cristian David HENAO PINTO","18","","Bogotá D.C.","Racing pilots Academy","12","6","6"
"9","237","Osval Luis LAMBRAÑO MOTTA","20","","Santander","CLUB DEPORTIVO SANTANDER MAX EXTREMO","10","5","5"
"10","476-E","JONATTAN URREGO HERNÁNDEZ","26","","Valle del Cauca","MOTOCLUB TRAVESURAS","4","0","4"
"NT","12","Tomas PUERTA VASQUEZ","30","Honda","Antioquia","CLUB LOS PASKINES","0","--","0"
"NT","69","Marco polo cano","30","Yamaha","Antioquia","CLUB GRILLOS RACING","0","--","0"
"NT","728","Luis Felipe ARREDONDO GIRALDO","30","Yamaha","Antioquia","CLUB LOS PASKINES","0","--","0"
"NT","94","Deiby Jair CORRALES RIOS","30","Yamaha","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","0","--","0"
"NT","813","Juan Felipe SIERRA OSORIO","30","Unite Motor","Cundinamarca","CLUB GIRARDOT RACING","0","--","0"
"NT","909","Javier ARIAS CASTAÑEDA","30","Yamaha","Antioquia","CLUB LOS PASKINES","0","--","0"
"NT","208","Angel Yesid IMBACHI ÑAÑEZ","30","Kawasaki","Bogotá D.C.","Todo terreno track","0","--","0"
"NT","590","Giovanni Andres AREVALO SALCEDO","30","Aprilia","Bogotá D.C.","Todo terreno track","0","--","0"
"NT","7","Luis Carlos III SARMIENTO CARVAJAL","30","KTM","Bogotá D.C.","Xspeed Racing","0","--","0"
"NT","366","Santiago Arbelaez Luna","30","Kawasaki","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","0","--","0"
