"Pos.","N°","Nombre","Mejor Tm","En Vuelta","Dif. resp. 1°","Dif. resp. anterior"
"1","272","Alfonso Gustavo LINARES OCHOA","57.665","4","",""
"2","52","Edgar Andres JARAMILLO GOMEZ","1:00.406","5","2.741","2.741"
"3","726","Nicolas MILLAN MURILLO","1:00.422","5","2.757","0.016"
"4","49","Andres Felipe RONCERIA SILVA","1:01.163","4","3.498","0.741"
"5","304","Pedro Alejandro GALINDO AMAYA","1:01.933","5","4.268","0.770"
"6","245","Johann Andres SUSA VALENCIA","1:02.103","3","4.438","0.170"
"7","810","Gustavo Adolfo FERRO CORCHUELO","1:03.277","2","5.612","1.174"
"8","542","Cristian David HENAO PINTO","1:03.435","4","5.770","0.158"
"9","237","Osval Luis LAMBRAÑO MOTTA","1:04.621","3","6.956","1.186"
"10","64","ACERCARSE A SECRETARIA","1:06.932","2","9.267","2.311"
"11","7","Luis Carlos III SARMIENTO CARVAJAL","","0","",""
"12","12","Tomas PUERTA VASQUEZ","","0","",""
"13","476-E","JONATTAN URREGO HERNÁNDEZ","","0","",""
