"Pos.","N°","Nombre","Dif. resp. 1°","MOTO","LIGA","CLUB","Total puntos","R1. ","R2. "
"1","28","Jose Miguel GONZALEZ HERNANDEZ","0","","Quindío","CLUB MONSTER GARAGE","28","13","15"
"2","227","Rigo German SALAZAR CERON","3","","Quindío","CLUB MONSTER GARAGE","25","15","10"
"3","726","Nicolas MILLAN MURILLO","6","","Cauca","CLUB CORONA CLUB XTREME PARK","22","9","13"
"4","41","Nicolas DUQUE PATIÑO","9","","Meta","VILLAVICENCIO RACING CLUB","19","8","11"
"5","272","Alfonso Gustavo LINARES OCHOA","13","","Bogotá D.C.","Todo terreno track","15","6","9"
"6","98","Mateo CASTELLANOS CARVAJAL","14","","Caldas","CLUB JHC RACING","14","11","3"
"7","931","Cesar Augusto VALDIVIESO VARGAS","16","","Cundinamarca","CLUB GIRARDOT RACING","12","4","8"
"8","243","David Fernando BURBANO GOMEZ","16","","Putumayo","TEAM RACING MOCOA","12","10","2"
"9","59","Carlos Andres Urrea Henao","19","","Antioquia","CLUB GRILLOS RACING","9","3","6"
"10","189","Luis Felipe PALOMINO MEJIA","20","","Tolima","CLUB PISTON RACING","8","7","1"
"11","119","Cesar Alfonso TELLEZ OCAMPO","21","","Santander","CLUB FLORIDA EXTREMO","7","0","7"
"12","52","Edgar Andres JARAMILLO GOMEZ","22","","Antioquia","CLUB MOTOCROSS YARUMAL","6","1","5"
"13","155","Juan Felipe HERNANDEZ ALZATE","23","","Meta","CLUB LLANEROS RANCING","5","5","--"
"14","721","Juan Andres RODRIGUEZ ARIAS","23","","Caldas","CLUB MX PRO","5","1","4"
"15","375","Wilderman RAMIREZ","26","","Antioquia","CLUB GRILLOS RACING","2","2","0"
"16","444","David Stevens RESTREPO MEJÍA","27","","Antioquia","CLUB LOS PASKINES","1","1","--"
"17","48","David GIRALDO BETANCUR","28","","Antioquia","Club Deportivo Terras de San Marinno","0","0","--"
"NT","17","Cristian Camilo VASQUEZ POSADA","28","","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","0","0","--"
"NT","204","Andres Felipe LONDOÑO TRUJILLO","28","","Antioquia","CLUB GRILLOS RACING","0","0","--"
