"Pos.","N°","Nombre","Mejor Tm","En Vuelta","Dif. resp. 1°","Dif. resp. anterior"
"1","98","Mateo CASTELLANOS CARVAJAL","43.205","5","",""
"2","227","Rigo German SALAZAR CERON","55.722","3","12.517","12.517"
"3","726","Nicolas MILLAN MURILLO","55.868","6","12.663","0.146"
"4","28","Jose Miguel GONZALEZ HERNANDEZ","55.980","6","12.775","0.112"
"5","243","David Fernando BURBANO GOMEZ","56.077","6","12.872","0.097"
"6","272","Alfonso Gustavo LINARES OCHOA","56.171","6","12.966","0.094"
"7","119","Cesar Alfonso TELLEZ OCAMPO","56.249","6","13.044","0.078"
"8","59","Carlos Andres Urrea Henao","56.423","6","13.218","0.174"
"9","931","Cesar Augusto VALDIVIESO VARGAS","56.542","5","13.337","0.119"
"10","189","Luis Felipe PALOMINO MEJIA","56.545","2","13.340","0.003"
"11","721","Juan Andres RODRIGUEZ ARIAS","56.621","5","13.416","0.076"
"12","155","Juan Felipe HERNANDEZ ALZATE","56.952","3","13.747","0.331"
"13","52","Edgar Andres JARAMILLO GOMEZ","57.103","6","13.898","0.151"
"14","444","David Stevens RESTREPO MEJÍA","58.649","6","15.444","1.546"
"15","48","David GIRALDO BETANCUR","59.093","6","15.888","0.444"
"16","375","Wilderman RAMIREZ","59.146","6","15.941","0.053"
"17","204","Andres Felipe LONDOÑO TRUJILLO","59.330","1","16.125","0.184"
"18","17","Cristian Camilo VASQUEZ POSADA","","0","",""
"19","41","Nicolas DUQUE PATIÑO","","0","",""
"20","314","ACERCARSE A SECRETARIA","","0","",""
