"Pos.","N°","Nombre","Dif. resp. 1°","MOTO","LIGA","CLUB","Total puntos","R1. ","R2. "
"1","909","Javier ARIAS CASTAÑEDA","0","","Antioquia","CLUB LOS PASKINES","30","15","15"
"2","387","Germán Darío Olaya caseres","4","","Tolima","CLUB COLOYA RACING TEAM","26","13","13"
"3","207","David Alejandro FORERO ZAPATA","8","","Putumayo","TEAM RACING MOCOA","22","11","11"
"4","144","John Andrés VIVAS VARON","12","","Valle del Cauca","Dos Ruedas Racing Team","18","8","10"
"5","710","ACERCARSE A SECRETARIA","16","","","","14","5","9"
"6","19","Edwin Alfonso Ruiz","16","","Tolima","CLUB MOTORBIKE","14","6","8"
"7","842","Alexander DUQUE PATIÑO","16","","Meta","VILLAVICENCIO RACING CLUB","14","7","7"
"8","160","Jose Angel Moreno Varon","20","","Tolima","CLUB MOTORBIKE","10","9","1"
"9","928","Luis Carlos POLANCO GAMBOA","20","","Huila","CLUB MOTO JAPONESA","10","10","0"
"10","81","Juan Pablo RUIZ ALVAREZ","21","","Tolima","GR 522 RACING","9","3","6"
"11","707","Juan Pablo PUERTA ALZATE","23","","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","7","2","5"
"12","330","Mauricio VIEIRA SOTO","26","","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","4","0","4"
"13","314","Andres Felipe GONZALEZ CIFUENTES","26","","Meta","SUTA RACING CLUB","4","4","0"
"14","249","Ricardo ORTEGON GUZMAN","27","","Tolima","CLUB BUNDE ESPINAL","3","0","3"
"15","94","Deiby Jair CORRALES RIOS","28","","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","2","0","2"
"16","452","Hugo Mauricio ARROYAVE ARANDA","28","","Cundinamarca","CLUB GIRARDOT RACING","2","1","1"
"17","71","Christian Restrepo Henao","29","","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","1","0","1"
"18","938","Luis Alejandro BALLEN CORTES","29","","Cundinamarca","CLUB IGUANA RACING GIRARDOT","1","1","0"
"19","151","Juan Pablo JARAMILLO OCAMPO","29","","Antioquia","CLUB LOS PASKINES","1","1","0"
"20","889","Gustavo Adolfo RUGELES URBINA","30","","Bogotá D.C.","Racing pilots Academy","0","0","0"
"21","607","Michael stevens cadena Pineda","30","","Cundinamarca","CLUB IGUANA RACING GIRARDOT","0","0","0"
"22","492","RICHARD QUEZADA QUINTERO","30","","Quindío","CLUB MONSTER GARAGE","0","0","0"
"23","698","Luis Felipe Patino Lopez","30","","Bogotá D.C.","Racing pilots Academy","0","0","0"
"24","855","Jose Daniel VARGAS GUZMAN","30","","Tolima","CLUB PISTON RACING","0","0","0"
"25","640","Steven Quito Rodriguez","30","","Bogotá D.C.","Racing pilots Academy","0","0","0"
"NT","751","Daniel ARCILA MAYA","30","","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","0","0","0"
"NT","568-E","Juan Sebastián Arango Giraldo","30","","Antioquia","Club Deportivo Terras de San Marinno","0","0","0"
"NT","995-E","Gerardo Gomez Arce","30","","Bogotá D.C.","Club BOGOTA","0","0","0"
"NT","53","Adrian Arlex GUERRERO FERNANDEZ","30","","Tolima","GR 522 RACING","0","0","0"
"NT","85","Yesid Espitia Cifuentes","30","","Cundinamarca","CLUB IGUANA RACING GIRARDOT","0","0","0"
"NT","88","Gerardo camilo TORRES","30","","Valle del Cauca","Dos Ruedas Racing Team","0","0","0"
"NT","697","JOSE ARMANDO BARBOSA ESCOBAR","30","","Cesar","K-LIMA RACING","0","0","0"
"NT","50","Jorge Andrés ORTEGON CHACON","30","","Tolima","GR 522 RACING","0","0","0"
"NT","596","Juan David PIEDRAHITA PINEDA","30","","Quindío","CLUB MONSTER GARAGE","0","0","0"
"NT","343","Juan Pablo BURBANO GOMEZ","30","","Putumayo","TEAM RACING MOCOA","0","0","0"
"NT","248","JUAN DAVID ORTEGA PATIÑO","30","","Nariño","MOTOCLUB TANGUA RACING","0","0","0"
"NT","27","Lisandro VASQUEZ RAMIREZ","30","","Valle del Cauca","MOTOCLUB TRAVESURAS","0","0","0"
"NT","132","Juan Sebastian BUITRAGO CHAVES","30","","Cundinamarca","CLUB SCOOTER PERFORMANCE GIRARDOT","0","0","0"
"NT","683","Brayan Smith LEAL ARIAS","30","","Tolima","CLUB PISTON RACING","0","0","0"
"NT","799","Michael Samuel Sarmiento Pedreros","30","","Tolima","CLUB MOTORBIKE","0","0","0"
"NT","727","Diego René cañón cantor","30","","Cundinamarca","MOTO CLUB MRACING LA VEGA","0","0","0"
"NT","837","Andrei Ricardo Lopez Leon","30","","Bogotá D.C.","Todo terreno track","0","0","0"
