"Pos.","N°","Nombre","Mejor Tm","En Vuelta","Dif. resp. 1°","Dif. resp. anterior"
"1","249","Ricardo ORTEGON GUZMAN","59.067","3","",""
"2","387","Germán Darío Olaya caseres","59.093","8","0.026","0.026"
"3","928","Luis Carlos POLANCO GAMBOA","59.123","7","0.056","0.030"
"4","909","ACERCARSE A SECRETARIA","59.177","6","0.110","0.054"
"5","160","Jose Angel Moreno Varon","59.294","3","0.227","0.117"
"6","207","","59.476","8","0.409","0.182"
"7","568-E","Juan Sebastián Arango Giraldo","59.859","6","0.792","0.383"
"8","631","Johan GOMEZ PEREZ","59.875","5","0.808","0.016"
"9","314","","1:00.089","6","1.022","0.214"
"10","144","John Andrés VIVAS VARON","1:00.209","3","1.142","0.120"
"11","842","Alexander DUQUE PATIÑO","1:00.504","5","1.437","0.295"
"12","19","Edwin Alfonso Ruiz","1:00.549","6","1.482","0.045"
"13","751","Daniel ARCILA MAYA","1:00.716","4","1.649","0.167"
"14","707","Juan Pablo PUERTA ALZATE","1:00.781","4","1.714","0.065"
"15","81","Juan Pablo RUIZ ALVAREZ","1:00.883","7","1.816","0.102"
"16","330","Mauricio VIEIRA SOTO","1:00.904","6","1.837","0.021"
"17","889","Gustavo Adolfo RUGELES URBINA","1:01.391","1","2.324","0.487"
"18","71","Christian Restrepo Henao","1:01.415","3","2.348","0.024"
"19","94","Deiby Jair CORRALES RIOS","1:02.060","6","2.993","0.645"
"20","151","Juan Pablo JARAMILLO OCAMPO","1:02.065","3","2.998","0.005"
"21","938","Luis Alejandro BALLEN CORTES","1:02.466","7","3.399","0.401"
"22","452","Hugo Mauricio ARROYAVE ARANDA","1:02.642","4","3.575","0.176"
"23","698","Luis Felipe Patino Lopez","1:03.642","6","4.575","1.000"
"24","607","Michael stevens cadena Pineda","1:03.900","5","4.833","0.258"
"25","640","Steven Quito Rodriguez","1:05.348","6","6.281","1.448"
"26","492","RICHARD QUEZADA QUINTERO","1:06.313","1","7.246","0.965"
"27","855","Jose Daniel VARGAS GUZMAN","1:07.756","3","8.689","1.443"
"28","160","Jose Angel Moreno Varon","","0","",""
"29","573","Vicente Arturo Parada Reyes","","0","",""
