"Pos.","N°","Nombre","Puntos","Clase","MOTO","LIGA","CLUB","Dif. resp. 1°","Mejor Tm","Vueltas","Comentario","Total T°"
"1","98","Mateo CASTELLANOS CARVAJAL","15","115 cc Elite","Yamaha","Caldas","CLUB JHC RACING","","1:24.275","5","","7:10.911"
"2","207","David Alejandro FORERO ZAPATA","13","115 cc Elite","Yamaha","Putumayo","TEAM RACING MOCOA","0.016","1:24.480","5","","7:10.927"
"3","726","Nicolas MILLAN MURILLO","11","115 cc Elite","Yamaha","Cauca","CLUB CORONA CLUB XTREME PARK","0.100","1:24.502","5","","7:11.011"
"4","412","Geronimo OROZCO RIOS","10","115 cc Elite","Yamaha","Meta","CLUB LLANEROS RANCING","0.111","1:24.839","5","","7:11.022"
"5","227","Rigo German SALAZAR CERON","9","115 cc Elite","Yamaha","Quindío","CLUB MONSTER GARAGE","0.152","1:24.570","5","","7:11.063"
"6","137","Alvaro Javier PLAZAS GONZALEZ","8","115 cc Elite","Yamaha","Cauca","CLUB CORONA CLUB XTREME PARK","0.332","1:24.920","5","","7:11.243"
"7","528","Juan Andres MARIN ARANGO","7","115 cc Elite","Yamaha","Valle del Cauca","MOTOCLUB TRAVESURAS","0.502","1:25.392","5","","7:11.413"
"8","145","Juan Pablo GALVIS QUINTERO","6","115 cc Elite","Yamaha","Putumayo","PUERTO ASIS","0.539","1:25.452","5","","7:11.450"
"9","17","Cristian Camilo VASQUEZ POSADA","5","115 cc Elite","Yamaha","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","0.706","1:24.788","5","","7:11.617"
"10","813","Juan Felipe SIERRA OSORIO","4","115 cc Elite","Yamaha","Cundinamarca","CLUB GIRARDOT RACING","0.853","1:24.991","5","","7:11.764"
"11","921","Giomar Nicolas Ruiz Burbano","3","115 cc Elite","Yamaha","Nariño","MOTOCLUB CONSACA","0.921","1:24.678","5","","7:11.832"
"12","88","Gerardo camilo TORRES","2","115 cc Elite","Yamaha","Valle del Cauca","Dos Ruedas Racing Team","1.254","1:25.127","5","","7:12.165"
"13","210","JHON GARCIA","1","115 cc Elite","","","","1.762","1:25.088","5","","7:12.673"
"14","222-E","Jeisson David Lamilla","1","115 cc Elite","Yamaha","Cauca","CLUB CORONA CLUB XTREME PARK","2.121","1:24.611","5","","7:13.032"
"15","818","Jorge Andres Gomez Eraso","1","115 cc Elite","Yamaha","Nariño","CLUB DEPORTIVO BUFALO XTREM","8.783","1:24.983","5","","7:19.694"
"16","745","Jeronimo MARIN HENAO","0","115 cc Elite","","","","8.837","1:25.511","5","","7:19.748"
"17","119","CESAR TELLEZ","0","115 cc Elite","","Santander","","9.018","1:26.368","5","","7:19.929"
"18","133","Sergio Leon RESTREPO MEJIA","0","115 cc Elite","Yamaha","Antioquia","CLUB LOS PASKINES","9.453","1:26.582","5","","7:20.364"
"19","315","Sara Liseth VARON ULLOA","0","115 cc Elite","","","","9.501","1:26.248","5","","7:20.412"
"20","312","Eder Sebastian JARAMILLO YARA","0","115 cc Elite","Yamaha","Tolima","CLUB PISTON RACING","15.343","1:27.507","5","","7:26.254"
"21","517","Lyam Andres RIOS QUINTERO","0","115 cc Elite","Yamaha","Cesar","K-LIMA RACING","15.428","1:27.441","5","","7:26.339"
"22","554","Juan Camilo ALVAREZ PANTOJA","0","115 cc Elite","Yamaha","Nariño","CLUB DEPORTIVO SOLIMOTOS","15.533","1:27.513","5","","7:26.444"
"23","440","Jeronimo CASTRO RICO","0","115 cc Elite","Yamaha","Antioquia","CLUB GRILLOS RACING","16.008","1:27.475","5","","7:26.919"
"24","343","Juan Pablo BURBANO GOMEZ","0","115 cc Elite","Yamaha","Putumayo","TEAM RACING MOCOA","16.034","1:27.437","5","","7:26.945"
"25","722","Edwin JARAMILLO GALLEGO","0","115 cc Elite","Yamaha","Quindío","CLUB MONSTER GARAGE","16.151","1:27.499","5","","7:27.062"
"NT","41","Nicolas DUQUE PATIÑO","0","115 cc Elite","Honda","Meta","VILLAVICENCIO RACING CLUB","NT","1:25.201","5","","7:12.659"
"NT","28","Jose Miguel GONZALEZ HERNANDEZ","0","115 cc Elite","","QUINDIO","CLUB MONSTER GARAGE","NT","1:25.142","3","","4:19.336"
