"Pos.","N°","Nombre","Clase","LIGA","CLUB","MOTO","Mejor T° total","R1. Mejor Tm","R2. Mejor Tm","R1. 2° Mejor","R2. 2° Mejor"
"1","818","Jorge Andres Gomez Eraso","115 cc Elite","Nariño","CLUB DEPORTIVO BUFALO XTREM","Yamaha","1:00.329","","1:00.329","","1:00.565"
"2","98","Mateo CASTELLANOS CARVAJAL","115 cc Elite","Caldas","CLUB JHC RACING","Yamaha","1:07.997","","1:07.997","","1:14.281"
"3","28","Jose Miguel GONZALEZ HERNANDEZ","115 cc Elite","Quindío","CLUB MONSTER GARAGE","Yamaha","1:08.312","","1:08.312","","1:08.595"
"4","41","Nicolas DUQUE PATIÑO","115 cc Elite","Meta","VILLAVICENCIO RACING CLUB","Yamaha","1:08.440","","1:08.440","","1:08.700"
"5","429","Valentina MARTINEZ TRUJILLO","115 cc Elite","Tolima","CLUB PISTON RACING","Yamaha","1:08.461","","1:08.461","","1:08.533"
"6","243","David Fernando BURBANO GOMEZ","115 cc Elite","Putumayo","TEAM RACING MOCOA","Yamaha","1:08.474","","1:08.474","","1:08.725"
"7","207","David Alejandro FORERO ZAPATA","115 cc Elite","PUTUMAYO","TEAM RACING MOCOA","","1:08.573","","1:08.573","","1:09.167"
"8","119","Cesar Alfonso TELLEZ OCAMPO","115 cc Elite","Santander","CLUB FLORIDA EXTREMO","Yamaha","1:08.603","","1:08.603","","1:08.609"
"9","888","Jorge Yair BERNAL SUAREZ","115 cc Elite","Cundinamarca","CLUB GIRARDOT RACING","Yamaha","1:08.707","","1:08.707","","1:13.007"
"10","745-E","Jeronimo HENAO MARIN","115 cc Elite","Cauca","CLUB CORONA CLUB XTREME PARK","Yamaha","1:08.737","","1:08.737","","1:08.835"
"11","166","Johan Camilo GIRALDO RAMIREZ","115 cc Elite","Quindío","CLUB MONSTER GARAGE","Yamaha","1:08.921","1:08.921","","1:09.168",""
"12","155","Juan Felipe HERNANDEZ ALZATE","115 cc Elite","Meta","CLUB LLANEROS RANCING","Yamaha","1:09.020","1:09.020","","1:09.188",""
"13","137","Alvaro Javier PLAZAS GONZALEZ","115 cc Elite","Cauca","CLUB CORONA CLUB XTREME PARK","Yamaha","1:09.126","1:09.126","","1:09.489",""
"14","17","Cristian Camilo VASQUEZ POSADA","115 cc Elite","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","Yamaha","1:09.139","1:09.139","","1:09.357",""
"15","145","Juan Pablo GALVIS QUINTERO","115 cc Elite","Putumayo","PUERTO ASIS","Yamaha","1:09.306","","1:09.306","","1:09.343"
"16","412","Geronimo OROZCO RIOS","115 cc Elite","Meta","CLUB LLANEROS RANCING","Yamaha","1:09.307","1:09.307","","1:09.358",""
"17","528","Juan Andres MARIN ARANGO","115 cc Elite","Valle del Cauca","MOTOCLUB TRAVESURAS","Yamaha","1:09.311","","1:09.311","","1:09.663"
"18","726","Nicolas MILLAN MURILLO","115 cc Elite","Cauca","CLUB CORONA CLUB XTREME PARK","Yamaha","1:09.486","1:09.486","","1:09.634",""
"19","227","Rigo German SALAZAR CERON","115 cc Elite","Quindío","CLUB MONSTER GARAGE","Yamaha","1:09.729","1:09.729","","1:09.892",""
"20","110","Nicolas EUSSE LONDOÑO","115 cc Elite","Antioquia","STUNT FIVE","Yamaha","1:09.768","1:09.768","","1:12.118",""
"21","390","Leider Johan ACEVEDO PERILLA","115 cc Elite","Cesar","K-LIMA RACING","Yamaha","1:09.955","","1:09.955","","1:10.397"
"22","146","ANDRES SANTIAGO HERNANDEZ COY","115 cc Elite","Meta","CLUB DE MOTOCICLISMO SANTIHC 146","Yamaha","1:10.010","","1:10.010","","1:10.065"
"23","387","Germán Darío Olaya caseres","115 cc Elite","Tolima","CLUB COLOYA RACING TEAM","Yamaha","1:10.091","1:10.091","","1:10.181",""
"24","219","Edwin Fernando VARON ULLOA","115 cc Elite","Tolima","CLUB PISTON RACING","Yamaha","1:10.141","","1:10.141","","1:10.380"
"25","710","Alexander DIAZ CASTAÑO","115 cc Elite","Cundinamarca","CLUB GIRARDOT RACING","Yamaha","1:10.382","","1:10.382","","1:10.418"
"26","107-E","Andres Felipe SERNA BELTRAN","115 cc Elite","Tolima","CLUB PISTON RACING","Yamaha","1:10.460","1:10.460","","1:10.893",""
"27","517","Lyam Andres RIOS QUINTERO","115 cc Elite","CESAR","K-LIMA RACING","","1:10.698","1:11.136","1:10.698","1:11.570","1:11.952"
"28","214","Gabriel Alejandro VALDIVIESO FLOREZ","115 cc Elite","Bogotá D.C.","Racing pilots Academy","Yamaha","1:10.771","1:10.771","","1:15.915",""
"29","205","Miguel Angel RIVERA MARIN","115 cc Elite","Santander","CLUB FLORIDA EXTREMO","Yamaha","1:11.720","","1:11.720","","1:11.971"
"30","717","Nolberto MARTINEZ CANO","115 cc Elite","Quindío","CLUB MONSTER GARAGE","Yamaha","1:11.858","1:11.858","","1:22.336",""
"31","343","Juan Pablo BURBANO GOMEZ","115 cc Elite","Putumayo","TEAM RACING MOCOA","Yamaha","1:12.032","","1:12.032","","1:12.053"
"32","722","Edwin JARAMILLO GALLEGO","115 cc Elite","Quindío","CLUB MONSTER GARAGE","Yamaha","1:12.033","1:12.033","","1:12.533",""
"33","255","Juan Sebastian WONG RODRÍGUEZ","115 cc Elite","Quindío","CLUB MONSTER GARAGE","Yamaha","1:12.323","1:12.323","","1:13.083",""
"34","162","ALEXANDER GUARIN SALAZAR","115 cc Elite","Quindío","CLUB MONSTER GARAGE","Bajaj","1:12.374","1:12.374","","1:12.884",""
"35","329","Daniel Alberto PULGARIN RESTREPO","115 cc Elite","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","Yamaha","1:12.589","1:12.589","","1:15.082",""
"36","210","Jhon Mario GARCÍA CASTRO","115 cc Elite","Valle del Cauca","MOTOCLUB TRAVESURAS","Yamaha","1:12.967","","1:12.967","","1:13.985"
"37","707","Juan Pablo PUERTA ALZATE","115 cc Elite","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","Yamaha","1:12.988","1:12.988","","1:13.888",""
"38","941","Diego Libany Garcia Bernal","115 cc Elite","Cundinamarca","CLUB IGUANA RACING GIRARDOT","Yamaha","1:13.078","","1:13.078","","1:13.260"
"39","424","Juan Manuel FORERO BANDERA","115 cc Elite","Tolima","CLUB PISTON RACING","Yamaha","1:13.548","1:13.548","","1:13.638",""
"40","254","David Estiber Echeverria Almeida","115 cc Elite","Cesar","K-LIMA RACING","Yamaha","1:13.705","1:13.705","","1:14.098",""
"41","450","Derian Andres ROZO CASTIBLANCO","115 cc Elite","Cundinamarca","LISTO PILOTO","Yamaha","1:14.295","","1:14.295","","1:14.586"
"42","769","Juan Carlos BUILES MARIN","115 cc Elite","Antioquia","CLUB GRILLOS RACING","Yamaha","1:15.588","1:15.588","","1:15.720",""
"43","204","Andres Felipe LONDOÑO TRUJILLO","115 cc Elite","Antioquia","CLUB GRILLOS RACING","Yamaha","","","","",""
"44","828","Danny Williams SUAREZ BEDOYA","115 cc Elite","Cundinamarca","CLUB IGUANA RACING GIRARDOT","Yamaha","","","","",""
"45","314","Andres Felipe GONZALEZ CIFUENTES","115 cc Elite","Meta","SUTA RACING CLUB","Yamaha","","","","",""
