"Pos.","N°","Nombre","Puntos","Clase","MOTO","LIGA","CLUB","Dif. resp. 1°","Mejor Tm","Vueltas","Comentario","Total T°"
"1","214","Gabriel Alejandro VALDIVIESO FLOREZ","15","115 cc Infantil","GasGas","Bogotá D.C.","Racing pilots Academy","","1:25.645","8","","11:35.227"
"2","745","Jeronimo HENAO MARIN","13","115 cc Infantil","Yamaha","Cauca","","7.706","1:26.771","8","","11:42.933"
"3","312","Eder Sebastian JARAMILLO YARA","11","115 cc Infantil","Yamaha","Tolima","CLUB PISTON RACING","7.877","1:26.552","8","","11:43.104"
"4","255","Juan Sebastian WONG RODRÍGUEZ","10","115 cc Infantil","Yamaha","Quindío","CLUB MONSTER GARAGE","20.236","1:28.320","8","","11:55.463"
"5","205","Miguel Angel RIVERA MARIN","9","115 cc Infantil","Yamaha","Santander","CLUB FLORIDA EXTREMO","24.466","1:28.349","8","","11:59.693"
"6","168","Jeiccob David CARDOZO VERA","8","115 cc Infantil","Yamaha","Tolima","CLUB PISTON RACING","26.763","1:28.463","8","","12:01.990"
"7","323","Juan Jose ARREDONDO","7","115 cc Infantil","Yamaha","Antioquia","CLUB LOS PASKINES","29.000","1:28.969","8","","12:04.227"
"8","450","Derian Andres ROZO CASTIBLANCO","6","115 cc Infantil","Yamaha","Cundinamarca","LISTO PILOTO","37.462","1:30.249","8","","12:12.689"
"9","301","Juan Pablo ANGEL BECERRA","5","115 cc Infantil","Yamaha","Cesar","K-LIMA RACING","38.791","1:30.180","8","","12:14.018"
"10","712","Camilo Alexander TIQUE CORTES","4","115 cc Infantil","Yamaha","Quindío","CLUB DISCOVER QUINDIO","58.717","1:32.927","8","","12:33.944"
"11","870","Julian Felipe GRANADOS","3","115 cc Infantil","Yamaha","Cesar","K-LIMA RACING","1 Vuelta","1:40.370","7","","12:08.324"
"12","511","Gabriela Molina TORRES TRUJILLO","2","115 cc Infantil","Yamaha","Cundinamarca","CLUB GIRARDOT RACING","1 Vuelta","1:42.410","7","","12:10.740"
"NT","517","Lyam Andres RIOS QUINTERO","0","115 cc Infantil","Yamaha","Cesar","K-LIMA RACING","NT","1:26.337","7","","10:14.616"
"NT","715","Camilo Andres ARANGO DIAZ","0","115 cc Infantil","Yamaha","Casanare","Club Casanare","NT","1:30.145","7","","11:04.257"
"NT","465","Dominik Zahid HERNANDEZ GARCIA","0","115 cc Infantil","Yamaha","Cundinamarca","","NT","1:32.009","3","","4:45.968"
"NT","311","Nicolas SANCHEZ PULGARIN","0","115 cc Infantil","Yamaha","Cesar","K-LIMA RACING","NT","1:31.479","2","","3:06.207"
"NT","557","Esteban José ROPERO MARQUEZ","0","115 cc Infantil","Yamaha","Cesar","K-LIMA RACING","NT","","","","0.466"
"NT","518","Alan Javier RIOS QUINTERO","0","115 cc Infantil","Yamaha","Cesar","K-LIMA RACING","NT","","","","2.160"
