"Pos.","N°","Nombre","Puntos","Clase","MOTO","LIGA","CLUB","Dif. resp. 1°","Mejor Tm","Vueltas","Comentario","Total T°"
"1","755","Didier Esneider ALBORNOZ IBARGUEN","15","115 cc Inicio","Yamaha","Quindío","CLUB MONSTER GARAGE","","1:27.843","8","","11:50.596"
"2","480","David Santiago QUEZADA SOTO","13","115 cc Inicio","Yamaha","Quindío","CLUB MONSTER GARAGE","0.369","1:28.022","8","","11:50.965"
"3","115","William PEÑA CARDONA","11","115 cc Inicio","Yamaha","Antioquia","CLUB GRILLOS RACING","3.701","1:27.397","8","","11:54.297"
"4","625","Jose Fernando CARDENAS","10","115 cc Inicio","Bajaj","Cesar","K-LIMA RACING","9.741","1:28.455","8","","12:00.337"
"5","586","Jhon Edgar GARCIA DURAN","9","115 cc Inicio","Yamaha","Santander","CLUB DEPORTIVO SANTANDER MAX EXTREMO","9.757","1:27.592","8","","12:00.353"
"6","680","Juan Esteban RIVERA MARIN","8","115 cc Inicio","Yamaha","Santander","CLUB FLORIDA EXTREMO","10.060","1:28.403","8","","12:00.656"
"7","150","Juan Fernando CORTES LORA","7","115 cc Inicio","Yamaha","Quindío","CLUB MONSTER GARAGE","10.142","1:28.619","8","","12:00.738"
"8","63","Daniel Esteban TEJADA ","6","115 cc Inicio","Yamaha","Tolima","","15.749","1:29.453","8","","12:06.345"
"9","157","Sebastian Fabricio ROMERO TRUJILLO","5","115 cc Inicio","Yamaha","Cundinamarca","CLUB GIRARDOT RACING","15.783","1:28.641","8","","12:06.379"
"10","320","Luis Sneyder DELGADILLO CALDERON","4","115 cc Inicio","Yamaha","Santander","CLUB DEPORTIVO SANTANDER MAX EXTREMO","16.007","1:29.059","8","","12:06.603"
"11","410","Simon JULIO MONTOYA","3","115 cc Inicio","Yamaha","Antioquia","CLUB GRILLOS RACING","16.069","1:28.981","8","","12:06.665"
"12","894","Educardo RIOJAS MORENO","2","115 cc Inicio","Yamaha","Tolima","CLUB PISTON RACING","18.315","1:29.234","8","","12:08.911"
"13","817","Didier Esteban ESQUIVEL VILLARAGA","1","115 cc Inicio","Yamaha","Tolima","CLUB PISTON RACING","24.762","1:29.974","8","","12:15.358"
"14","729","Oscar Javier IBARRA ROJAS","1","115 cc Inicio","Yamaha","Huila","CLUB MOTO JAPONESA","24.787","1:29.809","8","","12:15.383"
"15","524","Jhon Edwar BALLESTEROS CARDONA","1","115 cc Inicio","Yamaha","Quindío","CLUB DISCOVER QUINDIO","24.981","1:30.052","8","","12:15.577"
"16","103","Juan Sebastian DIAZ OSPINA","0","115 cc Inicio","Yamaha","Huila","CLUB MOTO JAPONESA","25.021","1:30.007","8","","12:15.617"
"17","765","Juan Camilo RUIZ","0","115 cc Inicio","Yamaha","Antioquia","CLUB LOS PASKINES","25.528","1:29.801","8","","12:16.124"
"18","191","Santiago MARTINEZ ZULUAGA","0","115 cc Inicio","Yamaha","Caldas","CLUB RACING PERFORMANCE","27.529","1:30.497","8","","12:18.125"
"19","363","Jota Werman VERGARA QUICENO","0","115 cc Inicio","Yamaha","Quindío","CLUB DISCOVER QUINDIO","30.551","1:30.673","8","","12:21.147"
"20","811","Yoan Sebastián SALAZAR BUITRAGO","0","115 cc Inicio","Yamaha","Quindío","CLUB DISCOVER QUINDIO","30.672","1:29.827","8","","12:21.268"
"21","319","Oscar Julian ALARCON VERGARA","0","115 cc Inicio","Yamaha","Quindío","CLUB DISCOVER QUINDIO","30.782","1:30.146","8","","12:21.378"
"22","407","Sebastián RIOS OSORIO","0","115 cc Inicio","Yamaha","Valle del Cauca","MOTOCLUB TRAVESURAS","42.057","1:31.587","8","","12:32.653"
"23","453","Alexander MARIN YEPES","0","115 cc Inicio","Yamaha","Quindío","CLUB RUTEROS DEL QUINDIO","44.181","1:30.008","8","","12:34.777"
"24","961","Nelson Francisco GONZALEZ REYES","0","115 cc Inicio","Yamaha","Tolima","CLUB PISTON RACING","46.612","1:32.203","8","","12:37.208"
"NT","754","Humberto MORENO DIAZ","0","115 cc Inicio","Yamaha","Cesar","CLUB KALIMA RACING","NT","1:29.199","7","","10:35.797"
"NT","364","Manuel Alejandro MARIN TOVAR","0","115 cc Inicio","Yamaha","Meta","CLUB LLANEROS RANCING","NT","1:29.316","6","","9:12.998"
"NT","153","Jonathan Andres SORZA HERNANDEZ","0","115 cc Inicio","Yamaha","Cundinamarca","MOTO CLUB MRACING LA VEGA","NT","1:30.510","6","","9:15.142"
"NT","209","Elian Smith ULLOA TRIANA","0","115 cc Inicio","Yamaha","Tolima","CLUB PISTON RACING","NT","1:33.744","6","","9:34.588"
"NT","963","Jhojan CHAUX CIFUENTES","0","115 cc Inicio","Yamaha","Cauca","CLUB CORONA CLUB XTREME PARK","NT","1:29.601","5","","7:42.073"
"NT","732","Freddy Santiago MAYA OTAYA","0","115 cc Inicio","Yamaha","Nariño","CLUB DEPORTIVO BUFALO XTREM","NT","1:27.902","4","","5:58.301"
"NT","631","Johan GOMEZ PEREZ","0","115 cc Inicio","Yamaha","Quindío","CLUB RUTEROS DEL QUINDIO","NT","1:28.502","4","","5:58.501"
"NT","104","Juan Carlos GIRALDO","0","115 cc Inicio","Yamaha","Quindío","GARAJE MONSTAER","NT","1:29.908","4","","6:10.958"
"NT","417","Christian David CHAVARRO GALVIS","0","115 cc Inicio","Yamaha","Tolima","CLUB RADICAL RACING TEAM","NT","1:28.271","3","","4:30.796"
"NT","72","Joan Sebastian CASTILLO URREA","0","115 cc Inicio","Yamaha","Valle del Cauca","MOTOCLUB TRAVESURAS","NT","1:31.596","2","","3:14.065"
"NT","428","DANIEL QUINTANA CASTRO","0","115 cc Inicio","Yamaha","Quindío","CLUB RUTEROS DEL QUINDIO","NT","","","","1.175"
"NT","31","Jhan GOMEZ SERRANO","0","115 cc Inicio","Yamaha","Cesar","VIRUS RACING","NT","","","","4.219"
"NT","261","Santiago GAITAN","0","115 cc Inicio","Yamaha","Meta","SUTA RACING CLUB","NT","","","","1:07.864"
