Pos.;N°  Nombre;;LIGA;Mejor T° total;R1. Mejor Tm  ;R2. Mejor Tm;Dif. resp. 1°
1;428;Daniel QUINTANA CASTRO;Quindío;1:27.444;1:27.444;;
2;480;David Santiago QUEZADA SOTO;Quindío;1:28.050;;1:28.050;0,606
3;631;Johan GOMEZ PEREZ;Quindío;1:28.752;1:28.752;;1,308
4;417;Christian David CHAVARRO GALVIS;Tolima;1:28.871;;1:28.871;1,427
5;453;Alexander MARIN YEPES;Quindío;1:28.926;1:28.926;;1,482
6;407;Sebastián RIOS OSORIO;Valle del Cauca;1:28.935;1:32.102;1:28.935;1,491
7;586;Jhon Edgar GARCIA DURAN;Santander;1:29.098;1:29.098;;1,654
8;364;Manuel Alejandro MARIN TOVAR;Meta;1:29.342;1:29.342;;1,898
9;115;William PEÑA CARDONA;Antioquia;1:29.609;1:29.609;;2,165
10;157;Sebastian Fabricio ROMERO TRUJILLO;Cundinamarca;1:29.620;;1:29.620;2,176
11;755;Didier Esneider ALBORNOZ IBARGUEN;Quindío;1:29.655;;1:29.655;2,211
12;732;Freddy Santiago MAYA OTAYA;Nariño;1:29.728;1:29.728;;2,284
13;150;Juan Fernando CORTES LORA;Quindío;1:29.845;;1:29.845;2,401
14;680;Juan Esteban RIVERA MARIN;Santander;1:29.928;1:29.928;;2,484
15;625;José Fernando CARDENAS FONSECA;CESAR;1:30.086;1:30.086;;2,642
16;754;Humberto MORENO DIAZ;Cesar;1:30.111;1:30.111;;2,667
17;103;Juan Sebastian DIAZ OSPINA;Huila;1:30.121;1:30.121;;2,677
18;894;Educardo RIOJAS MORENO;Tolima;1:30.198;;1:30.198;2,754
19;363;Jota Werman VERGARA QUICENO;Quindío;1:30.271;1:30.271;;2,827
20;320;Luis Sneyder DELGADILLO CALDERON;Santander;1:30.313;1:30.313;;2,869
21;692;Deibi Alexander NARANJO VALLEJO;Quindío;1:30.521;1:30.521;;3,077
22;191;Santiago MARTINEZ ZULUAGA;Caldas;1:30.580;1:30.580;;3,136
23;524;Jhon Edwar BALLESTEROS CARDONA;Quindío;1:30.621;;1:30.621;3,177
24;963;Jhojan CHAUX CIFUENTES;Cauca;1:30.685;;1:30.685;3,241
25;153;Jonathan Andres SORZA HERNANDEZ;Cundinamarca;1:30.940;;1:30.940;3,496
26;209;Elian Smith ULLOA TRIANA;Tolima;1:31.060;1:31.060;;3,616
27;811;Yoan Sebastián SALAZAR BUITRAGO;Quindío;1:31.070;1:31.070;;3,626
28;319;Oscar Julian ALARCON VERGARA;Quindío;1:31.106;;1:31.106;3,662
29;63;Daniel Esteban TEJADA;Tolima;1:31.137;;1:31.137;3,693
30;31;Jhan GOMEZ SERRANO;Cesar;1:31.240;2:14.621;1:31.240;3,796
31;261;Santiago GAITAN;Meta;1:31.385;1:31.385;;3,941
32;410;Simon JULIO MONTOYA;Antioquia;1:31.486;;1:31.486;4,042
33;72;Joan Sebastian CASTILLO URREA;Valle del Cauca;1:31.539;;1:31.539;4,095
34;729;Oscar Javier IBARRA ROJAS;Huila;1:31.603;1:31.603;;4,159
35;104;Juan Carlos GIRALDO RAMIREZ;QUINDIO;1:31.675;1:31.675;;4,231
36;817;Didier Esteban ESQUIVEL VILLARAGA;Tolima;1:31.763;;1:31.763;4,319
37;765;Juan Camilo RUIZ;Antioquia;1:31.835;;1:31.835;4,391
38;961;Nelson Francisco GONZALEZ REYES;Tolima;1:31.870;1:31.870;;4,426
39;815;Nigel Mancel PRADA CHACON;Tolima;1:31.975;1:31.975;;4,531
40;309;Juan Camilo FERNANDEZ FERNANDEZ;Santander;1:32.045;1:32.045;;4,601
41;987;Santiago CASTAÑEDA DAVID;Antioquia;1:32.069;;1:32.069;4,625
42;286;Pedro Reynell BARAJAS BARRIOS;Tolima;1:32.249;1:32.249;;4,805
43;354;Ivan David OLAYA CASERES;Tolima;1:32.274;;1:32.274;4,830
44;509;Santiago MONCADA VILLEGAS;Cauca;1:32.568;1:32.568;;5,124
45;831-E;Alvaro Danilo CUASTUMAL PASTAS;Nariño;1:32.618;1:32.618;;5,174
46;316;Juan David CAMACHO SAAAVEDRA;Tolima;1:32.745;;1:32.745;5,301
47;798;Javier Andres HOYOS MUÑOZ;Putumayo;1:33.024;;1:33.024;5,580
48;162-E;Leonela Fernanda BURITICA RODRIGUEZ;Cauca;1:33.024;;1:33.024;5,580
49;411;Brian Steven SABOGAL ARTEAGA;Cundinamarca;1:33.761;;1:33.761;6,317
50;923;Frank Jose  PINTO FUENTES;QUINDIO;1:34.481;;1:34.481;7,037
51;905;Fabian NORIEGA GALVEZ;Cesar;1:34.611;1:34.611;;7,167
52;95;Gerardo Aníbal MARTINEZ OCHOA;Tolima;1:34.899;1:34.899;;7,455
53;77;David Estevan CALVACHE GONZALEZ;Nariño;1:35.048;;1:35.048;7,604
54;202;Daniel Sebastian ANGARITA BADILLO;Santander;1:35.329;;1:35.329;7,885
55;571;Nelson Javier FONSECA DUARTE;Cesar;1:35.428;;1:35.428;7,984
56;65;Brayan Stiven BERNAL OTALORA;Tolima;1:35.625;;1:35.625;8,181
57;747-E;Jhon Edison VALENCIA ORTIZ;Tolima;1:36.144;1:36.144;;8,700
58;325;Brayan Sneider GUTIERREZ CASTAÑEDA;Cesar;1:36.297;;1:36.297;8,853
59;57;Santiago NIETO LOPEZ;Caldas;1:37.056;1:37.056;;9,612
60;634;Jhonatan stiven NAVAS NAVAS;Tolima;1:39.300;1:39.300;;11,856
61;836;Diego Fernando REVELO VALLEJO;Putumayo;1:39.513;;1:39.513;12,069
