"Pos.","N°","Nombre","Puntos","Clase","MOTO","LIGA","CLUB","Dif. resp. 1°","Mejor Tm","Vueltas","Comentario","Total T°"
"1","714","Oscar Alejandro RUIZ RESTREPO","15","115 cc Master","Yamaha","Antioquia","CLUB LOS PASKINES","","1:26.612","8","","11:38.067"
"2","227","Rigo German SALAZAR CERON","13","115 cc Master","Yamaha","Quindío","CLUB MONSTER GARAGE","0.016","1:26.545","8","","11:38.083"
"3","133","Sergio Leon RESTREPO MEJIA","11","115 cc Master","Yamaha","Antioquia","CLUB LOS PASKINES","0.108","1:25.874","8","","11:38.175"
"4","710","Alexander DIAZ CASTAÑO","10","115 cc Master","Yamaha","Cundinamarca","CLUB GIRARDOT RACING","0.125","1:26.274","8","","11:38.192"
"5","888","Jorge Yair BERNAL SUAREZ","9","115 cc Master","Yamaha","Cundinamarca","CLUB GIRARDOT RACING","0.612","1:26.443","8","","11:38.679"
"6","578","Raul Andres ARTUNDUAGA ROJAS","8","115 cc Master","Yamaha","Quindío ","","0.758","1:25.949","8","","11:38.825"
"7","204","Andres Felipe LONDOÑO TRUJILLO","7","115 cc Master","Yamaha","Antioquia","CLUB GRILLOS RACING","12.645","1:27.360","8","","11:50.712"
"8","178","Carlos Andres CARDOZO MILLAN","6","115 cc Master","Yamaha","Tolima","CLUB PISTON RACING","12.747","1:27.374","8","","11:50.814"
"9","329","Daniel Alberto PULGARIN RESTREPO","5","115 cc Master","Yamaha","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","13.389","1:27.765","8","","11:51.456"
"10","119","Cesar Alfonso TELLEZ OCAMPO","4","115 cc Master","Yamaha","Santander","","26.976","1:27.428","8","15'' X ROBO DE SALIDA","12:05.043"
"11","722","Edwin JARAMILLO GALLEGO","3","115 cc Master","Yamaha","Quindío","CLUB MONSTER GARAGE","27.376","1:27.513","8","15'' X ROBO DE SALIDA","12:05.443"
"12","286","Pedro Reynell BARAJAS BARRIOS","2","115 cc Master","Yamaha","Tolima","CLUB PISTON RACING","30.864","1:29.724","8","","12:08.931"
"13","765","Juan Camilo RUIZ","1","115 cc Master","Yamaha","Antioquia","CLUB LOS PASKINES","31.184","1:29.719","8","","12:09.251"
"14","169","Hoover Alberto ORTIZ OSORIO","1","115 cc Master","Yamaha","Valle del Cauca","Dos Ruedas Racing Team","33.856","1:29.491","8","","12:11.923"
"15","27","Lisandro VASQUEZ RAMIREZ","1","115 cc Master","Yamaha","Valle del Cauca","MOTOCLUB TRAVESURAS","52.988","1:32.845","8","","12:31.055"
"16","790","Juan Gerardo ALBARAN HINCAPIE","0","115 cc Master","Yamaha","Antioquia","CLUB LOS PASKINES","53.052","1:32.467","8","","12:31.119"
"NT","106","Jose Wilson SAAVEDRA BARRERA","0","115 cc Master","Yamaha","Antioquia","","NT","1:33.754","6","","9:30.038"
"NT","616","Leonardo BARRERA SANTA","0","115 cc Master","Yamaha","Meta","CLUB LLANEROS RANCING","NT","1:29.926","5","","7:37.719"
"NT","83","Guillermo Augusto DIAZ","0","115 cc Master","Yamaha","Quindío","CLUB MONSTER GARAGE","NT","1:32.328","4","","6:16.486"
"NT","78","Hugo Alexander TOVAR OSORIO","0","115 cc Master","Yamaha","Caldas","CLUB RACING PERFORMANCE","NT","1:32.791","2","15'' X ROBO DE SALIDA","3:22.516"
"NT","460","Alvaro TAMAYO MEDINA","0","115 cc Master","Yamaha","Tolima","CLUB MOTORBIKE","NT","1:34.608","2","15'' X ROBO DE SALIDA","3:28.910"
