"Pos.","N°","Nombre","Clase","LIGA","CLUB","MOTO","Mejor T° total"
"1","429","Valentina MARTINEZ TRUJILLO","115 cc Elite","Tolima","CLUB PISTON RACING","Yamaha","1:24.680"
"2","813","Juan Felipe SIERRA OSORIO","115 cc Elite","Cundinamarca","CLUB GIRARDOT RACING","Yamaha","1:24.683"
"3","145","Juan Pablo GALVIS QUINTERO","115 cc Elite","Putumayo","PUERTO ASIS","Yamaha","1:25.000"
"4","243","David Fernando BURBANO GOMEZ","115 cc Elite","Putumayo","TEAM RACING MOCOA","Yamaha","1:25.091"
"5","28","Jose Miguel GONZALEZ HERNANDEZ","115 cc Elite","QUINDIO","CLUB MONSTER GARAGE","","1:25.107"
"6","210","Jhon Mario GARCÍA CASTRO","115 cc Elite","VALLE DEL CAUCA","MOTOCLUB TRAVESURAS","","1:25.112"
"7","41","Nicolas DUQUE PATIÑO","115 cc Elite","Meta","VILLAVICENCIO RACING CLUB","Honda","1:25.131"
"8","528","Juan Andres MARIN ARANGO","115 cc Elite","Valle del Cauca","MOTOCLUB TRAVESURAS","Yamaha","1:25.286"
"9","390","Leider Johan ACEVEDO PERILLA","115 cc Elite","Cesar","K-LIMA RACING","Yamaha","1:25.308"
"10","921","Giomar Nicolas RUIZ BURBANO","115 cc Elite","Nariño","MOTOCLUB CONSACA","Yamaha","1:25.371"
"11","88","Gerardo camilo TORRES","115 cc Elite","Valle del Cauca","Dos Ruedas Racing Team","Yamaha","1:25.405"
"12","137","Alvaro Javier PLAZAS GONZALEZ","115 cc Elite","Cauca","CLUB CORONA CLUB XTREME PARK","Yamaha","1:25.431"
"13","412","Geronimo OROZCO RIOS","115 cc Elite","Meta","CLUB LLANEROS RANCING","Yamaha","1:25.490"
"14","10","Helio Fabian ALVAREZ NARANJO","115 cc Elite","Cundinamarca","CLUB IGUANA RACING GIRARDOT","Yamaha","1:25.548"
"15","726","Nicolas MILLAN MURILLO","115 cc Elite","Cauca","CLUB CORONA CLUB XTREME PARK","Yamaha","1:25.633"
"16","166","Johan Camilo GIRALDO RAMIREZ","115 cc Elite","Quindío","CLUB MONSTER GARAGE","Yamaha","1:25.679"
"17","207","David Alejandro FORERO ZAPATA","115 cc Elite","Putumayo","TEAM RACING MOCOA","Yamaha","1:25.706"
"18","98","Mateo CASTELLANOS CARVAJAL","115 cc Elite","Caldas","CLUB JHC RACING","Yamaha","1:25.742"
"19","794","Cristian Steven BECERRA PUERTO","115 cc Elite","CUNDINAMARCA","","","1:25.959"
"20","17","Cristian Camilo VASQUEZ POSADA","115 cc Elite","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","Yamaha","1:25.999"
"21","227","Rigo German SALAZAR CERON","115 cc Elite","Quindío","CLUB MONSTER GARAGE","Yamaha","1:26.131"
"22","222-E","Jeisson David LAMILLA","115 cc Elite","Cauca","CLUB CORONA CLUB XTREME PARK","Yamaha","1:26.168"
"23","315","Sara Liseth VARON URRUTIA","115 cc Elite","TOLIMA","CLUB TOLIMA","","1:26.288"
"24","387","Germán Darío OLAYA CASERES","115 cc Elite","Tolima","CLUB COYOLA RACING TEAM","Yamaha","1:26.303"
"25","133","Sergio Leon RESTREPO MEJIA","115 cc Elite","Antioquia","CLUB LOS PASKINES","Yamaha","1:26.310"
"26","828","Danny Williams SUAREZ BEDOYA","115 cc Elite","Cundinamarca","CLUB IGUANA RACING GIRARDOT","Yamaha","1:26.327"
"27","517","Lyam Andres RIOS QUINTERO","115 cc Elite","Cesar","K-LIMA RACING","Yamaha","1:26.370"
"28","554","Juan Camilo ALVAREZ PANTOJA","115 cc Elite","Nariño","CLUB DEPORTIVO SOLIMOTOS","Yamaha","1:26.416"
"29","745","Jeronimo HENAO MARIN","115 cc Elite","CAUCA","CLUB CORONA CLUB XTREME PARK","","1:26.464"
"30","434","Edgar Felipe ARTUNDUAGA CRUZ","115 cc Elite","Huila","CLUB MOTO JAPONESA","Yamaha","1:26.572"
"31","219","Edwin Fernando VARON ULLOA","115 cc Elite","Tolima","CLUB PISTON RACING","Yamaha","1:26.615"
"32","312","Eder Sebastian JARAMILLO YARA","115 cc Elite","Tolima","CLUB PISTON RACING","Yamaha","1:26.630"
"33","818","Jorge Andres GOMEZ ERASO","115 cc Elite","Nariño","CLUB DEPORTIVO BUFALO XTREM","Yamaha","1:26.666"
"34","119","Carlos Tellez","115 cc Elite","SANTANDER","","Yamaha","1:26.738"
"35","722","Edwin JARAMILLO GALLEGO","115 cc Elite","Quindío","CLUB MONSTER GARAGE","Yamaha","1:26.769"
"36","888","Jorge Yair BERNAL SUAREZ","115 cc Elite","Cundinamarca","CLUB GIRARDOT RACING","Yamaha","1:27.044"
"37","146","Andres Santiago HERNANDEZ COY","115 cc Elite","Meta","CLUB DE MOTOCICLISMO SANTIHC 146","Yamaha","1:27.050"
"38","343","Juan Pablo BURBANO GOMEZ","115 cc Elite","Putumayo","TEAM RACING MOCOA","Yamaha","1:27.150"
"39","440","Jeronimo CASTRO RICO","115 cc Elite","Antioquia","CLUB GRILLOS RACING","Yamaha","1:27.174"
"40","710","Alexander DIAZ CASTAÑO","115 cc Elite","Cundinamarca","CLUB GIRARDOT RACING","Yamaha","1:27.230"
"41","600","Brayan Humberto DIAZ CRUZ","115 cc Elite","Tolima","CLUB PISTON RACING","Yamaha","1:27.367"
"42","557","Esteban José ROPERO MARQUEZ","115 cc Elite","Cesar","K-LIMA RACING","Yamaha","1:27.571"
"43","155","Juan Felipe HERNANDEZ ALZATE","115 cc Elite","Meta","CLUB LLANEROS RANCING","Yamaha","1:27.591"
"44","551","Rodolfo Tadeo FIGUEROA PALACIOS","115 cc Elite","Cundinamarca","CLUB GIRARDOT RACING","Yamaha","1:27.616"
"45","205","Miguel Angel RIVERA MARIN","115 cc Elite","Santander","CLUB FLORIDA EXTREMO","Yamaha","1:27.705"
"46","562","Brian MORALES","115 cc Elite","Cauca","","","1:28.176"
"47","424","Juan Manuel FORERO BANDERA","115 cc Elite","Tolima","CLUB PISTON RACING","Yamaha","1:28.558"
"48","255","Juan Sebastian WONG RODRÍGUEZ","115 cc Elite","Quindío","CLUB MONSTER GARAGE","Yamaha","1:28.625"
"49","291","Juan David RIVERA PARRA","115 cc Elite","Nariño","CLUB MOTEROS RIDERS LA UNION","Yamaha","1:29.000"
"50","596","Juan David PIEDRAHITA PINEDA","115 cc Elite","Quindío","CLUB MONSTER GARAGE","Yamaha","1:29.081"
"51","204","Andres Felipe LONDOÑO TRUJILLO","115 cc Elite","Antioquia","CLUB GRILLOS RACING","Yamaha","1:29.283"
"52","746","Juan Sebastián GARCIA AGUDELO","115 cc Elite","Valle del Cauca","MOTOCLUB TRAVESURAS","Yamaha","1:29.355"
"53","342","Andres Felipe SALAZAR ZAYAS","115 cc Elite","Cesar","K-LIMA RACING","Yamaha","1:29.518"
"54","61","Breiner Leandro GRISALES RAMIREZ","115 cc Elite","Valle del Cauca","MOTOCLUB TRAVESURAS","Yamaha","1:29.815"
"55","941","Diego Libany GARCIA BERNAL","115 cc Elite","Cundinamarca","CLUB IGUANA RACING GIRARDOT","Yamaha","1:29.862"
"56","329","Daniel Alberto PULGARIN RESTREPO","115 cc Elite","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","Yamaha","1:30.075"
"57","616","Leonardo BARRERA SANTA","115 cc Elite","Meta","CLUB LLANEROS RANCING","Yamaha","1:30.159"
"58","988","Juan Carlos LOPEZ VIDAL","115 cc Elite","Cauca","CLUB CORONA CLUB XTREME PARK","Yamaha","1:30.368"
"59","715","Camilo Andres ARANGO DIAZ","115 cc Elite","Casanare","Club Casanare","Yamaha","1:30.518"
"60","106","Jose Wilson SAAVEDRA BARRERA","115 cc Elite","ANTIOQUIA","CLUB GRILLOS RACING","","1:30.608"
"61","78","Hugo Alexander TOVAR OSORIO","115 cc Elite","Caldas","CLUB RACING PERFORMANCE","Yamaha","1:30.885"
"62","375","Wilderman RAMIREZ","115 cc Elite","Antioquia","CLUB GRILLOS RACING","Yamaha","1:31.449"
"63","681","Andres Felipe RESTREPO CASTRILLON","115 cc Elite","Valle del Cauca","MOTOCLUB TRAVESURAS","Yamaha","1:31.897"
"64","254","David Estiber ECHEVERRIA ALMEIDA","115 cc Elite","Cesar","K-LIMA RACING","Yamaha","1:32.233"
"65","854","Maicol Andres CRISTANCHO VEGA","115 cc Elite","Cesar","K-LIMA RACING","Yamaha","1:32.298"
"66","377","Edgar Adolfo ROCHA TAPIAS","115 cc Elite","Cundinamarca","CLUB IGUANA RACING GIRARDOT","Yamaha","1:32.521"
"67","786","Johan Daniel BARAJAS BARRIOS","115 cc Elite","Cesar","K-LIMA RACING","Yamaha","1:37.072"
"68","522-E","Bryan MORALES GARCIA","115 cc Elite","Cauca","CLUB CORONA CLUB XTREME PARK","Yamaha",""
"69","980","Andres Felipe RUBIANO NARANJO","115 cc Elite","Cundinamarca","CLUB IGUANA RACING GIRARDOT","Yamaha",""
"70","769","Juan Carlos BUILES MARIN","115 cc Elite","Antioquia","CLUB GRILLOS RACING","Yamaha",""
"71","338","Javier NAVAS AVILA","115 cc Elite","Cesar","K-LIMA RACING","Yamaha",""
"72","314","Andres Felipe GONZALEZ CIFUENTES","115 cc Elite","Meta","SUTA RACING CLUB","Yamaha",""
"73","311","Nicolas SANCHEZ PULGARIN","115 cc Elite","Cesar","K-LIMA RACING","Yamaha",""
"74","104","Juan Carlos GIRALDO RAMIREZ","115 cc Elite","Quindío","CLUB MONSTER GARAGE","Yamaha",""
"75","63","Daniel Esteban TEJADA","115 cc Elite","Tolima","CLUB PISTON RACING","Yamaha",""
