"Pos.","N°","Nombre","Puntos","Clase","MOTO","LIGA","CLUB","Dif. resp. 1°","Mejor Tm","Vueltas","Comentario","Total T°"
"1","714","Oscar Alejandro RUIZ RESTREPO","15","150 cc Elite","Yamaha","Antioquia","CLUB LOS PASKINES","","1:19.657","8","","10:43.082"
"2","155","Juan Felipe HERNANDEZ ALZATE","13","150 cc Elite","Yamaha","Meta","CLUB LLANEROS RANCING","0.122","1:19.514","8","","10:43.204"
"3","41","Nicolas DUQUE PATIÑO","11","150 cc Elite","Honda","Meta","VILLAVICENCIO RACING CLUB","0.263","1:19.647","8","","10:43.345"
"4","207","David Alejandro FORERO ZAPATA","10","150 cc Elite","Yamaha","Putumayo","TEAM RACING MOCOA","0.302","1:19.131","8","","10:43.384"
"5","528","Juan Andres MARIN ARANGO","9","150 cc Elite","Yamaha","Valle del Cauca","MOTOCLUB TRAVESURAS","11.361","1:20.488","8","","10:54.443"
"6","98","Mateo CASTELLANOS CARVAJAL","8","150 cc Elite","Yamaha","Caldas","CLUB JHC RACING","12.051","1:20.030","8","","10:55.133"
"7","745","Jeronimo HENAO MARIN","7","150 cc Elite","Yamaha","Cauca","","12.225","1:20.548","8","","10:55.307"
"8","828","Danny Williams SUAREZ BEDOYA","6","150 cc Elite","Yamaha","Cundinamarca","CLUB IGUANA RACING GIRARDOT","15.931","1:20.925","8","","10:59.013"
"9","222-E","Jeisson David LAMILLA","5","150 cc Elite","Yamaha","Cauca","CLUB CORONA CLUB XTREME PARK","16.077","1:20.382","8","","10:59.159"
"10","888","Jorge Yair BERNAL SUAREZ","4","150 cc Elite","Yamaha","Cundinamarca","CLUB GIRARDOT RACING","19.280","1:21.842","8","","11:02.362"
"11","429","Valentina MARTINEZ TRUJILLO","3","150 cc Elite","Yamaha","Tolima","CLUB PISTON RACING","32.745","1:21.232","8","15'' X ROBO DE SALIDA","11:15.827"
"12","204","Andres Felipe LONDOÑO TRUJILLO","2","150 cc Elite","Yamaha","Antioquia","CLUB GRILLOS RACING","32.849","1:21.261","8","15'' X ROBO DE SALIDA","11:15.931"
"13","214","Gabriel Alejandro VALDIVIESO FLOREZ","1","150 cc Elite","GasGas","Bogotá D.C.","Racing pilots Academy","33.566","1:21.655","8","15'' X ROBO DE SALIDA","11:16.648"
"14","137","Alvaro Javier PLAZAS GONZALEZ","1","150 cc Elite","Yamaha","Cauca","CLUB CORONA CLUB XTREME PARK","33.656","1:20.852","8","15'' X ROBO DE SALIDA","11:16.738"
"15","119","Cesar Alfonso TELLEZ OCAMPO","1","150 cc Elite","Yamaha","Santander","","40.781","1:21.946","8","15'' X ROBO DE SALIDA","11:23.863"
"16","813","Juan Felipe SIERRA OSORIO","0","150 cc Elite","Yamaha","Cundinamarca","CLUB GIRARDOT RACING","40.870","1:22.045","8","15'' X ROBO DE SALIDA","11:23.952"
"17","194","Egdar Andres VELEZ MOLINA","0","150 cc Elite","Yamaha","Valle del Cauca","Dos Ruedas Racing Team","41.108","1:21.803","8","15'' X ROBO DE SALIDA","11:24.190"
"18","941","Diego Libany GARCIA BERNAL","0","150 cc Elite","Yamaha","Cundinamarca","CLUB IGUANA RACING GIRARDOT","48.513","1:22.954","8","15'' X ROBO DE SALIDA","11:31.595"
"19","146","Andres Santiago HERNANDEZ COY","0","150 cc Elite","Yamaha","Meta","CLUB DE MOTOCICLISMO SANTIHC 146","48.743","1:23.034","8","15'' X ROBO DE SALIDA","11:31.825"
"20","78","Hugo Alexander TOVAR OSORIO","0","150 cc Elite","Yamaha","Caldas","CLUB RACING PERFORMANCE","49.011","1:22.832","8","15'' X ROBO DE SALIDA","11:32.093"
"21","522-E","Bryan MORALES GARCIA","0","150 cc Elite","Yamaha","Cauca","CLUB CORONA CLUB XTREME PARK","49.752","1:22.881","8","15'' X ROBO DE SALIDA","11:32.834"
"22","818","Jorge Andres GOMEZ ERASO ","0","150 cc Elite","Yamaha","Nariño","CLUB DEPORTIVO BUFALO XTREM","50.220","1:23.530","8","15'' X ROBO DE SALIDA","11:33.302"
"23","375","Wilderman RAMIREZ","0","150 cc Elite","Yamaha","Antioquia","CLUB GRILLOS RACING","58.679","1:23.939","8","15'' X ROBO DE SALIDA","11:41.761"
"24","342","Andres Felipe SALAZAR ZAYAS","0","150 cc Elite","Yamaha","Cesar","K-LIMA RACING","59.996","1:24.053","8","15'' X ROBO DE SALIDA","11:43.078"
"25","690","Juan Pablo ARCILA ORTIZ","0","150 cc Elite","Yamaha","Antioquia","","1:02.269","1:25.059","8","15'' X ROBO DE SALIDA","11:45.351"
"NT","28","Jose Miguel GONZALEZ HERNANDEZ","0","150 cc Elite","Yamaha","Quindío","","NT","1:19.558","7","","9:23.147"
"NT","17","Cristian Camilo VASQUEZ POSADA","0","150 cc Elite","Yamaha","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","NT","1:20.439","7","","9:35.218"
"NT","710","Alexander DIAZ CASTAÑO","0","150 cc Elite","Yamaha","Cundinamarca","CLUB GIRARDOT RACING","NT","1:23.255","7","","9:54.753"
"NT","554","Juan Camilo ALVAREZ PANTOJA","0","150 cc Elite","Yamaha","Nariño","CLUB DEPORTIVO SOLIMOTOS","NT","1:23.271","6","","8:30.957"
"NT","390","Leider Johan ACEVEDO PERILLA","0","150 cc Elite","Yamaha","Cesar","K-LIMA RACING","NT","1:23.200","4","","5:43.200"
"NT","166","Johan Camilo GIRALDO RAMIREZ","0","150 cc Elite","Yamaha","Quindío","CLUB MONSTER GARAGE","NT","1:20.237","3","","4:05.885"
"NT","243","David Fernando BURBANO GOMEZ","0","150 cc Elite","Yamaha","Putumayo","TEAM RACING MOCOA","NT","1:20.575","3","","4:09.565"
"NT","88","Gerardo camilo TORRES","0","150 cc Elite","Yamaha","Valle del Cauca","Dos Ruedas Racing Team","NT","1:21.693","3","","4:11.796"
"NT","291","Juan David RIVERA PARRA","0","150 cc Elite","Yamaha","Nariño","CLUB MOTEROS RIDERS LA UNION","NT","1:23.626","3","","4:20.462"
"NT","210","Jhon Mario GARCÍA CASTRO","0","150 cc Elite","Yamaha","Valle del Cauca","","NT","1:26.109","3","","4:26.471"
"NT","10","Helio Fabian ALVAREZ NARANJO","0","150 cc Elite","Yamaha","Cundinamarca","CLUB IGUANA RACING GIRARDOT","NT","1:20.248","2","","2:44.905"
"NT","726","Nicolas MILLAN MURILLO","0","150 cc Elite","Yamaha","Cauca","CLUB CORONA CLUB XTREME PARK","NT","1:21.741","2","","2:46.811"
"NT","145","Juan Pablo GALVIS QUINTERO","0","150 cc Elite","Yamaha","Putumayo","PUERTO ASIS","NT","","","","1.691"
"NT","219","Edwin Fernando VARON ULLOA","0","150 cc Elite","Yamaha","Tolima","CLUB PISTON RACING","NT","","","","1.788"
