"Pos.","N°","Nombre","Clase","LIGA","CLUB","MOTO","Mejor T° total","Dif. resp. 1°"
"49","551","Rodolfo Tadeo FIGUEROA PALACIO","150 cc Elite","","","","1:31.634","11.569"
"1","714","Oscar Alejandro RUIZ RESTREPO","150 cc Elite","Antioquia","CLUB LOS PASKINES","Yamaha","1:20.065",""
"12","204","Andres Felipe LONDOÑO TRUJILLO","150 cc Elite","Antioquia","CLUB GRILLOS RACING","Yamaha","1:21.619","1.554"
"20","17","Cristian Camilo VASQUEZ POSADA","150 cc Elite","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","Yamaha","1:22.286","2.221"
"32","690","Juan Pablo ARCILA ORTIZ","150 cc Elite","Antioquia","","","1:23.777","3.712"
"36","375","Wilderman RAMIREZ","150 cc Elite","Antioquia","CLUB GRILLOS RACING","Yamaha","1:24.276","4.211"
"45","637","Jhon Jairo RAMIREZ VASQUEZ","150 cc Elite","Antioquia","CLUB GRILLOS RACING","Yamaha","1:28.875","8.810"
"46","106","Jose Wilson SAAVEDRA BARRERA","150 cc Elite","Antioquia","","Yamaha","1:29.737","9.672"
"51","769","Juan Carlos BUILES MARIN","150 cc Elite","Antioquia","CLUB GRILLOS RACING","Yamaha","",""
"23","214","Gabriel Alejandro VALDIVIESO FLOREZ","150 cc Elite","Bogotá D.C.","Racing pilots Academy","GasGas","1:22.491","2.426"
"7","98","Mateo CASTELLANOS CARVAJAL","150 cc Elite","Caldas","CLUB JHC RACING","Yamaha","1:20.901","0.836"
"34","78","Hugo Alexander TOVAR OSORIO","150 cc Elite","Caldas","CLUB RACING PERFORMANCE","Yamaha","1:23.923","3.858"
"11","726","Nicolas MILLAN MURILLO","150 cc Elite","Cauca","CLUB CORONA CLUB XTREME PARK","Yamaha","1:21.458","1.393"
"21","222-E","Jeisson David Lamilla","150 cc Elite","Cauca","CLUB CORONA CLUB XTREME PARK","Yamaha","1:22.386","2.321"
"22","137","Alvaro Javier PLAZAS GONZALEZ","150 cc Elite","Cauca","CLUB CORONA CLUB XTREME PARK","Yamaha","1:22.472","2.407"
"37","745","Jeronimo HENAO MARIN","150 cc Elite","CAUCA","","","1:24.650","4.585"
"38","522-E","Bryan MORALES GARCIA","150 cc Elite","Cauca","CLUB CORONA CLUB XTREME PARK","Yamaha","1:24.700","4.635"
"42","988","Juan Carlos LOPEZ VIDAL","150 cc Elite","Cauca","CLUB CORONA CLUB XTREME PARK","Yamaha","1:25.199","5.134"
"28","390","Leider Johan ACEVEDO PERILLA","150 cc Elite","Cesar","K-LIMA RACING","Yamaha","1:23.128","3.063"
"39","342","Andres Felipe SALAZAR ZAYAS","150 cc Elite","Cesar","K-LIMA RACING","Yamaha","1:24.868","4.803"
"43","254","David Estiber ECHEVERRIA ALMEIDA","150 cc Elite","Cesar","K-LIMA RACING","Yamaha","1:26.038","5.973"
"9","828","Danny Williams SUAREZ BEDOYA","150 cc Elite","Cundinamarca","CLUB IGUANA RACING GIRARDOT","Yamaha","1:21.419","1.354"
"10","888","Jorge Yair BERNAL SUAREZ","150 cc Elite","Cundinamarca","CLUB GIRARDOT RACING","Yamaha","1:21.445","1.380"
"13","10","Helio Fabian ALVAREZ NARANJO","150 cc Elite","Cundinamarca","CLUB IGUANA RACING GIRARDOT","Yamaha","1:21.710","1.645"
"24","813","Juan Felipe SIERRA OSORIO","150 cc Elite","Cundinamarca","CLUB GIRARDOT RACING","Yamaha","1:22.610","2.545"
"26","710","Alexander DIAZ CASTAÑO","150 cc Elite","Cundinamarca","CLUB GIRARDOT RACING","Yamaha","1:22.758","2.693"
"35","941","Diego Libany Garcia Bernal","150 cc Elite","Cundinamarca","CLUB IGUANA RACING GIRARDOT","Yamaha","1:24.189","4.124"
"50","450","Derian Andres ROZO CASTIBLANCO","150 cc Elite","Cundinamarca","LISTO PILOTO","Yamaha","1:31.702","11.637"
"52","377","Edgar Adolfo ROCHA TAPIAS","150 cc Elite","Cundinamarca","CLUB IGUANA RACING GIRARDOT","Yamaha","",""
"44","140","Luis Felipe NUÑEZ HERNANDEZ","150 cc Elite","Huila","CLUB MOTO JAPONESA","Yamaha","1:27.210","7.145"
"2","155","Juan Felipe HERNANDEZ ALZATE","150 cc Elite","Meta","CLUB LLANEROS RANCING","Yamaha","1:20.339","0.274"
"3","41","Nicolas DUQUE PATIÑO","150 cc Elite","Meta","VILLAVICENCIO RACING CLUB","Honda","1:20.424","0.359"
"31","146","Andres Santiago HERNANDEZ COY","150 cc Elite","Meta","CLUB DE MOTOCICLISMO SANTIHC 146","Yamaha","1:23.638","3.573"
"48","412","Geronimo OROZCO RIOS","150 cc Elite","Meta","CLUB LLANEROS RANCING","Yamaha","1:30.899","10.834"
"54","314","Andres Felipe GONZALEZ CIFUENTES","150 cc Elite","Meta","SUTA RACING CLUB","Yamaha","",""
"27","818","Jorge Andres Gomez Eraso","150 cc Elite","Nariño","CLUB DEPORTIVO BUFALO XTREM","Yamaha","1:22.779","2.714"
"30","554","Juan Camilo ALVAREZ PANTOJA","150 cc Elite","Nariño","CLUB DEPORTIVO SOLIMOTOS","Yamaha","1:23.506","3.441"
"33","291","Juan David RIVERA PARRA","150 cc Elite","Nariño","CLUB MOTEROS RIDERS LA UNION","Yamaha","1:23.825","3.760"
"6","207","David Alejandro FORERO ZAPATA","150 cc Elite","Putumayo","TEAM RACING MOCOA","Yamaha","1:20.901","0.836"
"17","243","David Fernando BURBANO GOMEZ","150 cc Elite","Putumayo","TEAM RACING MOCOA","Yamaha","1:21.992","1.927"
"19","145","Juan Pablo GALVIS QUINTERO","150 cc Elite","Putumayo","PUERTO ASIS","Yamaha","1:22.059","1.994"
"53","343","Juan Pablo BURBANO GOMEZ","150 cc Elite","Putumayo","TEAM RACING MOCOA","Yamaha","",""
"4","28","Jose Miguel GONZALEZ HERNANDEZ","150 cc Elite","Quindío","","","1:20.620","0.555"
"5","166","Johan Camilo GIRALDO RAMIREZ","150 cc Elite","Quindío","CLUB MONSTER GARAGE","Yamaha","1:20.620","0.555"
"15","227","Rigo German SALAZAR CERON","150 cc Elite","Quindío","CLUB MONSTER GARAGE","Yamaha","1:21.949","1.884"
"41","596","Juan David PIEDRAHITA PINEDA","150 cc Elite","Quindío","CLUB MONSTER GARAGE","Yamaha","1:25.175","5.110"
