"Pos.","N°","Nombre","Puntos","Clase","MOTO","LIGA","CLUB","Dif. resp. 1°","Mejor Tm","Vueltas","Comentario","Total T°"
"1","46","Maria Paula ARIAS MEDINA","15","220 cc 4T","Bajaj","Meta","CLUB DE MOTOCICLISMO SANTIHC 146","","1:20.008","8","","10:50.619"
"2","734","Jefferson Camilo RODRIGUEZ MUÑOZ","13","220 cc 4T","Bajaj","Cundinamarca","CLUB GIRARDOT RACING","0.061","1:20.237","8","","10:50.680"
"3","931","Cesar Augusto VALDIVIESO VARGAS","11","220 cc 4T","Yamaha","Cundinamarca","CLUB GIRARDOT RACING","0.448","1:20.279","8","","10:51.067"
"4","417","Christian David CHAVARRO GALVIS","10","220 cc 4T","Bajaj","Tolima","CLUB RADICAL RACING TEAM","0.535","1:20.303","8","","10:51.154"
"5","370","Cristian David CRUZ ACOSTA","9","220 cc 4T","Bajaj","Tolima","CLUB PISTON RACING","0.815","1:19.909","8","","10:51.434"
"6","314","Andres Felipe GONZALEZ CIFUENTES","8","220 cc 4T","Bajaj","Meta","SUTA RACING CLUB","0.933","1:20.244","8","","10:51.552"
"7","898","Cristian Camilo CADAVID BETANCUR","7","220 cc 4T","Unite Motor","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","3.096","1:19.816","8","","10:53.715"
"8","472","Cristian Leonardo RINCON ORTIZ","6","220 cc 4T","Bajaj","Bogotá D.C.","Todo terreno track","16.546","1:21.931","8","","11:07.165"
"9","31","Jhan GOMEZ SERRANO","5","220 cc 4T","Bajaj","Cesar","VIRUS RACING","16.608","1:21.034","8","","11:07.227"
"10","597","Victor Javier GUACHETA PIÑEROS","4","220 cc 4T","Bajaj","Tolima","CLUB PISTON RACING","29.380","1:23.856","8","","11:19.999"
"11","526","Henry Wilson TORRES HERNANDEZ","3","220 cc 4T","Bajaj","Tolima","CLUB PISTON RACING","29.740","1:23.615","8","","11:20.359"
"12","21","Yefry Alexis VANEGAS GIRALDO","2","220 cc 4T","TVS","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","33.350","1:24.289","8","","11:23.969"
"13","223","Daniel DUQUE","1","220 cc 4T","Bajaj","Antioquia","CLUB LOS PASKINES","35.821","1:24.435","8","","11:26.440"
"14","713","Ivan Camilo CAICEDO CASTAÑEDA","1","220 cc 4T","Bajaj","Cundinamarca","CLUB IGUANA RACING GIRARDOT","35.939","1:24.333","8","","11:26.558"
"15","679","Sebastian MARTINEZ SILVA","1","220 cc 4T","Bajaj","Tolima","CLUB PISTON RACING","35.949","1:24.376","8","","11:26.568"
"16","901","Yeferson alexander Morales Lopez","0","220 cc 4T","Bajaj","Bogotá D.C.","Racing pilots Academy","36.264","1:24.432","8","","11:26.883"
"17","785","Brandon Smith Jiménez velandia","0","220 cc 4T","Bajaj","Tolima","CLUB PISTON RACING","37.390","1:24.417","8","","11:28.009"
"18","720","Jorge Andres VILLEGAS RAMÍREZ","0","220 cc 4T","TVS","Antioquia","CLUB DE MOTOCICLISMO STUNT FIVE","38.777","1:24.630","8","","11:29.396"
"19","391","Jeiber duban ocampo Mosquera","0","220 cc 4T","Bajaj","Bogotá D.C.","Racing pilots Academy","51.287","1:25.907","8","","11:41.906"
"20","408","David Gerardo BETANCOURTH PABON","0","220 cc 4T","GasGas","Bogotá D.C.","Todo terreno track","53.181","1:26.384","8","","11:43.800"
"21","250","walter steven rodriguez gerena","0","220 cc 4T","Yamaha","Cundinamarca","CLUB GIRARDOT RACING","1 Vuelta","1:34.042","7","","11:11.002"
"22","854","Maicol Andres CRISTANCHO VEGA","0","220 cc 4T","Bajaj","Cesar","K-LIMA RACING","1 Vuelta","1:24.473","7","","11:41.476"
"23","998","Jhonatan David BONEL ARIAS","0","220 cc 4T","Bajaj","Cundinamarca","CLUB IGUANA RACING GIRARDOT","1 Vuelta","1:27.230","7","","12:01.431"
"NT","552","Samuel Esteban BERNAL CARDENAS","0","220 cc 4T","Yamaha","Cundinamarca","CLUB IGUANA RACING GIRARDOT","NT","1:26.703","7","","10:21.090"
"NT","153","Jonathan Andres SORZA HERNANDEZ","0","220 cc 4T","Bajaj","Cundinamarca","MOTO CLUB MRACING LA VEGA","NT","1:27.760","7","","10:23.930"
"NT","367","Johon Alexsander FARFAN CRISTANCHO","0","220 cc 4T","Bajaj","Tolima","CLUB PISTON RACING","NT","1:20.947","5","","6:49.755"
"NT","985","Juan Carlos SANCHEZ RAMIREZ","0","220 cc 4T","Bajaj","Cundinamarca","CLUB SCOOTER PERFORMANCE GIRARDOT","NT","1:21.562","5","","7:02.594"
"NT","340","Diego Ferney FRANCO RODRIGUEZ","0","220 cc 4T","Bajaj","Tolima","CLUB PISTON RACING","NT","1:25.120","4","","5:48.332"
"NT","207","DAVID FORERO","0","220 cc 4T","","PUTUMAYO","","NT","1:21.302","3","","4:08.829"
"NT","498","MICHAEL VELASCO","0","220 cc 4T","","TOLIMA","","NT","1:24.321","2","","2:53.292"
"NT","291","Juan David RIVERA PARRA","0","220 cc 4T","Bajaj","Nariño","CLUB MOTEROS RIDERS LA UNION","NT","1:24.637","2","","2:53.295"
"NT","980","Andres Felipe RUBIANO NARANJO","0","220 cc 4T","Bajaj","Cundinamarca","CLUB IGUANA RACING GIRARDOT","NT","1:23.059","2","","2:53.598"
"NT","139","Cesar Steven PRIETO USGAME","0","220 cc 4T","Bajaj","Cauca","CLUB CORONA CLUB XTREME PARK","NT","1:25.917","2","","2:59.541"
"NT","214","Gabriel Alejandro VALDIVIESO FLOREZ","0","220 cc 4T","GasGas","Bogotá D.C.","Racing pilots Academy","NT","1:27.044","1","","1:28.011"
"NT","442","Juan Esteban MUÑOZ MORALES","0","220 cc 4T","Bajaj","Bogotá D.C.","Racing pilots Academy","NT","1:28.269","1","","1:28.322"
"NT","562","Bryan MORALES GARCIA","0","220 cc 4T","Yamaha","Cauca","CLUB CORONA CLUB XTREME PARK","NT","1:27.006","1","","1:28.353"
"NT","233","Cristian Camilo BELLO GONZALEZ","0","220 cc 4T","Bajaj","Tolima","CLUB PISTON RACING","NT","","","","2.941"
"NT","155","Juan Felipe HERNANDEZ ALZATE","0","220 cc 4T","Yamaha","Meta","CLUB LLANEROS RANCING","NT","","","",""
