"Pos.","N°","Nombre","Clase","LIGA","CLUB","MOTO","Mejor T° total"
"1","734","Jefferson Camilo RODRIGUEZ MUÑOZ","220 cc 4T","Cundinamarca","CLUB GIRARDOT RACING","Bajaj","1:19.636"
"2","442","Juan Esteban MUÑOZ MORALES","220 cc 4T","Bogotá D.C.","Racing pilots Academy","Bajaj","1:20.057"
"3","155","Juan Felipe HERNANDEZ ALZATE","220 cc 4T","Meta","CLUB LLANEROS RANCING","Yamaha","1:20.192"
"4","417","Christian David CHAVARRO GALVIS","220 cc 4T","Tolima","CLUB RADICAL RACING TEAM","Bajaj","1:20.269"
"5","314","Andres Felipe GONZALEZ CIFUENTES","220 cc 4T","Meta","SUTA RACING CLUB","Bajaj","1:20.306"
"6","46","Maria Paula ARIAS MEDINA","220 cc 4T","Meta","CLUB DE MOTOCICLISMO SANTIHC 146","Bajaj","1:20.394"
"7","931","Cesar Augusto VALDIVIESO VARGAS","220 cc 4T","Cundinamarca","CLUB GIRARDOT RACING","Yamaha","1:20.465"
"8","139","Cesar Steven PRIETO USGAME","220 cc 4T","Cauca","CLUB CORONA CLUB XTREME PARK","Bajaj","1:21.046"
"9","214","Gabriel Alejandro VALDIVIESO FLOREZ","220 cc 4T","Bogotá D.C.","Racing pilots Academy","GasGas","1:21.103"
"10","367","Johon Alexsander FARFAN CRISTANCHO","220 cc 4T","Tolima","CLUB PISTON RACING","Bajaj","1:21.722"
"11","291","Juan David RIVERA PARRA","220 cc 4T","Nariño","CLUB MOTEROS RIDERS LA UNION","Bajaj","1:21.861"
"12","370","Cristian David CRUZ ACOSTA","220 cc 4T","Tolima","CLUB PISTON RACING","Bajaj","1:21.890"
"13","562","Bryan MORALES GARCIA","220 cc 4T","Cauca","CLUB CORONA CLUB XTREME PARK","Yamaha","1:22.374"
"14","340","Diego Ferney FRANCO RODRIGUEZ","220 cc 4T","Tolima","CLUB PISTON RACING","Bajaj","1:22.431"
"15","472","Cristian Leonardo RINCON ORTIZ","220 cc 4T","Bogotá D.C.","Todo terreno track","Bajaj","1:22.467"
"16","207","David Alejandro  FORERO ZAPATA","220 cc 4T","PUTUMAYO","","","1:22.724"
"17","898","Cristian Camilo CADAVID BETANCUR","220 cc 4T","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","Unite Motor","1:22.729"
"18","597","Victor Javier GUACHETA PIÑEROS","220 cc 4T","Tolima","CLUB PISTON RACING","Bajaj","1:22.989"
"19","526","Henry Wilson TORRES HERNANDEZ","220 cc 4T","Tolima","CLUB PISTON RACING","Bajaj","1:23.231"
"20","498","Maicol Andres VELASCO ROJAS","220 cc 4T","TOLIMA","","","1:23.798"
"21","679","Sebastian MARTINEZ SILVA","220 cc 4T","Tolima","CLUB PISTON RACING","Bajaj","1:24.073"
"22","233","Cristian Camilo BELLO GONZALEZ","220 cc 4T","Tolima","CLUB PISTON RACING","Bajaj","1:24.252"
"23","21","Yefry Alexis VANEGAS GIRALDO","220 cc 4T","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","TVS","1:24.423"
"24","31","Jhan GOMEZ SERRANO","220 cc 4T","Cesar","VIRUS RACING","Bajaj","1:24.560"
"25","901","Yeferson alexander MORALES LOPEZ","220 cc 4T","Bogotá D.C.","Racing pilots Academy","Bajaj","1:24.629"
"26","713","Ivan Camilo CAICEDO CASTAÑEDA","220 cc 4T","Cundinamarca","CLUB IGUANA RACING GIRARDOT","Bajaj","1:24.658"
"27","223","Daniel DUQUE","220 cc 4T","Antioquia","CLUB LOS PASKINES","Bajaj","1:25.224"
"28","720","Jorge Andres VILLEGAS RAMÍREZ","220 cc 4T","Antioquia","CLUB DE MOTOCICLISMO STUNT FIVE","TVS","1:25.405"
"29","647","Jorge Andrés DIAZ ARDILA","220 cc 4T","Tolima","CLUB PISTON RACING","Yamaha","1:25.428"
"30","980","Andres Felipe RUBIANO NARANJO","220 cc 4T","Cundinamarca","CLUB IGUANA RACING GIRARDOT","Bajaj","1:25.756"
"31","156","Karen Tatiana REYES LAMPREA","220 cc 4T","Bogotá D.C.","Racing pilots Academy","Bajaj","1:25.758"
"32","153","Jonathan Andres SORZA HERNANDEZ","220 cc 4T","Cundinamarca","MOTO CLUB MRACING LA VEGA","Bajaj","1:25.996"
"33","250","Walter Steven RODRIGUEZ GERENA","220 cc 4T","Cundinamarca","CLUB GIRARDOT RACING","Yamaha","1:26.039"
"34","985","Juan Carlos SANCHEZ RAMIREZ","220 cc 4T","Cundinamarca","CLUB SCOOTER PERFORMANCE GIRARDOT","Bajaj","1:26.137"
"35","785","Brandon Smith JIMENEZ VELANDIA","220 cc 4T","Tolima","CLUB PISTON RACING","Bajaj","1:26.491"
"36","391","Jeiber Duban OCAMPO MOSQUERA","220 cc 4T","Bogotá D.C.","Racing pilots Academy","Bajaj","1:26.534"
"37","408","David Gerardo BETANCOURTH PABON","220 cc 4T","Bogotá D.C.","Todo terreno track","GasGas","1:26.589"
"38","552","Samuel Esteban BERNAL CARDENAS","220 cc 4T","Cundinamarca","CLUB IGUANA RACING GIRARDOT","Yamaha","1:26.612"
"39","854","Maicol Andres CRISTANCHO VEGA","220 cc 4T","Cesar","K-LIMA RACING","Bajaj","1:26.862"
"40","263","Henry alexander Rodriguez castillo","220 cc 4T","Tolima","CLUB PISTON RACING","Bajaj","1:26.985"
"41","998","Jhonatan David BONEL ARIAS","220 cc 4T","Cundinamarca","CLUB IGUANA RACING GIRARDOT","Bajaj","1:27.032"
"42","564","Edward Alejandro FRANCISCONI VARGAS","220 cc 4T","Cundinamarca","CLUB IGUANA RACING GIRARDOT","Bajaj","1:27.207"
"43","315","Sara Liseth VARON URRUTIA","220 cc 4T","TOLIMA","","","1:27.318"
"44","918","Nicolás David GAONA RAMOS","220 cc 4T","Bogotá D.C.","Racing pilots Academy","Bajaj","1:27.732"
"45","710","Alexander DIAZ CASTAÑO","220 cc 4T","Cundinamarca","CLUB GIRARDOT RACING","Bajaj","1:27.882"
"46","618","Alan Steed CIFUENTES GOMEZ","220 cc 4T","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","Bajaj","1:28.209"
"47","996","Dilan MACKLEIN MARTÍNEZ","220 cc 4T","Tolima","CLUB PISTON RACING","Bajaj","1:28.656"
"48","538","Christian Anderson ROZO MENESES","220 cc 4T","Cundinamarca","CLUB SCOOTER PERFORMANCE GIRARDOT","Bajaj","1:28.880"
"49","450","Derian Andres ROZO CASTIBLANCO","220 cc 4T","Cundinamarca","LISTO PILOTO","Bajaj","1:28.982"
"50","404","Anderson Stid HERRERA WALTEROS","220 cc 4T","Tolima","CLUB PISTON RACING","Bajaj","1:29.027"
"51","26","Georges Auric ROJAS PEREIRA","220 cc 4T","Cundinamarca","CLUB IGUANA RACING GIRARDOT","Bajaj","1:29.356"
"52","539","Juan Diego MORENO MENDEZ","220 cc 4T","Cundinamarca","CLUB IGUANA RACING GIRARDOT","Bajaj","1:29.688"
"53","275","Julian Andres HERRERA WALTEROS","220 cc 4T","Tolima","CLUB PISTON RACING","Bajaj","1:29.743"
