"Pos.","N°","Nombre","Puntos","Clase","MOTO","LIGA","CLUB","Dif. resp. 1°","Mejor Tm","Vueltas","Comentario","Total T°"
"1","931","Cesar Augusto VALDIVIESO VARGAS","15","CRS Expertos","Bajaj","Cundinamarca","CLUB GIRARDOT RACING","","1:23.149","8","","11:12.031"
"2","367","Johon Alexsander FARFAN CRISTANCHO","13","CRS Expertos","Bajaj","Tolima","CLUB PISTON RACING","1.128","1:23.088","8","","11:13.159"
"3","734","Jefferson Camilo RODRIGUEZ MUÑOZ","11","CRS Expertos","Bajaj","Cundinamarca","CLUB GIRARDOT RACING","1.268","1:23.087","8","","11:13.299"
"4","370","Cristian David CRUZ ACOSTA","10","CRS Expertos","Bajaj","Tolima","CLUB PISTON RACING","1.421","1:22.579","8","","11:13.452"
"5","528","Juan Andres MARIN ARANGO","9","CRS Expertos","Yamaha","Valle del Cauca","MOTOCLUB TRAVESURAS","2.717","1:23.328","8","","11:14.748"
"6","498","Maicol Andres VELASCO ROJAS","8","CRS Expertos","Bajaj","Tolima","","4.160","1:23.425","8","","11:16.191"
"7","24","Juan Sebastian ROJAS MONROY","7","CRS Expertos","Bajaj","Tolima","CLUB PISTON RACING","4.245","1:22.655","8","","11:16.276"
"8","980","Andres Felipe RUBIANO NARANJO","6","CRS Expertos","Bajaj","Cundinamarca","CLUB IGUANA RACING GIRARDOT","5.091","1:22.511","8","","11:17.122"
"9","46","Maria Paula ARIAS MEDINA","5","CRS Expertos","Bajaj","Meta","CLUB DE MOTOCICLISMO SANTIHC 146","8.946","1:23.774","8","","11:20.977"
"10","21","Yefry Alexis VANEGAS GIRALDO","4","CRS Expertos","TVS","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","14.382","1:24.543","8","","11:26.413"
"11","417","Christian David CHAVARRO GALVIS","3","CRS Expertos","Bajaj","Tolima","CLUB RADICAL RACING TEAM","14.469","1:24.156","8","","11:26.500"
"12","801","Oscar David MURIEL RAMOS","2","CRS Expertos","TVS","Putumayo","CLUB EXTREME RACING","14.487","1:24.560","8","","11:26.518"
"13","824","Jean Claude MURCIA CHAPETON","1","CRS Expertos","Bajaj","Cundinamarca","CLUB SCOOTER PERFORMANCE GIRARDOT","15.452","1:23.745","8","","11:27.483"
"14","998","Jhonatan David BONEL ARIAS","1","CRS Expertos","Bajaj","Cundinamarca","CLUB IGUANA RACING GIRARDOT","15.631","1:23.756","8","","11:27.662"
"15","314","Andres Felipe GONZALEZ CIFUENTES","1","CRS Expertos","Bajaj","Meta","SUTA RACING CLUB","18.331","1:24.677","8","","11:30.362"
"16","315","Sara Liseth VARON URRUTIA","0","CRS Expertos","Bajaj","Tolima","","18.346","1:24.677","8","","11:30.377"
"17","526","Henry Wilson TORRES HERNANDEZ","0","CRS Expertos","Bajaj","Tolima","CLUB PISTON RACING","18.459","1:24.803","8","","11:30.490"
"18","408","David Gerardo BETANCOURTH PABON","0","CRS Expertos","GasGas","Bogotá D.C.","Todo terreno track","19.269","1:24.697","8","","11:31.300"
"19","791","Alonso Herrera Carreño","0","CRS Expertos","Bajaj","Cundinamarca","CLUB GIRARDOT RACING","19.293","1:24.877","8","","11:31.324"
"20","100","Daniel Santiago GARCIA MARTINEZ","0","CRS Expertos","Bajaj","Tolima","CLUB PISTON RACING","19.361","1:25.051","8","","11:31.392"
"21","538","Christian Anderson ROZO MENESES","0","CRS Expertos","Bajaj","Cundinamarca","CLUB SCOOTER PERFORMANCE GIRARDOT","22.867","1:25.362","8","","11:34.898"
"22","340","Diego Ferney FRANCO RODRIGUEZ","0","CRS Expertos","Bajaj","Tolima","CLUB PISTON RACING","27.034","1:22.631","8","","11:39.065"
"23","474","Carlos Andres MOLINA PELAEZ","0","CRS Expertos","Bajaj","Antioquia","CLUB MOTOCROSS YARUMAL","29.279","1:25.846","8","","11:41.310"
"24","590","Giovanni Andres AREVALO SALCEDO","0","CRS Expertos","Bajaj","Bogotá D.C.","Todo terreno track","29.325","1:25.841","8","","11:41.356"
"25","140","Luis Felipe NUÑEZ HERNANDEZ","0","CRS Expertos","Bajaj","Huila","CLUB MOTO JAPONESA","29.534","1:25.773","8","","11:41.565"
"26","196","Carlos Eduardo Farias Acero","0","CRS Expertos","Bajaj","Cundinamarca","CLUB IGUANA RACING GIRARDOT","29.640","1:25.977","8","","11:41.671"
"27","890","Jhonatan David SANCHEZ SANCHEZ","0","CRS Expertos","Bajaj","Cundinamarca","CLUB SCOOTER PERFORMANCE GIRARDOT","30.030","1:26.220","8","","11:42.061"
"28","743","Alvaro CANO POVEDA","0","CRS Expertos","Bajaj","Antioquia","","30.281","1:25.717","8","","11:42.312"
