"Pos.","N°","Nombre","Puntos","Clase","MOTO","LIGA","CLUB","Dif. resp. 1°","Mejor Tm","Vueltas","Comentario","Total T°"
"1","647","Jorge Andrés DIAZ ARDILA","15","CRS Novatos","Yamaha","Tolima","CLUB PISTON RACING","","1:25.771","8","","11:43.337"
"2","139","Cesar Steven PRIETO USGAME","13","CRS Novatos","Bajaj","Cauca","CLUB CORONA CLUB XTREME PARK","0.481","1:26.233","8","","11:43.818"
"3","901","Yeferson Alexander  MORALES LOPEZ","11","CRS Novatos","Bajaj","Bogotá D.C.","Racing pilots Academy","0.499","1:26.926","8","","11:43.836"
"4","413","Nilam Mateo QUIROGA HERRERA","10","CRS Novatos","Bajaj","Tolima","CLUB MOTORBIKE","1.144","1:26.614","8","","11:44.481"
"5","371","Edna Lizeth ESCOBAR CORTES","9","CRS Novatos","Bajaj","Cundinamarca","CLUB IGUANA RACING GIRARDOT","1.869","1:26.247","8","","11:45.206"
"6","808","Humberto CULMA MUÑOZ","8","CRS Novatos","Bajaj","Tolima","CLUB PISTON RACING","1.967","1:26.022","8","","11:45.304"
"7","591","Paula Fernanda PEÑA HERNANDEZ","7","CRS Novatos","Bajaj","Tolima","","2.079","1:26.526","8","","11:45.416"
"8","281","Daniel Felipe GUERRERO MONTILLA","6","CRS Novatos","Bajaj","Cundinamarca","CLUB IGUANA RACING GIRARDOT","2.849","1:26.719","8","","11:46.186"
"9","539","Juan Diego MORENO MENDEZ","5","CRS Novatos","Bajaj","Cundinamarca","CLUB IGUANA RACING GIRARDOT","8.352","1:26.943","8","","11:51.689"
"10","76","Santiago JIMENEZ MEJIA","4","CRS Novatos","Husqvarna","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","8.368","1:27.120","8","","11:51.705"
"11","233","Cristian Camilo BELLO GONZALEZ","3","CRS Novatos","Bajaj","Tolima","CLUB PISTON RACING","8.534","1:27.299","8","","11:51.871"
"12","290","DANIELA TRIANA GIL","2","CRS Novatos","Bajaj","Bogotá D.C.","Racing pilots Academy","11.938","1:26.648","8","","11:55.275"
