"Pos.","N°","Nombre","Clase","LIGA","CLUB","MOTO","Mejor T° total"
"1","720","Jorge Andres VILLEGAS RAMÍREZ","CRS Novatos","Antioquia","CLUB DE MOTOCICLISMO STUNT FIVE","TVS","1:25.553"
"2","441","Joan MARTINEZ","CRS Novatos","Cundinamarca","CLUB GIRARDOT RACING","Bajaj","1:26.113"
"3","718","Cristian Felipe SÁNCHEZ RUBIANO","CRS Novatos","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","Bajaj","1:26.285"
"4","937","Daniel steven niño jaramillo","CRS Novatos","Tolima","CLUB PISTON RACING","Bajaj","1:26.479"
"5","901","Yeferson alexander Morales Lopez","CRS Novatos","Bogotá D.C.","Racing pilots Academy","Bajaj","1:26.496"
"6","591","Paula Fernanda PEÑA HERNANDEZ","CRS Novatos","Tolima","CLUB PISTON RACING","Bajaj","1:26.496"
"7","139","Cesar Steven PRIETO USGAME","CRS Novatos","Cauca","CLUB CORONA CLUB XTREME PARK","Bajaj","1:26.643"
"8","833","Fabián Manolo Flores Morales","CRS Novatos","Cundinamarca","CLUB GIRARDOT RACING","Bajaj","1:26.814"
"9","647","Jorge Andrés Diaz Ardila","CRS Novatos","Tolima","CLUB PISTON RACING","Yamaha","1:26.998"
"10","283","Juan Felipe GARCIA MARTINEZ","CRS Novatos","Tolima","CLUB PISTON RACING","Bajaj","1:27.570"
"11","76","Santiago Jimenez Mejia","CRS Novatos","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","Husqvarna","1:27.745"
"12","618","Alan Steed CIFUENTES GOMEZ","CRS Novatos","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","Bajaj","1:28.015"
"13","413","Nilam Mateo QUIROGA HERRERA","CRS Novatos","Tolima","CLUB MOTORBIKE","Bajaj","1:28.020"
"14","313","Roberson cuellar","CRS Novatos","Bogotá D.C.","Todo terreno track","Bajaj","1:28.076"
"15","808","Humberto CULMA MUÑOZ","CRS Novatos","Tolima","CLUB PISTON RACING","Bajaj","1:28.101"
"16","674","David Valencia Vasquez","CRS Novatos","Caldas","CLUB MX PRO","Bajaj","1:28.107"
"17","31","Jhan GOMEZ SERRANO","CRS Novatos","Cesar","VIRUS RACING","Bajaj","1:28.118"
"18","156","Karen Tatiana REYES LAMPREA","CRS Novatos","Bogotá D.C.","Racing pilots Academy","Bajaj","1:28.194"
"19","539","Juan Diego Moreno Mendez","CRS Novatos","Cundinamarca","CLUB IGUANA RACING GIRARDOT","Bajaj","1:28.254"
"20","404","Anderson Stid HERRERA WALTEROS","CRS Novatos","Tolima","CLUB PISTON RACING","Bajaj","1:28.278"
"21","572","Valeria MUÑOZ MORALES","CRS Novatos","Bogotá D.C.","Racing pilots Academy","Bajaj","1:28.333"
"22","512","Elian Felipe Maldonado Solano","CRS Novatos","Bogotá D.C.","Todo terreno track","Bajaj","1:28.458"
"23","655","Jhoan Sebastian bernal Aldana","CRS Novatos","Tolima","CLUB PISTON RACING","Bajaj","1:28.689"
