"Pos.","N°","Nombre","Puntos","Clase","MOTO","LIGA","CLUB","Dif. resp. 1°","Mejor Tm","Vueltas","Comentario","Total T°"
"1","468","Christian CAJICA","15","Cuatrimotard","Honda","Bogotá D.C.","Racing pilots Academy","","1:08.377","6","","6:51.292"
"2","527","David Alejandro FRANCO OROZCO","13","Cuatrimotard","Suzuki","Antioquia","STUNT FIVE","2.486","1:07.814","6","","6:53.778"
"3","230","Juan David MUÑOZ RESTREPO","11","Cuatrimotard","Yamaha","Antioquia","CLUB GRILLOS RACING","15.363","1:09.443","6","","7:06.655"
"4","437","Julián Enrique GONZALEZ ALFONSO","10","Cuatrimotard","Suzuki","Antioquia","CLUB MOTOCROSS YARUMAL","47.062","1:14.319","6","","7:38.354"
"5","192","Juan Sebastian MEDINA ACEVEDO","9","Cuatrimotard","Yamaha","Antioquia","CLUB MOTOCROSS DE YARUMAL","58.807","1:16.561","6","","7:50.099"
"6","6","Mauricio RUIZ ANGEL","8","Cuatrimotard","Yamaha","Antioquia","STUNT FIVE","1 Vuelta","1:20.742","5","","7:00.144"
"7","575","Carlos Enrique GONZALEZ MORA","7","Cuatrimotard","Honda","Antioquia","CLUB MOTOCROSS YARUMAL","1 Vuelta","1:28.090","5","","7:35.154"
"8","143","Jorge Enrique ESPINOSA ROMERO","6","Cuatrimotard","Honda","Bogotá D.C.","Racing pilots Academy","1 Vuelta","1:17.436","5","","7:41.120"
"9","778","Jhonatan Stevens  IDAGARRA LOPEZ","5","Cuatrimotard","Yamaha","Antioquia","CLUB DE MOTOCICLISMO STUNT FIVE","2 Vueltas","1:20.324","4","","7:02.697"
"NT","990","Brayan Andrés CANRO CONTRERAS","0","Cuatrimotard","Yamaha","Bogotá D.C.","Racing pilots Academy","NT","1:25.187","1","","1:26.360"
"NT","804-E","Gustavo PINZON CASTILLO","0","Cuatrimotard","Yamaha","Bogotá D.C.","Todo terreno track","NT","","","","1.348"
