"Pos.","N°","Nombre","Clase","Total puntos","Dif. resp. 1°","LIGA","CLUB","MOTO","R1. ","R2. "
"1","468","Christian CAJICA","Cuatrimotard","30","0","Bogotá D.C.","Racing pilots Academy","Honda","15","15"
"2","527","David Alejandro FRANCO OROZCO","Cuatrimotard","26","4","Antioquia","STUNT FIVE","Suzuki","13","13"
"3","230","Juan David MUÑOZ RESTREPO","Cuatrimotard","22","8","Antioquia","CLUB GRILLOS RACING","Yamaha","11","11"
"4","437","Julián Enrique GONZALEZ ALFONSO","Cuatrimotard","19","11","Antioquia","CLUB MOTOCROSS YARUMAL","Suzuki","10","9"
"5","192","Juan Sebastian MEDINA ACEVEDO","Cuatrimotard","17","13","Antioquia","CLUB MOTOCROSS DE YARUMAL","Yamaha","9","8"
"6","143","Jorge Enrique ESPINOSA ROMERO","Cuatrimotard","16","14","Bogotá D.C.","Racing pilots Academy","Honda","6","10"
"7","778","Jhonatan Stevens  IDAGARRA LOPEZ","Cuatrimotard","11","19","Antioquia","CLUB DE MOTOCICLISMO STUNT FIVE","Yamaha","5","6"
"8","6","Mauricio RUIZ ANGEL","Cuatrimotard","8","22","Antioquia","STUNT FIVE","Yamaha","8","--"
"9","575","Carlos Enrique GONZALEZ MORA","Cuatrimotard","7","23","Antioquia","CLUB MOTOCROSS YARUMAL","Honda","7","--"
"10","6","Mauricio RUIZ ANGEL","CUATRIMOTARD","7","23","Antioquia","STUNT FIVE","Yamaha","--","7"
"11","575","Carlos Enrique GONZALEZ MORA","CUATRIMOTARD","5","25","Antioquia","CLUB MOTOCROSS YARUMAL","Honda","--","5"
"NT","990","Brayan Andrés CANRO CONTRERAS","Cuatrimotard","0","30","Bogotá D.C.","Racing pilots Academy","Yamaha","0","--"
"NT","804-E","Gustavo PINZON CASTILLO","Cuatrimotard","0","30","Bogotá D.C.","Todo terreno track","Yamaha","0","--"
