"Pos.","N°","Nombre","Puntos","Clase","MOTO","LIGA","CLUB","Dif. resp. 1°","Mejor Tm","Vueltas","Comentario","Total T°"
"1","46","MARIA PAULA ARIAS","15","FEMENINA EXP","","Bogotá D.C.","","","1:26.465","8","","11:44.443"
"2","156","Karen Tatiana REYES LAMPREA","13","FEMENINA EXP","Bajaj","Bogotá D.C.","Racing pilots Academy","7.220","1:27.657","8","","11:51.663"
"3","591","Paula Fernanda PEÑA HERNANDEZ","11","FEMENINA EXP","Bajaj","Tolima","CLUB PISTON RACING","8.911","1:28.049","8","","11:53.354"
"4","546","Katherin TORO FORERO","10","FEMENINA EXP","Bajaj","Tolima","CLUB PISTON RACING","8.909","1:27.057","8","","11:53.352"
"5","290","DANIELA TRIANA GIL","9","FEMENINA EXP","Bajaj","Bogotá D.C.","Racing pilots Academy","10.022","1:27.689","8","","11:54.465"
"6","371","Edna Lizeth ESCOBAR CORTES","8","FEMENINA EXP","Bajaj","Cundinamarca","CLUB IGUANA RACING GIRARDOT","10.023","1:22.931","8","","11:54.466"
"7","572","Valeria MUÑOZ MORALES","7","FEMENINA EXP","Bajaj","Bogotá D.C.","Racing pilots Academy","21.566","1:28.562","8","","12:06.009"
"8","868","Liz Dayana LUNA GUTIERREZ","6","FEMENINA EXP","Bajaj","Cundinamarca","CLUB GIRARDOT RACING","29.835","1:30.084","8","","12:14.278"
"9","162-E","Leonela Fernanda BURITICA RODRIGUEZ","5","FEMENINA EXP","Bajaj","Cauca","CLUB CORONA CLUB XTREME PARK","29.956","1:30.106","8","","12:14.399"
"10","236","Andrea Muñoz Melo","15","FEMENINA NOV","Bajaj","Tolima","CLUB PISTON RACING","30.563","1:30.225","8","","12:15.006"
"11","306","Natalia Corredor Cristancho","13","FEMENINA NOV","Bajaj","Cundinamarca","CLUB IGUANA RACING GIRARDOT","31.006","1:29.250","8","","12:15.449"
"12","974","Angie Carolina MUJICA PAEZ","4","FEMENINA EXP","Bajaj","Quindío","CLUB MONSTER GARAGE","39.605","1:29.926","8","","12:24.048"
"13","253","Nicolle Vanessa DIAZ LOPEZ","11","FEMENINA NOV","Bajaj","Tolima","CLUB PISTON RACING","43.645","1:31.356","8","","12:28.088"
"14","399","Angela Yiseth OTERO BECERRA","10","FEMENINA NOV","Bajaj","Cundinamarca","LISTO PILOTO","48.604","1:32.548","8","","12:33.047"
"15","762","Valeria ALVAREZ ALZATE","9","FEMENINA NOV","Bajaj","Cundinamarca","CLUB GIRARDOT RACING","54.644","1:32.679","8","","12:39.087"
"16","916","Laura Sofía Barahona porras","8","FEMENINA NOV","Bajaj","Bogotá D.C.","Racing pilots Academy","55.018","1:33.131","8","","12:39.461"
"17","376","Laura Sabhina Franco Gonzalez","7","FEMENINA NOV","Bajaj","Tolima","CLUB PISTON RACING","1:01.193","1:32.298","8","","12:45.636"
"18","247","Angie Valentina Bayona Rodriguez","6","FEMENINA NOV","Bajaj","Tolima","CLUB PISTON RACING","1:01.992","1:32.216","8","","12:46.435"
"19","271","Paula Andrea URREGO ARIAS","3","FEMENINA EXP","Bajaj","Cundinamarca","CLUB GIRARDOT RACING","1:05.745","1:32.940","8","","12:50.188"
"20","446","Diana Katherine PEÑA VILLALBA","5","FEMENINA NOV","Yamaha","Bogotá D.C.","Todo terreno track","1:06.401","1:33.372","8","","12:50.844"
"21","225","Laura Sofia BARRERA ACUÑA","4","FEMENINA NOV","Bajaj","Cundinamarca","LISTO PILOTO","1:06.466","1:33.924","8","","12:50.909"
"22","58","Maroly Nicole BASABE","3","FEMENINA NOV","Bajaj","Tolima","CLUB PISTON RACING","1:10.279","1:34.561","8","","12:54.722"
"23","298","Yury Alejandra Gomez Gil","2","FEMENINA NOV","Bajaj","Cundinamarca","CLUB IGUANA RACING GIRARDOT","1:19.454","1:36.054","8","","13:03.897"
"24","318","Manuela MORENO ESPINEL","1","FEMENINA NOV","Bajaj","Tolima","CLUB PISTON RACING","1:23.940","1:35.742","8","","13:08.383"
"25","902","Nicolle Tatiana Farieta Mesa","1","FEMENINA NOV","Bajaj","Cundinamarca","CLUB GIRARDOT RACING","1 Vuelta","1:38.887","7","","11:47.787"
