"Pos.","N°","Nombre","Puntos","Clase","MOTO","LIGA","CLUB","Dif. resp. 1°","Mejor Tm","Vueltas","Comentario","Total T°"
"1","189","Luis Felipe PALOMINO MEJIA","15","Minimotard","Husqvarna","Tolima","CLUB PISTON RACING","","1:02.490","8","","8:31.992"
"2","28","Jose Miguel GONZALEZ HERNANDEZ","13","Minimotard","","Quindío","","0.426","1:02.183","8","","8:32.418"
"3","721","Juan Andres RODRIGUEZ ARIAS","11","Minimotard","Honda","Caldas","CLUB MX PRO","0.483","1:02.536","8","","8:32.475"
"4","726","Nicolas MILLAN MURILLO","10","Minimotard","Yamaha","Cauca","CLUB CORONA CLUB XTREME PARK","0.928","1:02.399","8","","8:32.920"
"5","444","David Stevens RESTREPO MEJÍA","9","Minimotard","","Antioquia","","13.763","1:02.893","8","","8:45.755"
"6","133","Sergio Leon RESTREPO MEJIA","8","Minimotard","Honda","Antioquia","CLUB LOS PASKINES","14.340","1:03.714","8","","8:46.332"
"7","790","Juan Gerardo ALBARAN HINCAPIE","7","Minimotard","Honda","Antioquia","CLUB LOS PASKINES","16.458","1:04.402","8","","8:48.450"
"8","155","Juan Felipe HERNANDEZ ALZATE","6","Minimotard","Yamaha","Meta","CLUB LLANEROS RANCING","18.247","1:04.733","8","","8:50.239"
"9","301","Juan Pablo ANGEL BECERRA","5","Minimotard","Husqvarna","Cesar","K-LIMA RACING","19.769","1:04.907","8","","8:51.761"
"10","223","Daniel DUQUE","4","Minimotard","Honda","Antioquia","CLUB LOS PASKINES","25.353","1:03.047","8","","8:57.345"
"11","126","Alejandro GARCIA CARVAJAL","3","Minimotard","Honda","Caldas","CLUB RACING PERFORMANCE","36.973","1:07.346","8","","9:08.965"
"12","668","Santiago Marcelo CARDONA GIRALDO","2","Minimotard","Honda","Caldas","CLUB RACING PERFORMANCE","43.910","1:06.464","8","","9:15.902"
"13","151","Juan Pablo JARAMILLO OCAMPO","1","Minimotard","Honda","Antioquia","CLUB LOS PASKINES","46.563","1:08.122","8","","9:18.555"
"14","59","Carlos Andres Urrea Henao","1","Minimotard","Yamaha","Antioquia","CLUB GRILLOS RACING","56.485","1:08.895","8","","9:28.477"
"15","474","Carlos Andres MOLINA PELAEZ","1","Minimotard","Honda","Antioquia","CLUB MOTOCROSS YARUMAL","58.347","1:04.960","8","","9:30.339"
"16","922","Sebastian OSORIO GIRALDO","0","Minimotard","Honda","Caldas","CLUB RACING PERFORMANCE","1:01.748","1:10.250","8","","9:33.740"
"NT","268","Esteban ARREDONDO ESCOBAR","0","Minimotard","Honda","Caldas","CLUB RACING PERFORMANCE","NT","1:15.399","1","","1:21.794"
"NT","50","Jorge Andrés ORTEGON CHACON","0","Minimotard","Honda","Tolima","GR 522 RACING","NT","","","","5.016"
"NT","375","Wilderman RAMIREZ","0","Minimotard","Kawasaki","Antioquia","CLUB GRILLOS RACING","NT","","","",""
"NT","535","Santiago LONDOÑO CALLE","0","Minimotard","Honda","Antioquia","CLUB LOS PASKINES","NT","","","",""
"NT","631","Johan GOMEZ PEREZ","0","Minimotard","Yamaha","Quindío","CLUB RUTEROS DEL QUINDIO","NT","","","",""
"NT","681","Andres Felipe RESTREPO CASTRILLON","0","Minimotard","Yamaha","Valle del Cauca","MOTOCLUB TRAVESURAS","NT","","","",""
