"Pos.","N°","Nombre","Puntos","Clase","MOTO","LIGA","CLUB","Dif. resp. 1°","Mejor Tm","Vueltas","Comentario","Total T°"
"1","898","Cristian Camilo CADAVID BETANCUR","15","Street race 250 cc","Unite Motor","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","","1:22.272","8","","11:04.675"
"2","17","Cristian Camilo VASQUEZ POSADA","13","Street race 250 cc","Unite Motor","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","3.350","1:22.479","8","","11:08.025"
"3","367","Johon Alexsander FARFAN CRISTANCHO","11","Street race 250 cc","Bajaj","Tolima","CLUB PISTON RACING","10.806","1:22.928","8","","11:15.481"
"4","442","Juan Esteban MUÑOZ MORALES","10","Street race 250 cc","Bajaj","Bogotá D.C.","Racing pilots Academy","10.836","1:23.117","8","","11:15.511"
"5","472","Cristian Leonardo RINCON ORTIZ","9","Street race 250 cc","Bajaj","Bogotá D.C.","Todo terreno track","17.491","1:22.754","8","","11:22.166"
"6","441","Joan MARTINEZ","8","Street race 250 cc","Bajaj","Cundinamarca","CLUB GIRARDOT RACING","17.648","1:23.759","8","","11:22.323"
"7","785","Brandon Smith Jiménez velandia","7","Street race 250 cc","Bajaj","Tolima","CLUB PISTON RACING","18.596","1:23.943","8","","11:23.271"
"8","713","Ivan Camilo CAICEDO CASTAÑEDA","6","Street race 250 cc","Bajaj","Cundinamarca","CLUB IGUANA RACING GIRARDOT","18.753","1:24.143","8","","11:23.428"
"9","314","Andres Felipe GONZALEZ CIFUENTES","5","Street race 250 cc","KTM","Meta","SUTA RACING CLUB","18.880","1:23.866","8","","11:23.555"
"10","528","Juan Andres MARIN ARANGO","4","Street race 250 cc","Yamaha","Valle del Cauca","MOTOCLUB TRAVESURAS","18.881","1:23.619","8","","11:23.556"
"11","714","Oscar Alejandro RUIZ RESTREPO","3","Street race 250 cc","Yamaha","Antioquia","CLUB LOS PASKINES","18.965","1:23.509","8","","11:23.640"
"12","824","Jean Claude MURCIA CHAPETON","2","Street race 250 cc","Bajaj","Cundinamarca","CLUB SCOOTER PERFORMANCE GIRARDOT","19.084","1:23.681","8","","11:23.759"
"13","920","Andres Felipe FERNANDEZ BENITEZ","1","Street race 250 cc","Kawasaki","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","26.514","1:24.336","8","","11:31.189"
"14","647","Jorge Andrés Diaz Ardila","1","Street race 250 cc","Honda","Tolima","CLUB PISTON RACING","28.582","1:24.859","8","","11:33.257"
"15","881","Jefferson Daniel CONTRERAS PINILLA","1","Street race 250 cc","Bajaj","Cundinamarca","CLUB SCOOTER PERFORMANCE GIRARDOT","29.678","1:24.882","8","","11:34.353"
"16","701","Aidan Thomas VEGA MEJIA","0","Street race 250 cc","KTM","Bogotá D.C.","Racing pilots Academy","30.249","1:24.417","8","","11:34.924"
"17","417","Christian David CHAVARRO GALVIS","0","Street race 250 cc","Bajaj","Tolima","CLUB RADICAL RACING TEAM","30.708","1:25.080","8","","11:35.383"
"18","391","Jeiber duban ocampo Mosquera","0","Street race 250 cc","Bajaj","Bogotá D.C.","Racing pilots Academy","31.455","1:24.976","8","","11:36.130"
"19","408","David Gerardo BETANCOURTH PABON","0","Street race 250 cc","GasGas","Bogotá D.C.","Todo terreno track","31.530","1:25.603","8","","11:36.205"
"20","791","Alonso Herrera Carreño","0","Street race 250 cc","Bajaj","Cundinamarca","CLUB GIRARDOT RACING","32.115","1:25.233","8","","11:36.790"
"21","538","Christian Anderson ROZO MENESES","0","Street race 250 cc","Bajaj","Cundinamarca","CLUB SCOOTER PERFORMANCE GIRARDOT","32.387","1:25.184","8","","11:37.062"
"22","263","Henry alexander Rodriguez castillo","0","Street race 250 cc","Bajaj","Tolima","CLUB PISTON RACING","34.360","1:25.438","8","","11:39.035"
"23","801","Oscar David MURIEL RAMOS","0","Street race 250 cc","TVS","Putumayo","CLUB EXTREME RACING","35.205","1:25.816","8","","11:39.880"
"24","918","Nicolás David Gaona Ramos","0","Street race 250 cc","Bajaj","Bogotá D.C.","Racing pilots Academy","35.300","1:25.436","8","","11:39.975"
"25","371","Edna Lizeth ESCOBAR CORTES","0","Street race 250 cc","Bajaj","Cundinamarca","CLUB IGUANA RACING GIRARDOT","35.411","1:25.607","8","","11:40.086"
"26","526","Henry Wilson TORRES HERNANDEZ","0","Street race 250 cc","Bajaj","Tolima","CLUB PISTON RACING","35.899","1:25.892","8","","11:40.574"
"27","196","Carlos Eduardo Farias Acero","0","Street race 250 cc","Bajaj","Cundinamarca","CLUB IGUANA RACING GIRARDOT","36.011","1:25.580","8","","11:40.686"
"28","548","Victor Alfonso ARCO RUSSI","0","Street race 250 cc","Bajaj","Cauca","CLUB CORONA CLUB XTREME PARK","49.247","1:27.327","8","","11:53.922"
"29","985","Juan Carlos SANCHEZ RAMIREZ","0","Street race 250 cc","Bajaj","Cundinamarca","CLUB SCOOTER PERFORMANCE GIRARDOT","1:08.950","1:30.437","8","","12:13.625"
"30","734","Jefferson Camilo RODRIGUEZ MUÑOZ","0","Street race 250 cc","Bajaj","Cundinamarca","CLUB GIRARDOT RACING","1:23.349","1:25.576","8","","12:28.024"
"NT","498","MICHAEL VELAZQUES","0","Street race 250 cc","","TOLIMA","","NT","1:22.156","7","","9:42.487"
"NT","980","FELIPE RUBIANO","0","Street race 250 cc","","","","NT","1:23.055","7","","9:50.576"
"NT","46","Maria Paula ARIAS MEDINA","0","Street race 250 cc","Yamaha","Meta","CLUB DE MOTOCICLISMO SANTIHC 146","NT","1:22.411","5","","7:08.998"
"NT","998","Jhonatan David BONEL ARIAS","0","Street race 250 cc","Bajaj","Cundinamarca","CLUB IGUANA RACING GIRARDOT","NT","1:27.754","2","","2:58.000"
"NT","31","Jhan GOMEZ SERRANO","0","Street race 250 cc","Bajaj","Cesar","VIRUS RACING","NT","1:32.288","1","","1:33.744"
"EX","370","Cristian David CRUZ ACOSTA","0","Street race 250 cc","Bajaj","Tolima","CLUB PISTON RACING","EX","1:22.897","8","","11:15.481"
