"Pos.","N°","Nombre","Clase","LIGA","CLUB","MOTO","Mejor T° total"
"1","46","Maria Paula ARIAS MEDINA","Street race 250 cc","Meta","CLUB DE MOTOCICLISMO SANTIHC 146","Yamaha","1:23.208"
"2","17","Cristian Camilo VASQUEZ POSADA","Street race 250 cc","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","Unite Motor","1:23.394"
"3","498","Maicol Andres VELASCO ROJAS","Street race 250 cc","Tolima","","Bajaj","1:23.471"
"4","980","Andres Felipe RUBIANO NARANJO","Street race 250 cc","Cundinamarca","","Bajaj","1:23.481"
"5","931","Cesar Augusto VALDIVIESO VARGAS","Street race 250 cc","Cundinamarca","CLUB GIRARDOT RACING","Yamaha","1:23.523"
"6","898","Cristian Camilo CADAVID BETANCUR","Street race 250 cc","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","Unite Motor","1:23.676"
"7","998","Jhonatan David BONEL ARIAS","Street race 250 cc","Cundinamarca","CLUB IGUANA RACING GIRARDOT","Bajaj","1:23.802"
"8","442","Juan Esteban MUÑOZ MORALES","Street race 250 cc","Bogotá D.C.","Racing pilots Academy","Bajaj","1:24.043"
"9","920","Andres Felipe FERNANDEZ BENITEZ","Street race 250 cc","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","Kawasaki","1:24.078"
"10","370","Cristian David CRUZ ACOSTA","Street race 250 cc","Tolima","CLUB PISTON RACING","Bajaj","1:24.107"
"11","785","Brandon Smith JIMENEZ VELANDIA","Street race 250 cc","Tolima","CLUB PISTON RACING","Bajaj","1:24.137"
"12","734","Jefferson Camilo RODRIGUEZ MUÑOZ","Street race 250 cc","Cundinamarca","CLUB GIRARDOT RACING","Bajaj","1:24.257"
"13","31","Jhan GOMEZ SERRANO","Street race 250 cc","Cesar","VIRUS RACING","Bajaj","1:24.468"
"14","647","Jorge Andrés DIAZ ARDILA","Street race 250 cc","Tolima","CLUB PISTON RACING","Honda","1:24.481"
"15","714","Oscar Alejandro RUIZ RESTREPO","Street race 250 cc","Antioquia","CLUB LOS PASKINES","Yamaha","1:24.487"
"16","526","Henry Wilson TORRES HERNANDEZ","Street race 250 cc","Tolima","CLUB PISTON RACING","Bajaj","1:24.822"
"17","824","Jean Claude MURCIA CHAPETON","Street race 250 cc","Cundinamarca","CLUB SCOOTER PERFORMANCE GIRARDOT","Bajaj","1:24.942"
"18","713","Ivan Camilo CAICEDO CASTAÑEDA","Street race 250 cc","Cundinamarca","CLUB IGUANA RACING GIRARDOT","Bajaj","1:25.018"
"19","408","David Gerardo BETANCOURTH PABON","Street race 250 cc","Bogotá D.C.","Todo terreno track","GasGas","1:25.335"
"20","701","Aidan Thomas VEGA MEJIA","Street race 250 cc","Bogotá D.C.","Racing pilots Academy","KTM","1:25.354"
"21","391","Jeiber Duban OCAMPO MOSQUERA","Street race 250 cc","Bogotá D.C.","Racing pilots Academy","Bajaj","1:25.384"
"22","918","Nicolás David GAONA RAMOS","Street race 250 cc","Bogotá D.C.","Racing pilots Academy","Bajaj","1:25.556"
"23","985","Juan Carlos SANCHEZ RAMIREZ","Street race 250 cc","Cundinamarca","CLUB SCOOTER PERFORMANCE GIRARDOT","Bajaj","1:25.656"
"24","528","Juan Andres MARIN ARANGO","Street race 250 cc","Valle del Cauca","MOTOCLUB TRAVESURAS","Yamaha","1:25.860"
