"Pos.","N°","Nombre","Puntos","Clase","MOTO","LIGA","CLUB","Dif. resp. 1°","Mejor Tm","Vueltas","Comentario","Total T°"
"1","728","Luis Felipe ARREDONDO GIRALDO","15","Super bike","Yamaha","Antioquia","CLUB LOS PASKINES","","1:08.944","8","","9:16.240"
"2","272","Alfonso Gustavo LINARES OCHOA","13","Super bike","Ducati","Bogotá D.C.","Todo terreno track","0.079","1:08.572","8","","9:16.319"
"3","189","Luis Felipe PALOMINO MEJIA","11","Super bike","BMW","Tolima","","3.672","1:09.380","8","","9:19.912"
"4","931","Cesar Augusto VALDIVIESO VARGAS","10","Super bike","Yamaha","Cundinamarca","CLUB GIRARDOT RACING","6.255","1:09.388","8","","9:22.495"
"5","12","Tomas PUERTA VASQUEZ","9","Super bike","Honda","Antioquia","CLUB LOS PASKINES","8.896","1:09.496","8","","9:25.136"
"6","11","Juan Esteban RAMIREZ GOMEZ","8","Super bike","BMW","Antioquia","CLUB MOTOCROSS YARUMAL","12.199","1:10.033","8","","9:28.439"
"7","73","Richard Edward MENJURA MACIAS","7","Super bike","BMW","Santander","CLUB DEPORTIVO SANTANDER MAX EXTREMO","12.540","1:10.034","8","","9:28.780"
"8","716","Jesus Aurelio BURGOS TORRES","6","Super bike","Aprilia","Bogotá D.C.","Todo terreno track","15.778","1:09.795","8","","9:32.018"
"9","40","Santiago ALZATE GOMEZ","5","Super bike","BMW","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","23.982","1:11.753","8","","9:40.222"
"10","13","Angelo Mauricio BONILLA ZAPATA","4","Super bike","Honda","Bogotá D.C.","Racing pilots Academy","36.977","1:12.762","8","","9:53.217"
"11","984","Jhon Javier MONSALVE MENDOZA","3","Super bike","BMW","Tolima","CLUB PISTON RACING","39.839","1:13.587","8","","9:56.079"
"12","87","Gerson Caleb SERRANO DAZA","2","Super bike","Ducati","Bogotá D.C.","Todo terreno track","40.457","1:12.199","8","","9:56.697"
"13","909","Javier ARIAS CASTAÑEDA","1","Super bike","BMW","Antioquia","CLUB LOS PASKINES","40.586","1:13.564","8","","9:56.826"
"14","496","Nicolas BERMUDEZ CASTILLO","1","Super bike","Aprilia","Bogotá D.C.","Racing pilots Academy","1:21.218","1:18.407","8","","10:37.458"
"15","869","Mario Andres GONZALEZ GOMEZ","1","Super bike","Honda","Valle del Cauca","","1 Vuelta","1:19.070","7","","9:22.200"
"NT","97","Edinson Esteban RONCERIA SILVA","0","Super bike","GasGas","Bogotá D.C.","Todo terreno track","NT","","","","0.939"
"NT","779","Rafael Andrés ROJAS IBAÑEZ","0","Super bike","Ducati","Bogotá D.C.","Todo terreno track","NT","","","","2.015"
"NT","630","Herman Andres MANTILLA NUÑEZ","0","Super bike","Suzuki","Santander","CLUB DEPORTIVO SANTANDER MAX EXTREMO","NT","","","",""
