"Pos.","N°","Nombre","Clase","Total puntos","Dif. resp. 1°","LIGA","CLUB","MOTO","R1. ","R2. "
"1","728","Luis Felipe ARREDONDO GIRALDO","Super bike","30","0","Antioquia","CLUB LOS PASKINES","Yamaha","15","15"
"2","272","Alfonso Gustavo LINARES OCHOA","Super bike","26","4","Bogotá D.C.","Todo terreno track","Ducati","13","13"
"3","189","Luis Felipe PALOMINO MEJIA","Super bike","22","8","Tolima","","BMW","11","11"
"4","931","Cesar Augusto VALDIVIESO VARGAS","Super bike","20","10","Cundinamarca","CLUB GIRARDOT RACING","Yamaha","10","10"
"5","12","Tomas PUERTA VASQUEZ","Super bike","18","12","Antioquia","CLUB LOS PASKINES","Honda","9","9"
"6","11","Juan Esteban RAMIREZ GOMEZ","Super bike","16","14","Antioquia","CLUB MOTOCROSS YARUMAL","BMW","8","8"
"7","716","Jesus Aurelio BURGOS TORRES","Super bike","13","17","Bogotá D.C.","Todo terreno track","Aprilia","6","7"
"8","73","Richard Edward MENJURA MACIAS","Super bike","12","18","Santander","CLUB DEPORTIVO SANTANDER MAX EXTREMO","BMW","7","5"
"9","40","Santiago ALZATE GOMEZ","Super bike","11","19","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","BMW","5","6"
"10","87","Gerson Caleb SERRANO DAZA","Super bike","5","25","Bogotá D.C.","Todo terreno track","Ducati","2","3"
"11","984","Jhon Javier MONSALVE MENDOZA","Super bike","5","25","Tolima","CLUB PISTON RACING","BMW","3","2"
"12","13","Angelo Mauricio BONILLA ZAPATA","Super bike","5","25","Bogotá D.C.","Racing pilots Academy","Honda","4","1"
"13","97","Edinson Esteban RONCERIA SILVA","Super bike","4","26","Bogotá D.C.","Todo terreno track","GasGas","0","4"
"14","496","Nicolas BERMUDEZ CASTILLO","Super bike","2","28","Bogotá D.C.","Racing pilots Academy","Aprilia","1","1"
"15","909","Javier ARIAS CASTAÑEDA","Super bike","1","29","Antioquia","CLUB LOS PASKINES","BMW","1","--"
"16","869","Mario Andres GONZALEZ GOMEZ","Super bike","1","29","Valle del Cauca","","Honda","1","--"
"NT","779","Rafael Andrés ROJAS IBAÑEZ","Super bike","0","30","Bogotá D.C.","Todo terreno track","Ducati","0","0"
"NT","630","Herman Andres MANTILLA NUÑEZ","Super bike","0","30","Santander","CLUB DEPORTIVO SANTANDER MAX EXTREMO","Suzuki","0","--"
