"Pos.","N°","Nombre","Puntos","Clase","MOTO","LIGA","CLUB","Dif. resp. 1°","Mejor Tm","Vueltas","Comentario","Total T°"
"1","272","Alfonso Gustavo LINARES OCHOA","15","Super sport","Ducati","Bogotá D.C.","Todo terreno track","","1:10.428","8","","9:32.327"
"2","728","Luis Felipe ARREDONDO GIRALDO","13","Super sport","Yamaha","Antioquia","CLUB LOS PASKINES","2.802","1:11.197","8","","9:35.129"
"3","7","Luis Carlos III SARMIENTO CARVAJAL","11","Super sport","KTM","Bogotá D.C.","Xspeed Racing","3.612","1:11.255","8","","9:35.939"
"4","52","Edgar Andres JARAMILLO GOMEZ","10","Super sport","Yamaha","Antioquia","CLUB MOTOCROSS YARUMAL","22.693","1:13.484","8","","9:55.020"
"5","49","Andres Felipe RONCERIA SILVA","9","Super sport","GasGas","Bogotá D.C.","Todo terreno track","23.307","1:12.901","8","","9:55.634"
"6","304","Pedro Alejandro GALINDO AMAYA","8","Super sport","Ducati","Bogotá D.C.","Racing pilots Academy","25.335","1:13.413","8","","9:57.662"
"7","69","Marco Polo CANO","7","Super sport","","Bogotá D.C.","","42.316","1:15.662","8","","10:14.643"
"8","542","Cristian David HENAO PINTO","6","Super sport","","Bogotá D.C.","","43.467","1:14.773","8","","10:15.794"
"9","208","Angel Yesid IMBACHI ÑAÑEZ","5","Super sport","Kawasaki","Bogotá D.C.","Todo terreno track","44.617","1:15.796","8","","10:16.944"
"10","245","Johann Andres SUSA VALENCIA","4","Super sport","Bajaj","Bogotá D.C.","Racing pilots Academy","45.374","1:15.390","8","","10:17.701"
"11","94","Deiby Jair CORRALES RIOS","3","Super sport","Yamaha","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","49.475","1:16.458","8","","10:21.802"
"12","810","Gustavo Adolfo FERRO CORCHUELO","2","Super sport","Ducati","Bogotá D.C.","Xspeed Racing","53.088","1:16.892","8","","10:25.415"
"NT","366","Santiago Arbelaez Luna","0","Super sport","Kawasaki","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","NT","","","",""
"NT","590","Giovanni Andres AREVALO SALCEDO","0","Super sport","Aprilia","Bogotá D.C.","Todo terreno track","NT","","","",""
"NT","813","Juan Felipe SIERRA OSORIO","0","Super sport","Unite Motor","Cundinamarca","CLUB GIRARDOT RACING","NT","","","",""
"NT","909","Javier ARIAS CASTAÑEDA","0","Super sport","Yamaha","Antioquia","CLUB LOS PASKINES","NT","","","",""
