"Pos.","N°","Nombre","Clase","Total puntos","Dif. resp. 1°","LIGA","CLUB","MOTO","R1. ","R2. "
"1","272","Alfonso Gustavo LINARES OCHOA","Super sport","30","0","Bogotá","Todo terreno track","Ducati","15","15"
"2","728","Luis Felipe ARREDONDO GIRALDO","Super sport","24","6","Antioquia","CLUB LOS PASKINES","Yamaha","11","13"
"3","7","Luis Carlos III SARMIENTO CARVAJAL","Super sport","24","6","Bogotá","Xspeed Racing","KTM","13","11"
"4","52","Edgar Andres JARAMILLO GOMEZ","Super sport","20","10","Antioquia","CLUB MOTOCROSS YARUMAL","Yamaha","10","10"
"5","49","Andres Felipe RONCERIA SILVA","Super sport","18","12","Bogotá","Todo terreno track","GasGas","9","9"
"6","304","Pedro Alejandro GALINDO AMAYA","Super sport","16","14","Bogotá","Racing pilots Academy","Ducati","8","8"
"7","69","Marco Polo CANO","Super sport","12","18","Antioquia","","Yamaha","5","7"
"8","542","Cristian David HENAO PINTO","Super sport","10","20","Bogotá","","Aprilia","4","6"
"9","208","Angel Yesid IMBACHI ÑAÑEZ","Super sport","7","23","Bogotá","Todo terreno track","Kawasaki","2","5"
"10","245","Johann Andres SUSA VALENCIA","Super sport","7","23","Bogotá","Racing pilots Academy","Bajaj","3","4"
"11","366","Santiago ARBELAEZ LUNA","Super sport","7","23","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","Kawasaki","7","0"
"12","813","Juan Felipe SIERRA OSORIO","Super sport","6","24","Cundinamarca","CLUB GIRARDOT RACING","Unite Motor","6","0"
"13","94","Deiby Jair CORRALES RIOS","Super sport","4","26","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","Yamaha","1","3"
"14","810","Gustavo Adolfo FERRO CORCHUELO","Super sport","3","27","Bogotá","Xspeed Racing","Ducati","1","2"
"NT","590","Giovanni Andres AREVALO SALCEDO","Super sport","0","30","Bogotá D.C.","Todo terreno track","Aprilia","--","0"
"NT","909","Javier ARIAS CASTAÑEDA","Super sport","0","30","Antioquia","CLUB LOS PASKINES","Yamaha","--","0"
