"Pos.","N°","Nombre","Puntos","Clase","MOTO","LIGA","CLUB","Dif. resp. 1°","Mejor Tm","Vueltas","Comentario","Total T°"
"1","897","Octavio VELEZ GAVIRIA","15","Super stock 600","Yamaha","Antioquia","Club Deportivo Terras de San Marinno","","1:13.847","8","","9:56.383"
"2","366","Santiago Arbelaez Luna","13","Super stock 600","Kawasaki","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","1.384","1:13.921","8","","9:57.767"
"3","703","Mauro Ferney Gallo Fonseca","15","Super stock 1000","Ducati","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","7.612","1:14.433","8","","10:03.995"
"4","141","William Moncada Sepulveda","11","Super stock 600","Triumph","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","8.015","1:14.538","8","","10:04.398"
"5","293","Fenky Jhoan Infante carmona","13","Super stock 1000","BMW","Bogotá D.C.","Racing pilots Academy","9.312","1:14.860","8","","10:05.695"
"6","131","Christian Andres RUBIO PARDO","11","Super stock 1000","Kawasaki","Cundinamarca","CLUB IGUANA RACING GIRARDOT","11.344","1:15.105","8","","10:07.727"
"7","628","OLIVER MUÑOZ LOPEZ","10","Super stock 1000","Yamaha","Santander","CLUB DEPORTIVO SANTANDER MAX EXTREMO","11.661","1:14.905","8","","10:08.044"
"8","191","SANTIAGO MARTINEZ ZULUAGA","10","Super stock 600","Ducati","Caldas","CLUB RACING PERFORMANCE","15.906","1:15.322","8","","10:12.289"
"9","244","Andrés Felipe Aldana jaramillo","9","Super stock 1000","Yamaha","Quindío","CLUB MONSTER GARAGE","18.291","1:15.279","8","","10:14.674"
"10","780","Julian Echeverry Benitez","8","Super stock 1000","Yamaha","Antioquia","CLUB GRILLOS RACING","22.315","1:16.371","8","","10:18.698"
"11","930","George Michael herrera Trujillo","7","Super stock 1000","BMW","Quindío","CLUB DISCOVER QUINDIO","23.281","1:15.840","8","","10:19.664"
"12","698","Luis Felipe Patino Lopez","6","Super stock 1000","Aprilia","Bogotá D.C.","Racing pilots Academy","24.684","1:15.476","8","","10:21.067"
"13","964","Daniel Alberto Castro Hurtado","5","Super stock 1000","Ducati","Bogotá D.C.","Xspeed Racing","24.840","1:15.017","8","","10:21.223"
"14","484","Jonattan HERNANDEZ MURCIA","9","Super stock 600","Aprilia","Bogotá D.C.","Xspeed Racing","26.971","1:16.676","8","","10:23.354"
"15","79","GUSTAVO ADOLFO ZAPATA VANEGAS","4","Super stock 1000","BMW","Caldas","CLUB RACING PERFORMANCE","34.884","1:17.183","8","","10:31.267"
"16","15","Jhon Alexander GOMEZ QUIROGA","3","Super stock 1000","Kawasaki","Santander","CLUB DEPORTIVO SANTANDER MAX EXTREMO","35.003","1:17.231","8","","10:31.386"
"17","126","Alejandro GARCIA CARVAJAL","8","Super stock 600","Yamaha","Caldas","CLUB RACING PERFORMANCE","37.182","1:17.809","8","","10:33.565"
"18","940","Jhosswa Norvey Restrepo Libreros","7","Super stock 600","Aprilia","Cundinamarca","CLUB GIRARDOT RACING","39.497","1:18.149","8","","10:35.880"
"19","558","fabian yesid sanabria zea","2","Super stock 1000","Kawasaki","Bogotá D.C.","Racing pilots Academy","48.207","1:18.958","8","","10:44.590"
"20","66-E","José Alejandro Carreño zuluaga","1","Super stock 1000","BMW","Tolima","CLUB COYOLA RACING TEAM","53.763","1:20.024","8","","10:50.146"
"21","879","Sergio David PACHÓN GARZÓN","1","Super stock 1000","Aprilia","Bogotá D.C.","Racing pilots Academy","53.982","1:19.739","8","","10:50.365"
"22","37","Juan Camilo VEGA RAMIREZ","1","Super stock 1000","BMW","Tolima","CLUB PISTON RACING","59.319","1:19.644","8","","10:55.702"
"23","336","Dário Sebástian Sa Magalhaes Micucci","6","Super stock 600","Ducati","Bogotá D.C.","Todo terreno track","1:01.352","1:20.459","8","","10:57.735"
"24","197","Jack Sebastian Murillo Salamanca","5","Super stock 600","Aprilia","Cundinamarca","CLUB GIRARDOT RACING","1:11.455","1:20.283","8","","11:07.838"
"25","280","Christian David POSADA GONZALE","0","Super stock 1000","HONDA","Santander","","1 Vuelta","1:23.961","7","","9:59.377"
"26","869","Mario Andres GONZALEZ GOMEZ","4","Super stock 600","","Valle del Cauca","","1 Vuelta","1:28.551","7","","10:40.686"
"NT","46","Maria Paula ARIAS MEDINA","0","Super stock 1000","Ducati","Meta","CLUB DE MOTOCICLISMO SANTIHC 146","NT","1:14.540","5","","6:18.938"
"NT","779","Rafael Andrés Rojas Ibáñez","0","Super stock 1000","Ducati","Bogotá D.C.","Todo terreno track","NT","1:19.584","2","","2:44.605"
"NT","67","jhonny rada","0","Super stock 1000","Suzuki","Bogotá D.C.","Todo terreno track","NT","","","","0.377"
