"Pos.","N°","Nombre","Puntos","Clase","MOTO","LIGA","CLUB","Dif. resp. 1°","Mejor Tm","Vueltas","Comentario","Total T°"
"1","243","David Fernando BURBANO GOMEZ","15","SM expertos - Metzeler","Yamaha","Putumayo","TEAM RACING MOCOA","","55.755","8","","7:31.484"
"2","17","Cristian Camilo VASQUEZ POSADA","13","SM expertos - Metzeler","KTM","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","0.954","55.769","8","","7:32.438"
"3","41","Nicolas DUQUE PATIÑO","11","SM expertos - Metzeler","Honda","Meta","VILLAVICENCIO RACING CLUB","1.617","55.669","8","","7:33.101"
"4","528","Juan Andres MARIN ARANGO","10","SM expertos - Metzeler","Yamaha","Valle del Cauca","MOTOCLUB TRAVESURAS","3.006","55.989","8","","7:34.490"
"5","98","Mateo CASTELLANOS CARVAJAL","9","SM expertos - Metzeler","KTM","Caldas","CLUB JHC RACING","4.419","56.244","8","","7:35.903"
"6","119","Cesar Alfonso TELLEZ OCAMPO","8","SM expertos - Metzeler","Yamaha","Santander","","5.042","56.096","8","","7:36.526"
"7","189","Luis Felipe PALOMINO MEJIA","7","SM expertos - Metzeler","KTM","Tolima","CLUB PISTON RACING","5.512","56.025","8","","7:36.996"
"8","921","Giomar Nicolas RUIZ BURBANO","6","SM expertos - Metzeler","KTM","Nariño","MOTOCLUB CONSACA","9.056","56.528","8","","7:40.540"
"9","59","Carlos Andres URREA HENAO","5","SM expertos - Metzeler","KTM","Antioquia","CLUB GRILLOS RACING","11.211","56.490","8","","7:42.695"
"10","48","David GIRALDO BETANCUR","4","SM expertos - Metzeler","KTM","Antioquia","Club Deportivo Terras de San Marinno","16.302","57.292","8","","7:47.786"
"11","166","Johan Camilo GIRALDO RAMIREZ","2","SM expertos - Metzeler","Yamaha","Quindío","CLUB MONSTER GARAGE","18.919","56.985","8","","7:50.403"
"12","813","Juan Felipe SIERRA OSORIO","1","SM expertos - Metzeler","Husqvarna","Cundinamarca","CLUB GIRARDOT RACING","19.042","57.400","8","","7:50.526"
"13","52","Edgar Andres JARAMILLO GOMEZ","1","SM expertos - Metzeler","Husqvarna","Antioquia","CLUB MOTOCROSS YARUMAL","20.361","57.242","8","","7:51.845"
"14","721","Juan Andres RODRIGUEZ ARIAS","1","SM expertos - Metzeler","Husqvarna","Caldas","CLUB MX PRO","20.482","57.055","8","","7:51.966"
"15","375","Wilderman RAMIREZ","0","SM expertos - Metzeler","Husqvarna","Antioquia","CLUB GRILLOS RACING","28.317","58.534","8","","7:59.801"
"16","538","Christian Anderson ROZO MENESES","0","SM expertos - Metzeler","Husqvarna","Cundinamarca","CLUB SCOOTER PERFORMANCE GIRARDOT","32.051","59.119","8","","8:03.535"
"17","10","Helio Fabian ALVAREZ NARANJO","3","SM expertos - Metzeler","Husqvarna","Cundinamarca","CLUB IGUANA RACING GIRARDOT","32.126","56.955","8","15'' X ROBO DE SALIDA","8:03.610"
"18","155","Juan Felipe HERNANDEZ ALZATE","0","SM expertos - Metzeler","","Putumayo","","36.176","56.937","8","15'' X ROBO DE SALIDA","8:07.660"
"19","204","Andres Felipe LONDOÑO TRUJILLO","0","SM expertos - Metzeler","Husqvarna","Antioquia","CLUB GRILLOS RACING","36.313","57.351","8","15'' X ROBO DE SALIDA","8:07.797"
"20","9","Christian Fernando MEJIA ALFONSO","0","SM expertos - Metzeler","Yamaha","Santander","CLUB DEPORTIVO SANTANDER MAX EXTREMO","2 Vueltas","58.894","6","15'' X ROBO DE SALIDA","8:15.621"
"NT","227","Rigo German SALAZAR CERON","0","SM expertos - Metzeler","Yamaha","Quindío","CLUB MONSTER GARAGE","NT","55.943","4","","3:48.686"
"NT","88","Gerardo camilo TORRES","0","SM expertos - Metzeler","Husqvarna","Valle del Cauca","","NT","58.174","4","","3:59.569"
