"Pos.","N°","Nombre","Clase","Total puntos","Dif. resp. 1°","LIGA","CLUB","MOTO","R1. ","R2. "
"1","243","David Fernando BURBANO GOMEZ","SM expertos - Metzeler","28","0","Putumayo","TEAM RACING MOCOA","Yamaha","13","15"
"2","17","Cristian Camilo VASQUEZ POSADA","SM expertos - Metzeler","21","7","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","KTM","8","13"
"3","528","Juan Andres MARIN ARANGO","SM expertos - Metzeler","21","7","Valle del Cauca","MOTOCLUB TRAVESURAS","Yamaha","11","10"
"4","98","Mateo CASTELLANOS CARVAJAL","SM expertos - Metzeler","19","9","Caldas","CLUB JHC RACING","KTM","10","9"
"5","41","Nicolas DUQUE PATIÑO","SM expertos - Metzeler","17","11","Meta","VILLAVICENCIO RACING CLUB","Honda","6","11"
"6","189","Luis Felipe PALOMINO MEJIA","SM expertos - Metzeler","16","12","Tolima","CLUB PISTON RACING","KTM","9","7"
"7","227","Rigo German SALAZAR CERON","SM expertos - Metzeler","15","13","Quindío","CLUB MONSTER GARAGE","Yamaha","15","0"
"8","921","Giomar Nicolas Ruiz Burbano","SM expertos - Metzeler","13","15","Nariño","MOTOCLUB CONSACA","KTM","7","6"
"9","59","Carlos Andres URREA HENAO","SM expertos - Metzeler","10","18","Antioquia","CLUB GRILLOS RACING","KTM","5","5"
"10","119","Cesar Alfonso TELLEZ OCAMPO","SM expertos - Metzeler","8","20","Santander","","Yamaha","0","8"
"11","166","Johan Camilo GIRALDO RAMIREZ","SM expertos - Metzeler","6","22","Quindío","CLUB MONSTER GARAGE","Yamaha","4","2"
"12","10","Helio Fabian ALVAREZ NARANJO","SM expertos - Metzeler","5","23","Cundinamarca","CLUB IGUANA RACING GIRARDOT","Husqvarna","2","3"
"13","48","David GIRALDO BETANCUR","SM expertos - Metzeler","4","24","Antioquia","Club Deportivo Terras de San Marinno","KTM","0","4"
"14","52","Edgar Andres JARAMILLO GOMEZ","SM expertos - Metzeler","4","24","Antioquia","CLUB MOTOCROSS YARUMAL","Husqvarna","3","1"
"15","813","Juan Felipe SIERRA OSORIO","SM expertos - Metzeler","2","26","Cundinamarca","CLUB GIRARDOT RACING","Husqvarna","1","1"
"16","721","Juan Andres RODRIGUEZ ARIAS","SM expertos - Metzeler","2","26","Caldas","CLUB MX PRO","Husqvarna","1","1"
"17","375","Wilderman RAMIREZ","SM expertos - Metzeler","1","27","Antioquia","CLUB GRILLOS RACING","Husqvarna","1","0"
"18","538","Christian Anderson ROZO MENESES","SM expertos - Metzeler","0","28","Cundinamarca","CLUB SCOOTER PERFORMANCE GIRARDOT","Husqvarna","0","0"
"19","155","Juan Felipe HERNANDEZ ALZATE","SM expertos - Metzeler","0","28","Putumayo","","Yamaha","0","0"
"20","204","Andres Felipe LONDOÑO TRUJILLO","SM expertos - Metzeler","0","28","Antioquia","CLUB GRILLOS RACING","Husqvarna","0","0"
"21","9","Christian Fernando MEJIA ALFONSO","SM expertos - Metzeler","0","28","Santander","CLUB DEPORTIVO SANTANDER MAX EXTREMO","Yamaha","0","0"
"22","88","Gerardo camilo TORRES","SM expertos - Metzeler","0","28","Valle del Cauca","","Husqvarna","0","0"
