"Pos.","N°","Nombre","Puntos","Clase","MOTO","LIGA","CLUB","Dif. resp. 1°","Mejor Tm","Vueltas","Comentario","Total T°"
"1","909","Javier ARIAS CASTAÑEDA","15","SM novatos - Metzeler","KTM","Antioquia","CLUB LOS PASKINES","","58.152","8","","7:53.778"
"2","207","David Alejandro FORERO ZAPATA","13","SM novatos - Metzeler","Husqvarna","Putumayo","TEAM RACING MOCOA","0.131","58.334","8","","7:53.909"
"3","387","Germán Darío Olaya caseres","11","SM novatos - Metzeler","Husqvarna","Tolima","CLUB COYOLA RACING TEAM","7.943","59.055","8","","8:01.721"
"4","314","Andres Felipe GONZALEZ CIFUENTES","10","SM novatos - Metzeler","KTM","Meta","SUTA RACING CLUB","10.125","59.768","8","","8:03.903"
"5","160","Jose Angel Moreno Varon","9","SM novatos - Metzeler","Husqvarna","Tolima","CLUB MOTORBIKE","16.094","59.502","8","","8:09.872"
"6","144","John Andrés VIVAS VARON","8","SM novatos - Metzeler","Husqvarna","Valle del Cauca","Dos Ruedas Racing Team","16.511","1:00.004","8","","8:10.289"
"7","50","Jorge Andrés ORTEGON CHACON","7","SM novatos - Metzeler","Husqvarna","Tolima","GR 522 RACING","19.559","1:00.636","8","","8:13.337"
"8","81","Juan Pablo RUIZ ALVAREZ","6","SM novatos - Metzeler","Husqvarna","Tolima","GR 522 RACING","21.485","1:00.825","8","","8:15.263"
"9","938","Luis Alejandro BALLEN CORTES","5","SM novatos - Metzeler","KTM","Cundinamarca","CLUB IGUANA RACING GIRARDOT","22.367","1:00.571","8","","8:16.145"
"10","683","Brayan Smith LEAL ARIAS","4","SM novatos - Metzeler","Husqvarna","Tolima","CLUB PISTON RACING","24.898","58.457","8","","8:18.676"
"11","343","Juan Pablo BURBANO GOMEZ","3","SM novatos - Metzeler","Husqvarna","Putumayo","TEAM RACING MOCOA","25.249","1:00.903","8","","8:19.027"
"12","596","Juan David PIEDRAHITA PINEDA","2","SM novatos - Metzeler","Husqvarna","Quindío","CLUB MONSTER GARAGE","26.591","1:01.029","8","","8:20.369"
"13","249","Ricardo ORTEGON GUZMAN","1","SM novatos - Metzeler","Husqvarna","Tolima","CLUB BUNDE ESPINAL","26.739","1:00.970","8","","8:20.517"
"14","330","Mauricio VIEIRA SOTO","1","SM novatos - Metzeler","Honda","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","38.750","1:02.991","8","","8:32.528"
"15","607","Michael stevens cadena Pineda","1","SM novatos - Metzeler","Husqvarna","Cundinamarca","CLUB IGUANA RACING GIRARDOT","38.775","1:02.546","8","","8:32.553"
"16","928","Luis Carlos POLANCO GAMBOA","0","SM novatos - Metzeler","Husqvarna","Huila","CLUB MOTO JAPONESA","39.495","58.351","8","","8:33.273"
"17","85","Yesid Espitia Cifuentes","0","SM novatos - Metzeler","Husqvarna","Cundinamarca","CLUB IGUANA RACING GIRARDOT","42.319","1:02.634","8","","8:36.097"
"18","889","Gustavo Adolfo RUGELES URBINA","0","SM novatos - Metzeler","KTM","Bogotá D.C.","Racing pilots Academy","43.231","1:02.589","8","","8:37.009"
"19","995-E","Gerardo Gomez Arce","0","SM novatos - Metzeler","Husqvarna","Bogotá D.C.","Club BOGOTA","43.375","1:02.475","8","","8:37.153"
"20","751","Daniel ARCILA MAYA","0","SM novatos - Metzeler","KTM","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","43.852","1:01.715","8","","8:37.630"
"21","27","Lisandro VASQUEZ RAMIREZ","0","SM novatos - Metzeler","Yamaha","Valle del Cauca","","45.100","1:03.208","8","","8:38.878"
"22","492","RICHARD QUEZADA QUINTERO","0","SM novatos - Metzeler","Husqvarna","Quindío","CLUB MONSTER GARAGE","45.944","1:03.408","8","","8:39.722"
"23","132","Juan Sebastian BUITRAGO CHAVES","0","SM novatos - Metzeler","Husqvarna","Cundinamarca","CLUB SCOOTER PERFORMANCE GIRARDOT","52.355","1:04.130","8","","8:46.133"
"24","837","Andrei Ricardo Lopez Leon","0","SM novatos - Metzeler","Husqvarna","Bogotá D.C.","Todo terreno track","52.790","1:02.534","8","","8:46.568"
"25","799","Michael Samuel Sarmiento Pedreros","0","SM novatos - Metzeler","Honda","Tolima","CLUB MOTORBIKE","55.195","1:03.962","8","","8:48.973"
"26","727","Diego René cañón cantor","0","SM novatos - Metzeler","KTM","Cundinamarca","MOTO CLUB MRACING LA VEGA","1 Vuelta","1:05.524","7","","7:55.969"
"27","151","Juan Pablo JARAMILLO OCAMPO","0","SM novatos - Metzeler","Honda","Antioquia","CLUB LOS PASKINES","1 Vuelta","1:02.875","7","","8:09.972"
"28","53","Adrian Arlex GUERRERO FERNANDEZ","0","SM novatos - Metzeler","Husqvarna","Tolima","GR 522 RACING","1 Vuelta","1:07.894","7","","8:13.260"
"NT","697","JOSE ARMANDO BARBOSA ESCOBAR","0","SM novatos - Metzeler","Husqvarna","Cesar","K-LIMA RACING","NT","","","",""
