"Pos.","N°","Nombre","Puntos","Clase","MOTO","LIGA","CLUB","Dif. resp. 1°","Mejor Tm","Vueltas","Comentario","Total T°"
"1","408","David Gerardo BETANCOURTH PABO","15","Suzuki GSX R/S 150","Suzuki","Bogotá D.C.","","","1:30.203","7","","11:48.467"
"2","613","Ivan Andres Celis Torres","13","Suzuki GSX R/S 150","Suzuki","Bogotá D.C.","Todo terreno track","3.715","1:30.802","7","","11:52.182"
"3","523","ANDRÉS FLÓREZ TORRES","11","Suzuki GSX R/S 150","Suzuki","Bogotá D.C.","Todo terreno track","4.707","1:30.884","7","","11:53.174"
"4","432","Luis Alberto RODRIGUEZ PALOMINO","10","Suzuki GSX R/S 150","Suzuki","Huila","CLUB MOTO JAPONESA","4.721","1:30.754","7","","11:53.188"
"5","518","Alan Javier RIOS QUINTERO","9","Suzuki GSX R/S 150","Suzuki","Cesar","K-LIMA RACING","5.091","1:30.979","7","","11:53.558"
"6","263","Henry alexander Rodriguez castillo","8","Suzuki GSX R/S 150","Suzuki","Tolima","CLUB PISTON RACING","5.869","1:30.491","7","","11:54.336"
"7","323","Juan Jose ARREDONDO","7","Suzuki GSX R/S 150","Suzuki","Antioquia","CLUB LOS PASKINES","10.363","1:32.715","7","","11:58.830"
"8","706","Juan Sebastián Pinzon López","6","Suzuki GSX R/S 150","Suzuki","Bogotá D.C.","Todo terreno track","10.410","1:32.165","7","","11:58.877"
"9","186","Jonathan FARFAN","5","Suzuki GSX R/S 150","Suzuki","Tolima","CLUB PISTON RACING","10.556","1:32.057","7","","11:59.023"
"10","130","Keller Andres FARFAN BENAVIDES","4","Suzuki GSX R/S 150","Suzuki","Tolima","CLUB PISTON RACING","10.755","1:32.396","7","","11:59.222"
"11","259","Cristian Leonardo HERRERA ALVAREZ","3","Suzuki GSX R/S 150","Suzuki","Bogotá D.C.","Racing pilots Academy","11.252","1:33.439","7","","11:59.719"
"12","756","Thomas SUAREZ COCOMA","2","Suzuki GSX R/S 150","Suzuki","Bogotá D.C.","Racing pilots Academy","16.298","1:33.996","7","","12:04.765"
"13","413","Nilam Mateo QUIROGA HERRERA","1","Suzuki GSX R/S 150","Suzuki","Tolima","CLUB MOTORBIKE","16.420","1:32.776","7","","12:04.887"
"14","998","Jhonatan David BONEL ARIAS","1","Suzuki GSX R/S 150","Suzuki","Cundinamarca","CLUB IGUANA RACING GIRARDOT","19.130","1:34.339","7","","12:07.597"
"15","462","BRAYAN STIVEN MONTOYA ACOSTA","1","Suzuki GSX R/S 150","Suzuki","Bogotá D.C.","Todo terreno track","21.576","1:35.304","7","","12:10.043"
"16","139","Cesar Steven PRIETO USGAME","0","Suzuki GSX R/S 150","Suzuki","Cauca","CLUB CORONA CLUB XTREME PARK","23.388","1:34.989","7","","12:11.855"
