"Pos.","N°","Nombre","Puntos","Clase","MOTO","LIGA","CLUB","Dif. resp. 1°","Mejor Tm","Vueltas","Comentario","Total T°"
"1","531","Sebastian HERRERA HERRERA","15","X-bikes A","BMW","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","","1:10.005","8","","9:26.037"
"2","51","Pablo SAENZ MORALES","13","X-bikes A","BMW","Bogotá D.C.","Todo terreno track","3.873","1:10.380","8","","9:29.910"
"3","9","Christian Fernando MEJIA ALFONSO","11","X-bikes A","BMW","Santander","CLUB DEPORTIVO SANTANDER MAX EXTREMO","7.851","1:11.088","8","","9:33.888"
"4","7","Luis Carlos III SARMIENTO CARVAJAL","15","X-bikes B","KTM","Bogotá D.C.","Xspeed Racing","19.434","1:11.956","8","","9:45.471"
"5","91","Tomas MORENO PALACIO","13","X-bikes B","AKT","Antioquia","CLUB LOS PASKINES","21.827","1:12.474","8","","9:47.864"
"6","381","Juan Felipe CHU OCHOA","10","X-bikes A","Honda","Bogotá D.C.","Xspeed Racing","25.158","1:13.007","8","","9:51.195"
"7","215","Jhon Fabio URREGO BADILLO","9","X-bikes A","Honda","Caldas","CLUB RACING PERFORMANCE","34.986","1:13.996","8","","10:01.023"
"8","816","Ronald ARIZTIZABAL","8","X-bikes A","","VALLE","","40.466","1:14.332","8","","10:06.503"
"9","264","Bryan Steven MANTILLA VALENCIA","7","X-bikes A","BMW","Valle del Cauca","Team Potenza","50.367","1:16.168","8","","10:16.404"
"10","601","Guido Alexander MORENO PARDO","6","X-bikes A","BMW","Cauca","CLUB CORONA CLUB XTREME PARK","50.573","1:15.910","8","","10:16.610"
"11","587","Cristian Camilo OSPINA ZULUAGA","11","X-bikes B","Triumph","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","57.673","1:16.061","8","","10:23.710"
"12","429","Valentina MARTINEZ TRUJILLO","10","X-bikes B","Honda","Tolima","CLUB PISTON RACING","1:04.039","1:17.137","8","","10:30.076"
"13","590","Giovanni Andres AREVALO SALCED","5","X-bikes A","Aprilla","Bogotá D.C.","","1:12.092","1:18.963","8","","10:38.129"
"14","256","Cristian Tarazona Romero","9","X-bikes B","Yamaha","Santander","CLUB DEPORTIVO SANTANDER MAX EXTREMO","1:13.408","1:17.146","8","","10:39.445"
"15","281","Daniel Felipe GUERRERO MONTILLA","8","X-bikes B","Yamaha","Cundinamarca","CLUB IGUANA RACING GIRARDOT","1:16.714","1:18.856","8","","10:42.751"
"16","187","John JAIME","7","X-bikes B","Ducati","Antioquia","CLUB LOS PASKINES","1:16.923","1:18.359","8","","10:42.960"
"17","331","Johan Alejandro FAJARDO JAIME","6","X-bikes B","BMW","Santander","CLUB DEPORTIVO SANTANDER MAX EXTREMO","1 Vuelta","1:21.445","7","","9:41.402"
"18","81","Juan Pablo RUIZ ALVAREZ","5","X-bikes B","Husqvarna","Tolima","GR 522 RACING","1 Vuelta","1:22.819","7","","9:57.038"
"19","629","Diego Fernando ROMERO CARDENAS","4","X-bikes B","Husqvarna","Tolima","CLUB MOTORBIKE","1 Vuelta","1:24.086","7","","9:57.250"
"NT","422","Sebastian ROMAN GARCIA","0","X-bikes A","BMW","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","NT","1:12.264","1","","1:13.720"
"NT","486-E","Juan jose Arango Vergara","0","X-bikes A","Yamaha","Risaralda","CLUB ENDUROCROSS","NT","","","",""
"NT","149","Andres Orlando RONDON PERDOMO","0","X-bikes B","Suzuki","Santander","CLUB DEPORTIVO SANTANDER MAX EXTREMO","NT","","","",""
