"Pos.","N°","Nombre","Puntos","Clase","MOTO","LIGA","CLUB","Dif. resp. 1°","Mejor Tm","Vueltas","Comentario","Total T°"
"1","728","Luis Felipe ARREDONDO GIRALDO","15","YAMAHA R15","Yamaha","Antioquia","CLUB LOS PASKINES","","1:27.904","6","","8:55.428"
"2","726","Nicolas MILLAN MURILLO","13","YAMAHA R15","Yamaha","Cauca","CLUB CORONA CLUB XTREME PARK","7.026","1:29.053","6","","9:02.454"
"3","408","David Gerardo BETANCOURTH PABON","11","YAMAHA R15","Yamaha","Bogotá D.C.","Todo terreno track","7.043","1:28.958","6","","9:02.471"
"4","186","Jonathan FARFAN","10","YAMAHA R15","Yamaha","Tolima","CLUB PISTON RACING","17.518","1:30.829","6","","9:12.946"
"5","406","Wilson Leonardo JAVELA RAMIREZ","9","YAMAHA R15","Yamaha","Tolima","CLUB PISTON RACING","18.936","1:30.862","6","","9:14.364"
"6","130","Keller Andres FARFAN BENAVIDES","8","YAMAHA R15","Yamaha","Tolima","CLUB PISTON RACING","19.027","1:30.577","6","","9:14.455"
"7","565","Manuel Antonio SALAZAR DIAZ","7","YAMAHA R15","Yamaha","Bogotá D.C.","Todo terreno track","19.241","1:30.260","6","","9:14.669"
"8","432","Luis Alberto RODRIGUEZ PALOMINO","6","YAMAHA R15","Yamaha","Huila","CLUB MOTO JAPONESA","19.387","1:30.735","6","","9:14.815"
"9","281","Daniel Felipe GUERRERO MONTILLA","5","YAMAHA R15","Yamaha","Cundinamarca","CLUB IGUANA RACING GIRARDOT","23.050","1:31.071","6","","9:18.478"
"10","446","Diana Katherine PEÑA VILLALBA","4","YAMAHA R15","Yamaha","Bogotá D.C.","Todo terreno track","35.241","1:33.185","6","","9:30.669"
"11","400","Brayan Alejandro PEREZ HEREDIA","3","YAMAHA R15","Yamaha","Tolima","CLUB PISTON RACING","44.324","1:34.760","6","","9:39.752"
"12","206","Ricardo Santiago DIAZ VASQUEZ","2","YAMAHA R15","Yamaha","Tolima","CLUB PISTON RACING","50.032","1:32.961","6","15'' X ROBO DE SALIDA","9:45.460"
"13","361","Wilmer Yecid BUSTOS MAHECHA","1","YAMAHA R15","Yamaha","Bogotá D.C.","Racing pilots Academy","59.058","1:37.153","6","","9:54.486"
"14","854","Maicol Andres CRISTANCHO VEGA","1","YAMAHA R15","Yamaha","Cesar","K-LIMA RACING","1:03.660","1:35.908","6","15'' X ROBO DE SALIDA","9:59.088"
"15","499","Javier Alonso NOVOA MOLINA","1","YAMAHA R15","Yamaha","Santander","CLUB DEPORTIVO SANTANDER MAX EXTREMO","1:14.905","1:39.706","6","","10:10.333"
"16","488","Juan Camilo BUSTOS PINILLA","0","YAMAHA R15","Yamaha","Tolima","CLUB PISTON RACING","1:15.164","1:39.079","6","","10:10.592"
"17","908","Giovanny Andres GARZÓN OSORIO","0","YAMAHA R15","Yamaha","Tolima","","1:16.447","1:38.352","6","","10:11.875"
"NT","259","Cristian Leonardo HERRERA ALVAREZ","0","YAMAHA R15","Yamaha","Bogotá D.C.","Racing pilots Academy","NT","1:29.680","3","","4:34.275"
