"Pos.","N°","Nombre","Puntos","LIGA","Clase","CLUB","MOTO","Mejor Tm","En Vuelta","Dif. resp. 1°","Dif. resp. anterior","Total T°","Vueltas","Comentario"
"1","36-2","Thomas PINEDA GONZALEZ","3","Caldas","125 cc","CLUB DE MOTOCICLISMO JP36","Honda","1:32.073","2","","","11:37.493","7",""
"2","222","Maximiliano RAMIREZ RESTREPO","2","Antioquia","125 cc","STUNT FIVE","Yamaha","1:33.978","1","3.069","3.069","11:40.562","7",""
"3","777","Euclides Antonio TORRES ROSALES","1","Bogotá D.C.","125 cc","Xspeed Racing","KTM","1:31.277","5","3.070","0.001","11:40.563","7",""
"4","710","Juan David MENDOZA DUARTE","1","Meta","125 cc","VILLAVICENCIO RACING CLUB","Husqvarna","1:35.074","3","24.404","21.334","12:01.897","7",""
"5","199","Nicolas Felipe REY REY","1","Cundinamarca","125 cc","CLUB IGUANA RACING GIRARDOT","KTM","1:37.144","3","33.906","9.502","12:11.399","7",""
"6","64","Jacobo GIL MARIN","1","Antioquia","125 cc","CLUB MOTOCROSS YARUMAL","Yamaha","1:37.443","1","39.999","6.093","12:17.492","7",""
"7","700","Maximiliano GUERRA ALVAREZ","1","Antioquia","125 cc","CLUB GRILLOS RACING","Yamaha","1:36.106","4","41.133","1.134","12:18.626","7",""
"8","213","Jhon Alexander PICON BOLAÑOS","1","Cesar","125 cc","VIRUS RACING","KTM","1:33.481","4","48.046","6.913","12:25.539","7",""
"9","321","Jorge Esteban VARGAS GONZALES","1","Antioquia","125 cc","CLUB MOTOCROSS DE YARUMAL","Yamaha","1:38.650","3","50.135","2.089","12:27.628","7",""
"10","281","Moises BETANCUR OCHOA","1","Antioquia","125 cc","CLUB ANTIOQUIA 2 RUEDAS RACER","Yamaha","1:36.315","6","54.465","4.330","12:31.958","7",""
"11","331","Juan Pablo CARMONA GIRALDO","1","Bogotá D.C.","125 cc","Todo terreno track","GasGas","1:31.571","4","56.467","2.002","12:33.960","7",""
"12","630","Samuel Andres PINTO DUARTE","1","Meta","125 cc","VILLAVICENCIO RACING CLUB","Yamaha","1:42.889","2","1:34.098","37.631","13:11.591","7",""
"13","221","Peter FRISH KLEVER","1","Cesar","125 cc","VIRUS RACING","GasGas","1:39.128","3","1:36.377","2.279","13:13.870","7",""
"14","146","Gabriel Alejandro MESA ARROYO","1","Nariño","125 cc","CLUB DEPORTIVO BUFALO XTREM","Yamaha","1:41.301","4","1:45.050","8.673","13:22.543","7",""
"15","210","Juan Pablo Muñoz Gómez","1","Cesar","125 cc","K-LIMA RACING","Husqvarna","1:39.955","5","1 Vuelta","1 Vuelta","11:46.147","6",""
"16","454","Mateo ALVAREZ GONZALEZ","0","Antioquia","125 cc","CLUB ANTIOQUIA 2 RUEDAS RACER","Yamaha","2:03.837","3","2 Vueltas","1 Vuelta","13:03.794","5",""
"17","837","JHOAN ANDRES BARRAGAN ALVAREZ","0","Putumayo","125 cc","TEAM RACING MOCOA","KTM","1:31.634","3","2 Vueltas","1:46.740","14:50.534","5",""
"NT","114","Miguel Angel LOPEZ MARTINEZ","0","Quindío","125 cc","CLUB RUTEROS DEL QUINDIO","Husqvarna","","0","NT","","","",""
