"Pos.","N°","Nombre","Puntos","LIGA","Clase","CLUB","MOTO","Mejor Tm","En Vuelta","Dif. resp. 1°","Dif. resp. anterior","Total T°","Vueltas","Comentario"
"1","111","Martin OSPINA CUELLO","15","Bogotá D.C.","85 cc Mini","Xspeed Racing","Yamaha","1:34.445","4","","","18:37.200","11",""
"2","139","Valentino ZULETA CARDONA","13","Antioquia","85 cc Mini","CLUB ANTIOQUIA 2 RUEDAS RACER","Yamaha","1:37.308","8","13.044","13.044","18:50.244","11",""
"3","120","Matias GOMEZ ORJUELA","11","Bogotá D.C.","85 cc Mini","Todo terreno track","KTM","1:39.086","5","32.717","19.673","19:09.917","11",""
"4","626","Juan Antonio PIEDRAHITA VARELA","10","Risaralda","85 cc Mini","CLUB LOS GUEPARDOS","KTM","1:38.696","6","48.192","15.475","19:25.392","11",""
"5","420","Esteban ARCILA ACEVEDO","9","Risaralda","85 cc Mini","CLUB LOS GUEPARDOS","Husqvarna","1:40.953","2","1:26.421","38.229","20:03.621","11",""
"6","888","Maximiliano YEPES ZAMORANO","8","Antioquia","85 cc Mini","CLUB GRILLOS RACING","Yamaha","1:44.114","2","1:45.653","19.232","20:22.853","11",""
"7","413","Samuel Emilio CAMACHO PAEZ","7","Bogotá D.C.","85 cc Mini","Xspeed Racing","GasGas","1:39.551","9","1 Vuelta","1 Vuelta","18:47.038","10",""
"8","35","Juan Angel MORALES GALLEGO","6","Antioquia","85 cc Mini","CLUB GRILLOS RACING","Yamaha","1:45.283","2","1 Vuelta","1:07.246","19:54.284","10",""
"9","28","Sofia ESCOBAR HINCAPIE","5","Caldas","85 cc Mini","CLUB VILLAMARIA RACING CLUB","Yamaha","1:56.557","3","1 Vuelta","41.289","20:35.573","10",""
"NT","E-98","salome henao torres","0","Antioquia","85 cc Mini","CLUB GRILLOS RACING","Yamaha","","0","NT","","","",""
