"Pos.","N°","Nombre","Clase","Puntos","LIGA","CLUB","Dif. resp. 1°","MOTO","Vueltas","Mejor Tm"
"1","607","Milan ORTIZ DUQUE","50 cc","3","Bogotá D.C.","Racing pilots Academy","","Cobra","6","1:44.667"
"2","101","Martín Silva OROZCO","50 cc","2","Caldas","CLUB DE MOTOCICLISMO JP36","48.904","Honda","6","1:52.256"
"3","133","Jorge Mario OCAMPO MEJIA","50 cc","1","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","49.889","KTM","6","1:51.846"
"4","206","Juan Martin HOYOS VASQUEZ","50 cc","1","Antioquia","STUNT FIVE","51.283","Yamaha","6","1:45.167"
"5","255","Juan Jose LEYTON ERASO","50 cc","1","Risaralda","CLUB LOS GUEPARDOS","1:56.103","KTM","6","2:02.954"
"6","717","Mariana ARISMEDI TRUJILLO","50 cc","1","Bogotá D.C.","Todo terreno track","1 Vuelta","Cobra","5","2:07.622"
"7","317","Elias YEPES ZAMORANO","50 cc","1","Antioquia","CLUB GRILLOS RACING","1 Vuelta","Yamaha","5","1:54.176"
"8","616","Emmanuel Naranjo Lopez","50 cc","1","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","1 Vuelta","KTM","5","2:19.427"
"9","13","Valery DIAZ VELASQUEZ","50 cc","1","Bogotá D.C.","Todo terreno track","1 Vuelta","KTM","5","2:21.819"
"10","348","Diego Alejandro reyes Ramírez","50 cc","1","Bogotá D.C.","Todo terreno track","3 Vueltas","Husqvarna","3","2:35.494"
