"Pos.","N°","Nombre","Clase","Puntos","LIGA","CLUB","Dif. resp. 1°","MOTO","Vueltas","Mejor Tm"
"1","111","Martin OSPINA CUELLO","85 CC MINI","15","Bogotá D.C.","Xspeed Racing","","Yamaha","9","1:45.517"
"2","413","Samuel Emilio CAMACHO PAEZ","85 CC MINI","13","Bogotá D.C.","Xspeed Racing","1 Vuelta","GasGas","8","2:01.952"
"3","420","Esteban ARCILA ACEVEDO","85 CC MINI","11","Risaralda","CLUB LOS GUEPARDOS","1 Vuelta","KTM","8","2:09.138"
"4","626","Juan Antonio PIEDRAHITA VARELA","85 CC MINI","10","Risaralda","CLUB LOS GUEPARDOS","2 Vueltas","GasGas","7","2:03.392"
"","120","Matias GOMEZ ORJUELA","85 CC MINI","0","Bogotá D.C.","Todo terreno track","5 Vueltas","KTM","4","2:11.846"
"NT","31","Agustin Toro Montoya","85 CC MINI","0","Caldas","CLUB VILLAMARIA RACING CLUB","NT","KTM","5","2:21.492"
"NT","139","Valentino ZULETA CARDONA","85 CC MINI","0","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","NT","KTM","",""
"NT","888","Maximiliano YEPES ZAMORANO","85 CC MINI","0","Antioquia","CLUB GRILLOS RACING","NT","Yamaha","",""
"NT","516","Agustin jaramillo","85 CC MINI","0","Caldas","CLUB VILLAMARIA RACING CLUB","NT","Yamaha","",""
"NT","28","Sofia ESCOBAR HINCAPIE","85 CC MINI","0","Caldas","CLUB VILLAMARIA RACING CLUB","NT","Yamaha","",""
"NT","35","Juan Angel MORALES GALLEGO","85 CC MINI","0","Antioquia","CLUB GRILLOS RACING","NT","Yamaha","",""
