"Pos.","N°","Nombre","Clase","Total puntos","Dif. resp. 1°","MOTO","LIGA","CLUB","Q ","R1 ","R2 "
"1","111","Martin OSPINA CUELLO","85 CC MINI","33","0","Yamaha","Bogotá D.C.","Xspeed Racing","3","15","15"
"2","413","Samuel Emilio CAMACHO PAEZ","85 CC MINI","24","9","GasGas","Bogotá D.C.","Xspeed Racing","1","10","13"
"3","626","Juan Antonio PIEDRAHITA VARELA","85 CC MINI","22","11","GasGas","Risaralda","CLUB LOS GUEPARDOS","1","11","10"
"4","420","Esteban ARCILA ACEVEDO","85 CC MINI","19","14","KTM","Risaralda","CLUB LOS GUEPARDOS","1","7","11"
"5","139","Valentino ZULETA CARDONA","85 CC MINI","14","19","KTM","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","1","13","0"
"6","35","Juan Angel MORALES GALLEGO","85 CC MINI","10","23","Yamaha","Antioquia","CLUB GRILLOS RACING","1","9","0"
"7","888","Maximiliano YEPES ZAMORANO","85 CC MINI","9","24","Yamaha","Antioquia","CLUB GRILLOS RACING","1","8","0"
"8","516","Agustin jaramillo","85 CC MINI","7","26","Yamaha","Caldas","CLUB VILLAMARIA RACING CLUB","1","6","0"
"9","28","Sofia ESCOBAR HINCAPIE","85 CC MINI","6","27","Yamaha","Caldas","CLUB VILLAMARIA RACING CLUB","1","5","0"
"10","120","Matias GOMEZ ORJUELA","85 CC MINI","6","27","KTM","Bogotá D.C.","Todo terreno track","2","4","0"
"11","31","Agustin Toro Montoya","85 CC MINI","4","29","KTM","Caldas","CLUB VILLAMARIA RACING CLUB","1","3","0"
