"Pos.","N°","Nombre","Clase","Puntos","LIGA","CLUB","Dif. resp. 1°","MOTO","Vueltas","Mejor Tm"
"1","227","Leonel giraldo jaramillo","Inicio","15","Tolima","GR 522 RACING","","Yamaha","8","1:44.469"
"2","519","Cristian David SEPULVEDA VALENCIA","Inicio","13","Caldas","CLUB VILLAMARIA RACING CLUB","22.299","Yamaha","8","1:48.150"
"3","75-E","Juan Pablo Cardona Carvajal","INICIO","11","Antioquia","CLUB MOTOCROSS YARUMAL","23.772","Honda","8","1:49.452"
"4","707-E","Cristian Felipe Aguirre Vélez","INICIO","10","Antioquia","CLUB MOTOCROSS YARUMAL","1:27.820","Yamaha","8","1:54.136"
"5","287","JOSE ANDRES SILVA SIMANCA","Inicio","9","Antioquia","CLUB MOTOCROSS DE YARUMAL","2:11.780","Yamaha","8","1:58.553"
"6","821-E","John Fredy Hernández Osorio","INICIO","8","Caldas","CLUB VILLAMARIA RACING CLUB","1 Vuelta","Yamaha","7","1:58.907"
"7","73","Jerónimo OCAMPO CAMPUZANO","Inicio","7","Caldas","CLUB DE MOTOCICLISMO JP36","1 Vuelta","Yamaha","7","2:00.784"
"8","97","Juan Camilo Restrepo Ospina","Inicio","6","Antioquia","CLUB MOTOCROSS DE YARUMAL","1 Vuelta","Yamaha","7","2:06.790"
"9","118","esteban ospina cifuentes","Inicio","5","Caldas","CLUB DE MOTOCICLISMO JP36","1 Vuelta","Honda","7","2:11.899"
"10","92-E","Jhon wilmar Quirama Arredondo","INICIO","4","Antioquia","CLUB GRILLOS RACING","1 Vuelta","Kawasaki","7","2:02.682"
"11","72","Andres Felipe Ortiz Jaramillo","Inicio","3","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","1 Vuelta","Yamaha","7","2:03.897"
"NT","128","Santiago RAMIREZ GIL","Inicio","0","Nariño","CLUB DEPORTIVO LOS CAFETEROS","NT","Yamaha","",""
"NT","177","ROBINSON CAMILO RAMIREZ GIL","Inicio","0","Nariño","CLUB MOTEROS LA UNION RIDERS","NT","Honda","",""
