"Pos.","N°","Nombre","Puntos","Clase","MOTO","LIGA","CLUB","Dif. resp. 1°","Mejor Tm","Vueltas","Comentario","Total T°"
"1","114","Miguel Angel LOPEZ MARTINEZ","15","125 cc","Husqvarna","Quindío","CLUB RUTEROS DEL QUINDIO","","1:18.921","17","","23:23.050"
"2","837","JHOAN ANDRES BARRAGAN ALVAREZ","13","125 cc","Husqvarna","Putumayo","TEAM RACING MOCOA","26.008","1:19.270","17","","23:49.058"
"3","228","Jeronimo DAMELINES LOAIZA","11","125 cc","Husqvarna","Risaralda","CLUB LOS GUEPARDOS","45.943","1:20.583","17","","24:08.993"
"4","777","Euclides Antonio TORRES ROSALES","10","125 cc","KTM","Bogotá D.C.","Xspeed Racing","54.043","1:21.130","17","","24:17.093"
"5","222","Maximiliano RAMIREZ RESTREPO","9","125 cc","Yamaha","Antioquia","STUNT FIVE","59.434","1:22.791","17","","24:22.484"
"6","321","Jorge Esteban VARGAS GONZALES","8","125 cc","Yamaha","Antioquia","CLUB MOTOCROSS DE YARUMAL","1 Vuelta","1:25.779","16","","23:55.269"
"7","113","Tomas VERGARA ARANZAZU","7","125 cc","Yamaha","Antioquia","CLUB MOTOCROSS DE YARUMAL","1 Vuelta","1:25.403","16","","24:06.974"
"8","247","Martin Estrada Zapata","6","125 cc","Yamaha","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","1 Vuelta","1:27.284","16","","24:19.241"
"9","700","Maximiliano GUERRA ALVAREZ","5","125 cc","Yamaha","Antioquia","CLUB GRILLOS RACING","1 Vuelta","1:26.161","16","","24:54.814"
"10","244","Alejandro ANGEL ISAZA","4","125 cc","Yamaha","Valle del Cauca","Carasucias","1 Vuelta","1:26.299","16","","25:52.486"
"11","630","Samuel Andres PINTO DUARTE","3","125 cc","Yamaha","Meta","VILLAVICENCIO RACING CLUB","2 Vueltas","1:30.810","15","","23:52.185"
"12","710","Juan David MENDOZA DUARTE","2","125 cc","Yamaha","Meta","VILLAVICENCIO RACING CLUB","3 Vueltas","1:25.966","14","","25:05.177"
"NT","281","Moises BETANCUR OCHOA","0","125 cc","Yamaha","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","NT","","","",""
"NT","331","Juan Pablo CARMONA GIRALDO","0","125 cc","GasGas","Bogotá D.C.","Todo terreno track","NT","","","",""
"NT","411","Juan Sebastian GIRON CARVAJAL","0","125 cc","Yamaha","Risaralda","CLUB LOS GUEPARDOS","NT","","","",""
"NT","454","Mateo ALVAREZ GONZALEZ","0","125 cc","Yamaha","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","NT","","","",""
