"Pos.","N°","Nombre","Puntos","Clase","MOTO","LIGA","CLUB","Dif. resp. 1°","Mejor Tm","Vueltas","Comentario","Total T°"
"1","114","Miguel Angel LOPEZ MARTINEZ","3","125 cc","Husqvarna","Quindío","CLUB RUTEROS DEL QUINDIO","","1:17.427","8","","10:56.172"
"2","228","Jeronimo DAMELINES LOAIZA","2","125 cc","Husqvarna","Risaralda","CLUB LOS GUEPARDOS","14.511","1:18.033","8","","11:10.683"
"3","837","JHOAN ANDRES BARRAGAN ALVAREZ","1","125 cc","Husqvarna","Putumayo","TEAM RACING MOCOA","14.947","1:17.460","8","","11:11.119"
"4","777","Euclides Antonio TORRES ROSALES","1","125 cc","KTM","Bogotá D.C.","Xspeed Racing","33.837","1:20.029","8","","11:30.009"
"5","222","Maximiliano RAMIREZ RESTREPO","1","125 cc","Yamaha","Antioquia","STUNT FIVE","34.814","1:19.974","8","","11:30.986"
"6","321","Jorge Esteban VARGAS GONZALES","1","125 cc","Yamaha","Antioquia","CLUB MOTOCROSS DE YARUMAL","48.465","1:21.739","8","","11:44.637"
"7","710","Juan David MENDOZA DUARTE","1","125 cc","Yamaha","Meta","VILLAVICENCIO RACING CLUB","50.024","1:22.644","8","","11:46.196"
"8","700","Maximiliano GUERRA ALVAREZ","1","125 cc","Yamaha","Antioquia","CLUB GRILLOS RACING","51.035","1:22.672","8","","11:47.207"
"9","113","Tomas VERGARA ARANZAZU","1","125 cc","Yamaha","Antioquia","CLUB MOTOCROSS DE YARUMAL","58.191","1:24.422","8","","11:54.363"
"10","244","Alejandro ANGEL ISAZA","1","125 cc","Yamaha","Valle del Cauca","Carasucias","1:01.143","1:24.189","8","","11:57.315"
"11","281","Moises BETANCUR OCHOA","1","125 cc","Yamaha","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","1:02.245","1:23.555","8","","11:58.417"
"12","247","Martin Estrada Zapata","1","125 cc","Yamaha","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","1:07.310","1:24.111","8","","12:03.482"
"13","630","Samuel Andres PINTO DUARTE","1","125 cc","Yamaha","Meta","VILLAVICENCIO RACING CLUB","1:16.235","1:25.196","8","","12:12.407"
"14","331","Juan Pablo CARMONA GIRALDO","1","125 cc","GasGas","Bogotá D.C.","Todo terreno track","1 Vuelta","1:26.592","7","","12:07.749"
"15","454","Mateo ALVAREZ GONZALEZ","1","125 cc","Yamaha","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","2 Vueltas","1:27.976","6","","12:35.986"
