"Pos.","N°","Nombre","Puntos","Clase","MOTO","LIGA","CLUB","Dif. resp. 1°","Mejor Tm","Vueltas","Comentario","Total T°"
"1","111","Martin OSPINA CUELLO","15","85 cc Junior","Yamaha","Bogotá D.C.","Xspeed Racing","","1:20.477","13","","18:39.941"
"2","222","Maximiliano RAMIREZ RESTREPO","13","85 cc Junior","Yamaha","Antioquia","STUNT FIVE","17.569","1:21.626","13","","18:57.510"
"3","281","Moises BETANCUR OCHOA","11","85 cc Junior","Yamaha","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","40.594","1:25.444","13","","19:20.535"
"4","626","Juan Antonio PIEDRAHITA VARELA","10","85 cc Junior","KTM","Risaralda","CLUB LOS GUEPARDOS","42.556","1:25.391","13","","19:22.497"
"5","120","Matias GOMEZ ORJUELA","9","85 cc Junior","KTM","Bogotá D.C.","Todo terreno track","42.810","1:25.684","13","","19:22.751"
"6","113","Tomas VERGARA ARANZAZU","8","85 cc Junior","Yamaha","Antioquia","CLUB MOTOCROSS DE YARUMAL","43.407","1:25.519","13","","19:23.348"
"7","420","Esteban ARCILA ACEVEDO","7","85 cc Junior","GasGas","Risaralda","CLUB LOS GUEPARDOS","1:00.372","1:25.938","13","","19:40.313"
"8","301","Sebastian SANDOVAL VERGARA","6","85 cc Junior","KTM","Bogotá D.C.","Xspeed Racing","1:18.042","1:28.458","13","","19:57.983"
"9","331","Juan Pablo CARMONA GIRALDO","5","85 cc Junior","GasGas","Bogotá D.C.","Todo terreno track","1:29.151","1:28.041","13","","20:09.092"
"10","413","Samuel Emilio CAMACHO PAEZ","4","85 cc Junior","KTM","Bogotá D.C.","Xspeed Racing","1 Vuelta","1:27.701","12","","19:44.422"
"11","388-E","SANTIAGO BASELGA BRITTO","3","85 cc Junior","Kawasaki","Cesar","K-LIMA RACING","1 Vuelta","1:33.688","12","","19:53.129"
"12","762","Oscar Alejandro VALBUENA ECHEVERRI","2","85 cc Junior","GasGas","Antioquia","CLUB DE MOTOCICLISMO STUNT FIVE","2 Vueltas","1:31.449","11","","19:34.127"
