"Pos.","N°","Nombre","Puntos","Clase","MOTO","LIGA","CLUB","Dif. resp. 1°","Mejor Tm","Vueltas","Comentario","Total T°"
"1","111","Martin OSPINA CUELLO","3","85 cc Junior","Yamaha","Bogotá D.C.","Xspeed Racing","","1:18.647","8","","11:09.603"
"2","222","Maximiliano RAMIREZ RESTREPO","2","85 cc Junior","Yamaha","Antioquia","STUNT FIVE","2.507","1:18.868","8","","11:12.110"
"3","281","Moises BETANCUR OCHOA","1","85 cc Junior","Yamaha","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","46.244","1:23.046","8","","11:55.847"
"4","420","Esteban ARCILA ACEVEDO","1","85 cc Junior","GasGas","Risaralda","CLUB LOS GUEPARDOS","49.041","1:24.108","8","","11:58.644"
"5","331","Juan Pablo CARMONA GIRALDO","1","85 cc Junior","GasGas","Bogotá D.C.","Todo terreno track","52.798","1:24.484","8","","12:02.401"
"6","120","Matias GOMEZ ORJUELA","1","85 cc Junior","KTM","Bogotá D.C.","Todo terreno track","55.414","1:24.327","8","","12:05.017"
"7","413","Samuel Emilio CAMACHO PAEZ","1","85 cc Junior","KTM","Bogotá D.C.","Xspeed Racing","56.170","1:24.773","8","","12:05.773"
"8","626","Juan Antonio PIEDRAHITA VARELA","1","85 cc Junior","KTM","Risaralda","CLUB LOS GUEPARDOS","1:00.798","1:24.618","8","","12:10.401"
"9","113","Tomas VERGARA ARANZAZU","1","85 cc Junior","Yamaha","Antioquia","CLUB MOTOCROSS DE YARUMAL","1:01.285","1:23.637","8","","12:10.888"
"10","301","Sebastian SANDOVAL VERGARA","1","85 cc Junior","KTM","Bogotá D.C.","Xspeed Racing","1:20.978","1:26.958","8","","12:30.581"
"11","762","Oscar Alejandro VALBUENA ECHEVERRI","1","85 cc Junior","GasGas","Antioquia","CLUB DE MOTOCICLISMO STUNT FIVE","1 Vuelta","1:30.484","7","","11:18.206"
"12","388-E","SANTIAGO BASELGA BRITTO","1","85 cc Junior","Kawasaki","Cesar","K-LIMA RACING","1 Vuelta","1:31.326","7","","11:26.625"
