"Pos.","N°","Nombre","Puntos","Clase","MOTO","LIGA","CLUB","Dif. resp. 1°","Mejor Tm","Vueltas","Comentario","Total T°"
"1","111","Martin OSPINA CUELLO","15","85 cc Mini","Yamaha","Bogotá D.C.","Xspeed Racing","","1:22.273","13","","18:54.054"
"2","120","Matias GOMEZ ORJUELA","13","85 cc Mini","KTM","Bogotá D.C.","Todo terreno track","15.824","1:25.382","13","","19:09.878"
"3","626","Juan Antonio PIEDRAHITA VARELA","11","85 cc Mini","KTM","Risaralda","CLUB LOS GUEPARDOS","18.256","1:25.111","13","","19:12.310"
"4","139","Valentino ZULETA CARDONA","10","85 cc Mini","KTM","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","18.637","1:24.709","13","","19:12.691"
"5","413","Samuel Emilio CAMACHO PAEZ","9","85 cc Mini","KTM","Bogotá D.C.","Xspeed Racing","21.998","1:25.389","13","","19:16.052"
"6","420","Esteban ARCILA ACEVEDO","8","85 cc Mini","GasGas","Risaralda","CLUB LOS GUEPARDOS","24.371","1:25.216","13","","19:18.425"
"7","888","Maximiliano YEPES ZAMORANO","7","85 cc Mini","Yamaha","Antioquia","CLUB GRILLOS RACING","1:13.792","1:29.232","13","","20:07.846"
"8","35","Juan Angel MORALES GALLEGO","6","85 cc Mini","Yamaha","Antioquia","CLUB GRILLOS RACING","1:14.256","1:29.370","13","","20:08.310"
"9","388-E","SANTIAGO BASELGA BRITTO","5","85 cc Mini","Kawasaki","Cesar","K-LIMA RACING","2 Vueltas","1:35.958","11","","19:02.105"
"10","31","Agustin Toro Montoya","4","85 cc Mini","Yamaha","Caldas","CLUB VILLAMARIA RACING CLUB","2 Vueltas","1:42.654","11","","20:00.906"
"11","28","Sofia ESCOBAR HINCAPIE","3","85 cc Mini","Husqvarna","Caldas","CLUB VILLAMARIA RACING CLUB","3 Vueltas","1:39.395","10","","19:49.721"
