"Pos.","N°","Nombre","Puntos","Clase","MOTO","LIGA","CLUB","Dif. resp. 1°","Mejor Tm","Vueltas","Comentario","Total T°"
"1","111","Martin OSPINA CUELLO","3","85 cc Mini","Yamaha","Bogotá D.C.","Xspeed Racing","","1:20.789","7","","9:28.944"
"2","413","Samuel Emilio CAMACHO PAEZ","2","85 cc Mini","KTM","Bogotá D.C.","Xspeed Racing","22.062","1:23.795","7","","9:51.006"
"3","626","Juan Antonio PIEDRAHITA VARELA","1","85 cc Mini","KTM","Risaralda","CLUB LOS GUEPARDOS","22.807","1:23.374","7","","9:51.751"
"4","139","Valentino ZULETA CARDONA","1","85 cc Mini","KTM","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","23.449","1:23.711","7","","9:52.393"
"5","420","Esteban ARCILA ACEVEDO","1","85 cc Mini","GasGas","Risaralda","CLUB LOS GUEPARDOS","32.387","1:24.924","7","","10:01.331"
"6","120","Matias GOMEZ ORJUELA","1","85 cc Mini","KTM","Bogotá D.C.","Todo terreno track","33.418","1:24.894","7","","10:02.362"
"7","35","Juan Angel MORALES GALLEGO","1","85 cc Mini","Yamaha","Antioquia","CLUB GRILLOS RACING","59.092","1:27.602","7","","10:28.036"
"8","888","Maximiliano YEPES ZAMORANO","1","85 cc Mini","Yamaha","Antioquia","CLUB GRILLOS RACING","1:00.117","1:26.632","7","","10:29.061"
"9","388-E","SANTIAGO BASELGA BRITTO","1","85 cc Mini","Kawasaki","Cesar","K-LIMA RACING","1:18.105","1:30.888","7","","10:47.049"
"10","28","Sofia ESCOBAR HINCAPIE","1","85 cc Mini","Husqvarna","Caldas","CLUB VILLAMARIA RACING CLUB","1 Vuelta","1:37.053","6","","9:59.455"
"11","31","Agustin Toro Montoya","1","85 cc Mini","Yamaha","Caldas","CLUB VILLAMARIA RACING CLUB","1 Vuelta","1:38.135","6","","10:43.509"
